source_dataset,target_dataset,kind,condition,layer,layer_label,mase,mase_ci_lo,mase_ci_hi,relative_regret_mase,wql,relative_regret_wql
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,6,L6,4.647238,1.090531,11.589996,0.062773,3.310991,0.102211
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,7,L7,4.641903,1.083827,11.593251,0.061553,3.310641,0.102094
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,8,L8,4.569813,1.011542,11.515645,0.045067,3.21227,0.069347
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,9,L9,4.616482,1.062762,11.547484,0.055739,3.379157,0.124903
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,10,L10,4.618208,1.064976,11.557863,0.056134,3.367082,0.120883
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,11,L11,4.658555,1.099565,11.605911,0.065361,3.567865,0.187723
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,12,L12,4.536449,0.977572,11.479319,0.037437,3.308225,0.10129
monash_electricity_hourly,wind_farms_hourly,PT-ID,transfer,13,L12+RMS,4.372748,0.811479,11.313615,0.0,3.003954,0.0
monash_electricity_hourly,sg_carpark,PT-OOD,native,13,L12+RMS,0.59786,0.520924,0.689827,0.0,0.539682,0.0
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,0,Emb,2.541821,2.433124,2.652719,3.251535,1.958224,2.628476
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,1,L1,1.738318,1.652655,1.827432,1.907569,1.406297,1.605788
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,2,L2,1.084634,0.988717,1.198831,0.814194,0.992859,0.83971
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,3,L3,0.876424,0.787105,0.98365,0.465937,0.844983,0.565705
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,4,L4,0.78189,0.696902,0.883152,0.307816,0.741486,0.373931
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,5,L5,0.69943,0.621764,0.789543,0.169891,0.660485,0.22384
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,6,L6,0.710562,0.631576,0.801145,0.188509,0.671232,0.243755
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,7,L7,0.690466,0.610194,0.78406,0.154896,0.659699,0.222384
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,8,L8,0.690619,0.612521,0.780522,0.155153,0.646426,0.19779
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,9,L9,0.66494,0.586495,0.756214,0.112201,0.626515,0.160897
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,10,L10,0.661266,0.581977,0.753776,0.106056,0.613446,0.136679
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,11,L11,0.651034,0.574324,0.741775,0.088941,0.59718,0.10654
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,12,L12,0.62862,0.551634,0.718349,0.051451,0.573268,0.062233
monash_electricity_hourly,sg_carpark,PT-OOD,transfer,13,L12+RMS,0.59786,0.520924,0.689827,0.0,0.539682,0.0
monash_electricity_hourly,coastal_ts,PT-OOD,native,13,L12+RMS,1.130997,0.942115,1.355057,0.0,0.154884,0.0
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,0,Emb,2.455123,1.739356,3.252154,1.17076,0.276362,0.784322
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,1,L1,1.527781,1.196056,1.919957,0.350827,0.204509,0.320405
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,2,L2,1.353888,1.126716,1.613905,0.197075,0.201942,0.303829
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,3,L3,1.327855,1.127642,1.544864,0.174057,0.179159,0.156731
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,4,L4,1.225452,1.029599,1.441651,0.083515,0.177825,0.148118
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,5,L5,1.279273,1.040702,1.547398,0.131102,0.177315,0.144828
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,6,L6,1.268316,1.040272,1.535223,0.121415,0.172409,0.113152
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,7,L7,1.256513,1.003849,1.554956,0.110978,0.174299,0.125352
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,8,L8,1.383343,1.073348,1.750328,0.223118,0.179253,0.157341
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,9,L9,1.165027,0.969356,1.39105,0.030088,0.163774,0.057399
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,10,L10,1.269937,0.996347,1.589211,0.122847,0.174916,0.129341
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,11,L11,1.216106,0.971085,1.522609,0.075251,0.176245,0.137918
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,12,L12,1.183476,0.974239,1.432262,0.046401,0.165827,0.070653
monash_electricity_hourly,coastal_ts,PT-OOD,transfer,13,L12+RMS,1.130997,0.942115,1.355057,0.0,0.154884,0.0
monash_electricity_hourly,boom_hourly,PT-OOD,native,13,L12+RMS,0.947018,0.557852,1.564358,0.0,5.524913,0.0
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,0,Emb,2.09144,1.641218,2.727168,1.208447,15.329502,1.774614
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,1,L1,1.49089,1.066356,2.125418,0.574299,10.187887,0.84399
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,2,L2,1.368189,0.947908,2.009774,0.444734,9.317226,0.686402
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,3,L3,1.493012,1.053873,2.161623,0.576539,8.964296,0.622522
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,4,L4,1.239923,0.840867,1.867976,0.309291,7.791962,0.410332
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,5,L5,1.223949,0.826772,1.852462,0.292424,8.148866,0.474931
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,6,L6,1.251567,0.854235,1.867461,0.321587,8.629441,0.561914
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,7,L7,1.260654,0.859817,1.872322,0.331182,8.231516,0.48989
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,8,L8,1.211305,0.794024,1.826056,0.279073,8.580611,0.553076
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,9,L9,1.190832,0.792724,1.813919,0.257454,7.396623,0.338776
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,10,L10,1.176687,0.78197,1.789583,0.242518,7.237523,0.309979
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,11,L11,1.215814,0.804677,1.830429,0.283834,7.972224,0.442959
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,12,L12,1.109478,0.705768,1.725845,0.171549,7.185912,0.300638
monash_electricity_hourly,boom_hourly,PT-OOD,transfer,13,L12+RMS,0.947018,0.557852,1.564358,0.0,5.524913,0.0
