model,dataset,display_name,n_points,n_depth_points,wd_grid,wd_grid_min,wd_grid_max,lr,n_at_grid_max,n_at_grid_min,fraction_at_grid_max,fraction_at_grid_min,median_selected_wd,min_selected_wd,max_selected_wd,median_selected_wd_depth_axis,layers_at_grid_max,selected_wd_by_layer,constant_forecast_floor_val_loss,at_grid_max_val_over_floor,still_clipped_reading
chronos2,monash_london_smart_meters,London Smart Meters,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,10.0,0.001,30.0,10.0,,Emb=0.001|L1=3|L2=3|L3=3|L4=10|L5=10|L6=10|L7=10|L8=10|L9=10|L10=30|L11=10|L12=30|L12+LN=3,0.2558497141847629,{},no depth at the grid maximum
chronos2,m5,M5,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,0.0001,65.0,30.0,,Emb=0.0001|L1=30|L2=45|L3=30|L4=30|L5=30|L6=30|L7=30|L8=30|L9=30|L10=45|L11=45|L12=45|L12+LN=65,0.2600373128919599,{},no depth at the grid maximum
chronos2,wiki_daily_100k,Wiki Daily,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,0.01,45.0,30.0,,Emb=0.01|L1=10|L2=10|L3=10|L4=10|L5=30|L6=30|L7=30|L8=30|L9=45|L10=45|L11=30|L12=30|L12+LN=10,0.25902288441212123,{},no depth at the grid maximum
chronos2,monash_traffic,Traffic,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,1,0.0,0.07142857142857142,2.0,1e-05,45.0,1.0,,Emb=10|L1=1|L2=0.1|L3=45|L4=0.3|L5=0.3|L6=1|L7=3|L8=1e-05|L9=0.3|L10=10|L11=10|L12=30|L12+LN=30,0.25220810897818957,{},no depth at the grid maximum
timesfm3,m4_hourly,M4,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,30.0,30.0,30.0,,Emb=30|L1=30|L2=30|L3=30|L4=30|L5=30|L6=30|L7=30|L8=30|L9=30|L10=30|L11=30|L12=30|L13=30|L14=30|L15=30|L16=30|L17=30|L18=30|L19=30|L20=30,0.49597844344969017,{},no depth at the grid maximum
timesfm3,monash_electricity_hourly,Electricity,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,1.0,65.0,30.0,,Emb=3|L1=1|L2=3|L3=3|L4=10|L5=10|L6=10|L7=30|L8=45|L9=10|L10=30|L11=30|L12=45|L13=65|L14=65|L15=45|L16=65|L17=30|L18=30|L19=30|L20=45,0.42223949798645866,{},no depth at the grid maximum
timesfm3,uber_tlc_hourly,Uber TLC,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,10.0,65.0,30.0,,Emb=10|L1=30|L2=45|L3=45|L4=65|L5=45|L6=30|L7=30|L8=30|L9=30|L10=30|L11=30|L12=30|L13=30|L14=30|L15=45|L16=30|L17=30|L18=30|L19=45|L20=30,0.3401826450259972,{},no depth at the grid maximum
timesfm3,wind_farms_hourly,Wind Farms,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,10.0,30.0,30.0,,Emb=30|L1=10|L2=10|L3=10|L4=30|L5=30|L6=30|L7=30|L8=30|L9=30|L10=30|L11=30|L12=30|L13=30|L14=30|L15=30|L16=30|L17=30|L18=30|L19=10|L20=10,0.33956891155041014,{},no depth at the grid maximum
timesfm3,sg_carpark,SG Carpark,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,10.0,3.0,45.0,10.0,,Emb=3|L1=10|L2=10|L3=10|L4=10|L5=10|L6=10|L7=45|L8=10|L9=10|L10=30|L11=10|L12=30|L13=10|L14=30|L15=30|L16=30|L17=30|L18=30|L19=30|L20=30,0.447920157958222,{},no depth at the grid maximum
timesfm3,coastal_ts,Coastal T-S,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,11,0,0.5238095238095238,0.0,90.0,45.0,90.0,90.0,Emb|L4|L5|L7|L8|L9|L15|L16|L17|L18|L19,Emb=90|L1=45|L2=65|L3=65|L4=90|L5=90|L6=65|L7=90|L8=90|L9=90|L10=45|L11=45|L12=65|L13=45|L14=65|L15=90|L16=90|L17=90|L18=90|L19=90|L20=45,0.5934456953157982,"{""Emb"": 0.6995449514482825, ""L4"": 0.7048662701633244, ""L5"": 0.6936620322803396, ""L7"": 0.6867862308308703, ""L8"": 0.6803981575043175, ""L9"": 0.6795755682690031, ""L15"": 0.6902767109774226, ""L16"": 0.7027207083507742, ""L17"": 0.7040016977411527, ""L18"": 0.6914123662257377, ""L19"": 0.6839297168935126}","at grid max; compare at_grid_max_val_over_floor with 1.0 — near 1.0 means the depth's optimum IS the no-information floor, well below means the search was cut off"
timesfm3,boom_hourly,BOOM,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,10.0,45.0,30.0,,Emb=30|L1=10|L2=10|L3=10|L4=30|L5=30|L6=30|L7=45|L8=30|L9=30|L10=30|L11=45|L12=45|L13=30|L14=30|L15=45|L16=30|L17=30|L18=30|L19=30|L20=30,0.3052317869854765,{},no depth at the grid maximum
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,11,0,0.5238095238095238,0.0,90.0,30.0,90.0,90.0,Emb|L5|L7|L8|L9|L10|L12|L15|L17|L18|L19,Emb=90|L1=30|L2=65|L3=65|L4=65|L5=90|L6=30|L7=90|L8=90|L9=90|L10=90|L11=30|L12=90|L13=65|L14=65|L15=90|L16=30|L17=90|L18=90|L19=90|L20=65,0.3786400221288204,"{""Emb"": 1.0289170132898031, ""L5"": 0.9088346920924864, ""L7"": 0.9161317899878146, ""L8"": 0.9215728543865433, ""L9"": 0.9330918165252919, ""L10"": 0.9179302086029624, ""L12"": 0.9312427094078835, ""L15"": 0.9216699024040704, ""L17"": 0.8897567676996807, ""L18"": 0.8724293282296676, ""L19"": 0.8829262558934854}","at grid max; compare at_grid_max_val_over_floor with 1.0 — near 1.0 means the depth's optimum IS the no-information floor, well below means the search was cut off"
timesfm3,electricity_15min,Electricity 15min,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,10.0,0.3,45.0,10.0,,Emb=0.3|L1=10|L2=3|L3=10|L4=10|L5=10|L6=10|L7=10|L8=10|L9=30|L10=10|L11=10|L12=10|L13=10|L14=30|L15=30|L16=30|L17=45|L18=10|L19=30|L20=30,0.47141998545586605,{},no depth at the grid maximum
timesfm3,SZ_TAXI_15T,SZ Taxi,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,7,0,0.3333333333333333,0.0,65.0,45.0,90.0,65.0,L2|L3|L4|L5|L7|L8|L18,Emb=65|L1=65|L2=90|L3=90|L4=90|L5=90|L6=65|L7=90|L8=90|L9=65|L10=65|L11=65|L12=65|L13=65|L14=45|L15=65|L16=65|L17=65|L18=90|L19=65|L20=65,0.37561304418322367,"{""L2"": 0.9924309530719638, ""L3"": 0.989455188203145, ""L4"": 0.9897791462876507, ""L5"": 0.9821064255808282, ""L7"": 0.9771404171186364, ""L8"": 0.9756534471304606, ""L18"": 0.9710848685103678}","at grid max; compare at_grid_max_val_over_floor with 1.0 — near 1.0 means the depth's optimum IS the no-information floor, well below means the search was cut off"
timesfm3,monash_london_smart_meters,London Smart Meters,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,45.0,30.0,65.0,45.0,,Emb=30|L1=30|L2=30|L3=45|L4=65|L5=65|L6=45|L7=45|L8=30|L9=45|L10=45|L11=45|L12=45|L13=45|L14=45|L15=30|L16=45|L17=45|L18=30|L19=45|L20=45,0.3561500686412777,{},no depth at the grid maximum
timesfm3,m5,M5,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,45.0,30.0,65.0,45.0,,Emb=30|L1=45|L2=45|L3=65|L4=65|L5=45|L6=65|L7=45|L8=65|L9=45|L10=45|L11=65|L12=45|L13=65|L14=45|L15=65|L16=45|L17=65|L18=45|L19=45|L20=45,0.3329563513362624,{},no depth at the grid maximum
timesfm3,wiki_daily_100k,Wiki Daily,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,2,0,0.09523809523809523,0.0,65.0,10.0,90.0,65.0,L4|L7,Emb=10|L1=30|L2=45|L3=65|L4=90|L5=65|L6=65|L7=90|L8=65|L9=65|L10=65|L11=65|L12=45|L13=65|L14=65|L15=65|L16=65|L17=65|L18=65|L19=45|L20=45,0.3490332642371077,"{""L4"": 0.9181489401789494, ""L7"": 0.906744874761859}","at grid max; compare at_grid_max_val_over_floor with 1.0 — near 1.0 means the depth's optimum IS the no-information floor, well below means the search was cut off"
timesfm3,monash_traffic,Traffic,21,21,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,10.0,45.0,30.0,,Emb=10|L1=30|L2=10|L3=30|L4=45|L5=30|L6=10|L7=10|L8=10|L9=30|L10=30|L11=10|L12=45|L13=30|L14=10|L15=30|L16=30|L17=30|L18=30|L19=30|L20=30,0.28795049996435185,{},no depth at the grid maximum
tirex,m4_hourly,M4,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,3.0,0.3,30.0,3.0,,Emb=30|L1=0.3|L2=1|L3=3|L4=10|L5=1|L6=3|L7=1|L8=3|L9=3|L10=10|L11=10|L12=10|L12+RMS=3,0.49597845220838793,{},no depth at the grid maximum
tirex,monash_electricity_hourly,Electricity,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,1,0.0,0.07142857142857142,10.0,1e-05,10.0,10.0,,Emb=1e-05|L1=10|L2=0.1|L3=3|L4=3|L5=10|L6=3|L7=3|L8=10|L9=10|L10=10|L11=10|L12=10|L12+RMS=10,0.42223949810020794,{},no depth at the grid maximum
tirex,uber_tlc_hourly,Uber TLC,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,10.0,1.0,30.0,10.0,,Emb=3|L1=1|L2=3|L3=3|L4=10|L5=10|L6=10|L7=10|L8=10|L9=10|L10=10|L11=10|L12=10|L12+RMS=30,0.3401826491636288,{},no depth at the grid maximum
tirex,wind_farms_hourly,Wind Farms,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,10.0,3.0,30.0,10.0,,Emb=30|L1=3|L2=10|L3=10|L4=10|L5=3|L6=10|L7=10|L8=10|L9=10|L10=10|L11=10|L12=10|L12+RMS=10,0.3376895533661351,{},no depth at the grid maximum
tirex,sg_carpark,SG Carpark,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,10.0,0.3,10.0,10.0,,Emb=3|L1=0.3|L2=1|L3=10|L4=10|L5=3|L6=10|L7=10|L8=10|L9=10|L10=10|L11=10|L12=10|L12+RMS=10,0.4479201628621352,{},no depth at the grid maximum
tirex,coastal_ts,Coastal T-S,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,1.0,65.0,30.0,,Emb=65|L1=1|L2=30|L3=45|L4=30|L5=30|L6=30|L7=30|L8=30|L9=30|L10=10|L11=10|L12=30|L12+RMS=45,0.5835118259613713,{},no depth at the grid maximum
tirex,boom_hourly,BOOM,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,10.0,3.0,10.0,10.0,,Emb=3|L1=10|L2=10|L3=10|L4=10|L5=10|L6=10|L7=10|L8=10|L9=10|L10=10|L11=10|L12=10|L12+RMS=10,0.2989267163178594,{},no depth at the grid maximum
tirex,LOOP_SEATTLE_5T,Loop Seattle,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,5,0,0.35714285714285715,0.0,65.0,30.0,90.0,65.0,L4|L5|L7|L8|L12+RMS,Emb=65|L1=65|L2=65|L3=65|L4=90|L5=90|L6=45|L7=90|L8=90|L9=30|L10=30|L11=65|L12=65|L12+RMS=90,0.3786400082229658,"{""L4"": 0.9938460432570896, ""L5"": 0.9581545660038413, ""L7"": 0.9196103192998227, ""L8"": 0.8991887368272853, ""L12+RMS"": 0.8504972771681704}","at grid max; compare at_grid_max_val_over_floor with 1.0 — near 1.0 means the depth's optimum IS the no-information floor, well below means the search was cut off"
tirex,electricity_15min,Electricity 15min,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,1,0.0,0.07142857142857142,6.5,1e-05,10.0,3.0,,Emb=3|L1=1e-05|L2=1|L3=3|L4=3|L5=3|L6=10|L7=10|L8=10|L9=10|L10=10|L11=3|L12=10|L12+RMS=10,0.4714199711234515,{},no depth at the grid maximum
tirex,SZ_TAXI_15T,SZ Taxi,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,45.0,10.0,65.0,45.0,,Emb=30|L1=10|L2=65|L3=45|L4=45|L5=65|L6=65|L7=65|L8=45|L9=65|L10=65|L11=45|L12=45|L12+RMS=45,0.37570674621906036,{},no depth at the grid maximum
tirex,monash_london_smart_meters,London Smart Meters,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,10.0,1.0,30.0,10.0,,Emb=1|L1=3|L2=10|L3=10|L4=10|L5=30|L6=10|L7=10|L8=10|L9=30|L10=30|L11=10|L12=10|L12+RMS=10,0.35615007765591145,{},no depth at the grid maximum
tirex,m5,M5,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,10.0,45.0,30.0,,Emb=30|L1=10|L2=30|L3=30|L4=30|L5=30|L6=30|L7=30|L8=45|L9=45|L10=30|L11=45|L12=45|L12+RMS=45,0.33295635231735027,{},no depth at the grid maximum
tirex,wiki_daily_100k,Wiki Daily,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,3.0,45.0,30.0,,Emb=3|L1=3|L2=30|L3=30|L4=30|L5=30|L6=30|L7=45|L8=30|L9=30|L10=45|L11=30|L12=30|L12+RMS=45,0.34903326975394977,{},no depth at the grid maximum
tirex,monash_traffic,Traffic,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,10.0,0.0001,30.0,10.0,,Emb=0.01|L1=0.0001|L2=10|L3=10|L4=10|L5=10|L6=10|L7=10|L8=10|L9=10|L10=30|L11=10|L12=10|L12+RMS=10,0.28795049726280547,{},no depth at the grid maximum
