model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,n_probe_params,test_loss,test_loss_ci_hi,test_loss_ci_lo,test_loss_delta_ci_hi,test_loss_delta_ci_lo,test_loss_delta_vs_last,test_loss_point,test_mae,test_mae_ci_hi,test_mae_ci_lo,test_mae_delta_ci_hi,test_mae_delta_ci_lo,test_mae_delta_vs_last,test_mae_point,test_mase,test_mase_ci_hi,test_mase_ci_lo,test_mase_delta_ci_hi,test_mase_delta_ci_lo,test_mase_delta_vs_last,test_mase_point,test_ratio_to_final,test_suffix_excursion,test_wql,test_wql_ci_hi,test_wql_ci_lo,test_wql_delta_ci_hi,test_wql_delta_ci_lo,test_wql_delta_vs_last,test_wql_point,train_loss,val_loss,val_ratio_to_final,val_suffix_excursion,wd_at_grid_max,wd_at_grid_min,weight_decay
chronos2,monash_electricity_hourly,Electricity,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,False,False,False,False,False,False,False,False,12304,0.1479109495821345,0.15592754470781628,0.14056012857108172,-0.0025400438896942025,-0.008906701543787844,-0.0056500994664339665,0.1479109495821345,240.52040546745727,363.5286862157676,151.62969866935182,31.46581035581906,-14.659043044325283,2.866838601066547,240.52040546745727,1.0317212541834222,1.0888806609556585,0.9810792070515859,-0.01395642327451731,-0.047500295465484205,-0.03026583462592658,1.0317212541834222,1.0397164747844452,0.05958982264154833,0.098686342897275,0.11038129459102976,0.08908575800525362,0.00951176814289712,-0.007040846094028358,0.0011762736582209693,0.098686342897275,0.10969366231556431,0.11023261548794863,1.1390252245015706,0.13902522450157062,False,False,3.0
chronos2,monash_electricity_hourly,Electricity,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,False,False,False,False,False,False,False,False,12304,0.150738148942931,0.15882621423647034,0.14328168326036167,-0.005426097374039753,-0.011620004605217504,-0.008477298827230473,0.150738148942931,253.14171238652912,390.6399510808964,156.67715732651476,4.7912201563080306,-20.665407120974916,-9.754468318005308,253.14171238652912,1.0512814113243802,1.108116960682379,0.999875313951989,-0.032849882539587816,-0.06763461304729633,-0.049825991766884625,1.0512814113243802,1.0595898226415483,0.05958982264154833,0.10386490818368599,0.11387784059043825,0.09395091467516199,0.0013887149916179452,-0.009943792112590865,-0.004002291628190019,0.10386490818368599,0.10588432619965486,0.10788832235199805,1.1148018219845042,0.11480182198450417,False,False,1.0
chronos2,monash_electricity_hourly,Electricity,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,False,12304,0.1490867677507282,0.15739446861406375,0.1414448074808074,-0.004016632418937335,-0.00981807733125246,-0.006825917635027684,0.1490867677507282,240.1529726183518,359.28249762083937,153.36496147464106,33.10037619504141,-14.431840835786304,3.2342714501720025,240.1529726183518,1.0376582055644654,1.0956142725403402,0.986205973818238,-0.020126697747555836,-0.05362101926278804,-0.0362027860069698,1.0376582055644654,1.0479817014271753,0.04798170142717528,0.09853558394579198,0.11176621511713783,0.08778912253328461,0.009956003863788932,-0.007703117911284819,0.0013270326097039875,0.09853558394579198,0.11620407060344558,0.10719566011644957,1.107644595832725,0.10764459583272501,False,False,30.0
chronos2,monash_electricity_hourly,Electricity,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,False,False,False,True,False,False,False,True,12304,0.14772726758916416,0.15623000882253166,0.13991547106402635,-0.002790743035783283,-0.008286592871206627,-0.005466417473463631,0.14772726758916416,247.49299948958702,381.61574213149964,153.79889597181477,9.875406938096981,-15.137044835157383,-4.105755421063208,247.49299948958702,1.0324439792467202,1.089746752742888,0.9802716836991442,-0.015355727649889758,-0.04784113867657271,-0.030988559689224537,1.0324439792467202,1.0384253114544009,0.041752903411432785,0.10154722201151915,0.11105850755111903,0.09274818499032927,0.0029964795223724533,-0.007845024627181365,-0.0016846054560231832,0.10154722201151915,0.10536773220356688,0.10194399759514641,1.0533795667770751,0.053379566777075116,False,False,1.0
chronos2,monash_electricity_hourly,Electricity,10,L10,block,block_depth,True,10,0.8333333333333334,0.8333333333333334,True,False,False,False,False,True,False,False,False,True,False,12304,0.1482006536498097,0.15668287674704465,0.14030832808130628,-0.0037913419114326305,-0.008245152005044214,-0.005939803534109167,0.1482006536498097,235.88161604392673,354.90012426055745,150.81908123990863,35.47911146166662,-9.17221088667333,7.505628024597087,235.88161604392673,1.0338576981317475,1.0917138259579524,0.9810594384522635,-0.01923289195030168,-0.04582984728561937,-0.03240227857425193,1.0338576981317475,1.0417529034114328,0.041752903411432785,0.09678303177159701,0.10931151272066912,0.08646872613174386,0.010538344687709303,-0.005373605982165078,0.003079584783898956,0.09678303177159701,0.11004954069275596,0.098908293565721,1.0220118681306194,0.022011868130619394,False,False,10.0
chronos2,monash_electricity_hourly,Electricity,11,L11,block,block_depth,True,11,0.9166666666666666,0.9166666666666666,False,False,False,True,True,False,False,True,True,False,False,12304,0.14709286690327047,0.15557811450362488,0.13918890634636957,-0.0030014670884080294,-0.006770029162120746,-0.004832016787569948,0.14709286690327047,235.50907368087647,356.5614947023755,149.30362369970695,34.844506159923455,-8.144560642270736,7.878170387647344,235.50907368087647,1.0317404153610372,1.0912237257622786,0.9773247995195778,-0.01816891872590293,-0.04283222960221072,-0.030284995803541603,1.0317404153610372,1.0339658928204076,0.03396589282040763,0.09663017636911138,0.10876166291459965,0.08595715329384286,0.010445669530550839,-0.004675607923608543,0.0032324401863845914,0.09663017636911138,0.1077038148883062,0.0974243477498757,1.0066783689792165,0.006678368979216476,False,False,10.0
chronos2,monash_electricity_hourly,Electricity,12,L12,block,block_depth,True,12,1.0,1.0,False,True,False,False,False,False,False,False,False,False,False,12304,0.14226085011570053,0.1509156964893474,0.13430764664120917,0.0,0.0,0.0,0.14226085011570053,243.3872440685238,390.91672595736065,144.61971393144256,0.0,0.0,0.0,243.3872440685238,1.0014554195574956,1.0597696463088995,0.948645562760465,0.0,0.0,0.0,1.0014554195574956,1.0,0.0,0.09986261655549597,0.10873891603428469,0.08724228555345422,0.0,0.0,0.0,0.09986261655549597,0.1084806603811136,0.0967780283673574,1.0,0.0,False,False,10.0
chronos2,monash_electricity_hourly,Electricity,13,L12+LN,final_norm,head_input_diagnostic,False,12,,,False,False,True,False,False,False,False,False,False,False,False,12304,0.1353846093184734,0.144394243576116,0.12711958432186196,0.008366358691279035,0.0053214456313751945,0.006876240797227123,0.1353846093184734,238.9038808504091,395.2147198036659,137.37441254688878,16.114493907204622,-11.348461504593988,4.483363218114704,238.9038808504091,0.9497316850950229,1.0073994537541333,0.8975929621545635,0.06358168606227625,0.039674762217501706,0.05172373446247269,0.9497316850950229,,,0.09802307733213572,0.11059357590661566,0.08142715880067837,0.006981182618938392,-0.0034291325026326023,0.0018395392233602481,0.09802307733213572,0.10760283052328028,0.09470657699293535,,,False,False,10.0
chronos2,uber_tlc_hourly,Uber TLC,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,12304,0.3518317872729465,0.3630660775146013,0.3403694091428725,-0.11379046236228856,-0.13594425083457964,-0.12484186225151286,0.3518317872729465,9.94141570543072,12.022535397988511,8.005961349385338,-3.6836502033486562,-5.693867518808012,-4.652155134800805,9.94141570543072,1.3645338853961158,1.4429999346528,1.2879762118205853,-0.39952698966129874,-0.4940369659363445,-0.44608439866268534,1.3645338853961158,1.549988561121048,0.549988561121048,0.5672728275120472,0.5846937909997051,0.5495303534506357,-0.25295350128290844,-0.27792705770853715,-0.2654592942835603,0.5672728275120472,0.30508351025613856,0.2909154853293004,1.457385550604105,0.4573855506041049,False,False,0.3
chronos2,uber_tlc_hourly,Uber TLC,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,False,False,False,False,False,False,False,False,12304,0.3264787227825354,0.3350706981495023,0.3178653182788887,-0.091749331162432,-0.1073649452842829,-0.09948879776110178,0.3264787227825354,8.890924091014101,10.802979363503546,7.13056602505267,-2.822729897284219,-4.43967215704587,-3.6016635203841867,8.890924091014101,1.3188768022814314,1.4120676095091342,1.2370538671067448,-0.35581472733289066,-0.45099715621106057,-0.40042731554800104,1.3188768022814314,1.4382960950875132,0.4382960950875132,0.5073301225648758,0.5278243394357681,0.48705802062006126,-0.192555905130669,-0.21782413512196894,-0.20551658933638883,0.5073301225648758,0.2768796927735231,0.2732153901730785,1.368714220867924,0.36871422086792394,False,False,0.01
