model,dataset,display_name,definition,tolerance,is_headline_tolerance,tunnel_layer,tunnel_index,tunnel_depth_axis_index,normalized_tunnel,n_depth_points,reference_layer,val_ratio_at_tunnel,test_ratio_at_tunnel,suffix_excursion_at_tunnel,first_crossing_layer,first_crossing_depth_axis_index,sustained_minus_first_crossing,headline_val_ratio_at_tunnel,headline_test_ratio_at_tunnel
timesfm3,electricity_15min,Electricity 15min,sustained_suffix_v1,0.01,False,L11,11,11,0.55,21,L20,1.0098835923010607,1.031418515242857,0.009883592301060729,L1,1,10,0.9488034503686901,1.0109950724689998
timesfm3,electricity_15min,Electricity 15min,sustained_suffix_v1,0.02,False,L1,1,1,0.05,21,L20,0.9488034503686901,1.0109950724689998,0.017476618003720912,L1,1,0,0.9488034503686901,1.0109950724689998
timesfm3,electricity_15min,Electricity 15min,sustained_suffix_v1,0.05,True,L1,1,1,0.05,21,L20,0.9488034503686901,1.0109950724689998,0.017476618003720912,L1,1,0,0.9488034503686901,1.0109950724689998
timesfm3,electricity_15min,Electricity 15min,sustained_suffix_v1,0.1,False,L1,1,1,0.05,21,L20,0.9488034503686901,1.0109950724689998,0.017476618003720912,L1,1,0,0.9488034503686901,1.0109950724689998
timesfm3,SZ_TAXI_15T,SZ Taxi,sustained_suffix_v1,0.01,False,L16,16,16,0.8,21,L20,0.997416994956109,1.0027816969802106,0.006479798326597619,L13,13,3,1.0354899629983088,1.01214716317566
timesfm3,SZ_TAXI_15T,SZ Taxi,sustained_suffix_v1,0.02,False,L5,5,5,0.25,21,L20,1.017903078512745,1.0003715408814988,0.018907827179611036,L5,5,0,1.0354899629983088,1.01214716317566
timesfm3,SZ_TAXI_15T,SZ Taxi,sustained_suffix_v1,0.05,True,L1,1,1,0.05,21,L20,1.0354899629983088,1.01214716317566,0.035489962998308755,L1,1,0,1.0354899629983088,1.01214716317566
timesfm3,SZ_TAXI_15T,SZ Taxi,sustained_suffix_v1,0.1,False,Emb,0,0,0.0,21,L20,1.0571946887626946,1.022837909657692,0.05719468876269462,Emb,0,0,1.0354899629983088,1.01214716317566
timesfm3,monash_london_smart_meters,London Smart Meters,sustained_suffix_v1,0.01,False,L17,17,17,0.85,21,L20,1.0050665171687976,0.9984847492477944,0.00506651716879758,L17,17,0,1.0202677418650004,1.0027177014437552
timesfm3,monash_london_smart_meters,London Smart Meters,sustained_suffix_v1,0.02,False,L15,15,15,0.75,21,L20,1.0125731356187269,1.0059123455542531,0.01363944964259689,L2,2,13,1.0202677418650004,1.0027177014437552
timesfm3,monash_london_smart_meters,London Smart Meters,sustained_suffix_v1,0.05,True,L1,1,1,0.05,21,L20,1.0202677418650004,1.0027177014437552,0.02260735333457875,L1,1,0,1.0202677418650004,1.0027177014437552
timesfm3,monash_london_smart_meters,London Smart Meters,sustained_suffix_v1,0.1,False,Emb,0,0,0.0,21,L20,1.086240730282393,1.111581069528445,0.0862407302823931,Emb,0,0,1.0202677418650004,1.0027177014437552
timesfm3,m5,M5,sustained_suffix_v1,0.01,False,L20,20,20,1.0,21,L20,1.0,1.0,0.0,L1,1,19,1.0115042970754233,1.0181479711962
timesfm3,m5,M5,sustained_suffix_v1,0.02,False,Emb,0,0,0.0,21,L20,1.0115042970754233,1.0181479711962,0.01358273117268105,Emb,0,0,1.0115042970754233,1.0181479711962
timesfm3,m5,M5,sustained_suffix_v1,0.05,True,Emb,0,0,0.0,21,L20,1.0115042970754233,1.0181479711962,0.01358273117268105,Emb,0,0,1.0115042970754233,1.0181479711962
timesfm3,m5,M5,sustained_suffix_v1,0.1,False,Emb,0,0,0.0,21,L20,1.0115042970754233,1.0181479711962,0.01358273117268105,Emb,0,0,1.0115042970754233,1.0181479711962
timesfm3,wiki_daily_100k,Wiki Daily,sustained_suffix_v1,0.01,False,L14,14,14,0.7,21,L20,1.0093518443748453,1.01683331559424,0.009351844374845264,L8,8,6,1.026380150457429,1.0753095471800755
timesfm3,wiki_daily_100k,Wiki Daily,sustained_suffix_v1,0.02,False,L5,5,5,0.25,21,L20,1.0180589147795294,1.032879803845047,0.018058914779529367,L5,5,0,1.026380150457429,1.0753095471800755
timesfm3,wiki_daily_100k,Wiki Daily,sustained_suffix_v1,0.05,True,Emb,0,0,0.0,21,L20,1.026380150457429,1.0753095471800755,0.02638015045742903,Emb,0,0,1.026380150457429,1.0753095471800755
timesfm3,wiki_daily_100k,Wiki Daily,sustained_suffix_v1,0.1,False,Emb,0,0,0.0,21,L20,1.026380150457429,1.0753095471800755,0.02638015045742903,Emb,0,0,1.026380150457429,1.0753095471800755
