model,dataset,display_name,status,tunnel_layer,tunnel_relative_depth,reference_layer,final_val_loss,final_test_loss,final_test_mase,native_mase,elapsed_s,completed_utc,first_crossing_layer,median_selected_wd,n_depth_points,n_layers_at_wd_grid_max,n_layers_at_wd_grid_min,n_points,n_test,n_test_clusters,n_train,n_val,native_loss,native_readout_layer,parity_ok,path,provenance_scope,provenance_status,seasonal_m,test_ratio_at_tunnel,tunnel_definition,tunnel_index,tunnel_relative_position,val_ratio_at_tunnel,wd_grid_max
timesfm3,SZ_TAXI_15T,SZ Taxi,complete,L1,0.05,L20,0.36240383982658386,0.4047536253929138,0.8268642985645653,0.757950397011711,100.27527856826782,2026-09-22T12:36:06+00:00,L1,65.0,21,7,0,21,156,156,1394,156,0.37038158665960413,L20,True,timesfm3/SZ_TAXI_15T,benchmark_exclusion,explicitly_held_out,96,1.01214716317566,sustained_suffix_v1,1,0.05,1.0354899629983088,90.0
timesfm3,monash_london_smart_meters,London Smart Meters,complete,L1,0.05,L20,0.3027985692024231,0.259817510843277,0.8996760762066033,0.7908213643464879,100.33373785018921,2026-09-22T12:45:34+00:00,L1,45.0,21,0,0,21,262,262,1394,262,0.23159412688394396,L20,True,timesfm3/monash_london_smart_meters,source_family,undocumented,48,1.0027177014437552,sustained_suffix_v1,1,0.05,1.0202677418650004,90.0
timesfm3,m5,M5,complete,Emb,0.0,L20,0.3345680236816406,0.3552423417568207,1.0755300811989863,0.9739977300024973,101.41846966743469,2026-09-22T12:51:02+00:00,Emb,45.0,21,0,0,21,262,262,1394,262,0.3260631352167164,L20,True,timesfm3/m5,benchmark_exclusion,explicitly_held_out,7,1.0181479711962,sustained_suffix_v1,0,0.0,1.0115042970754233,90.0
timesfm3,wiki_daily_100k,Wiki Daily,complete,Emb,0.0,L20,0.3125949800014496,0.30240654945373535,0.8604036066640443,0.7912765471622331,104.06249189376831,2026-09-22T13:04:34+00:00,Emb,65.0,21,2,0,21,262,262,1394,262,0.2860082265696993,L20,True,timesfm3/wiki_daily_100k,source_level,pretraining_exposed,7,1.0753095471800755,sustained_suffix_v1,0,0.0,1.026380150457429,90.0
timesfm3,monash_traffic,Traffic,complete,L12,0.6,L20,0.17102672159671783,0.1407226175069809,0.7922172399006544,0.49362965807582715,101.87396192550659,2026-09-22T13:09:03+00:00,Emb,30.0,21,0,0,21,262,262,1394,262,0.08873738865421388,L20,True,timesfm3/monash_traffic,source_family,undocumented,24,1.0861720495121898,sustained_suffix_v1,12,0.6,1.017815606292326,90.0
tirex,m4_hourly,M4,complete,L12,1.0,L12,0.10441971001506761,0.12892581474832224,1.2473509309271968,0.8115398543446835,50.32504725456238,2026-09-22T12:04:09+00:00,L12,3.0,13,0,0,14,262,262,1394,262,0.10432089652638626,L12+RMS,True,tirex/m4_hourly,source_family,undocumented,24,1.0,sustained_suffix_v1,12,1.0,1.0,90.0
tirex,monash_electricity_hourly,Electricity,complete,L11,0.9166666666666666,L12,0.13234535483856694,0.1871556334254396,1.002275322857329,0.8125547099156809,60.031636476516724,2026-09-22T12:00:20+00:00,L11,10.0,13,0,1,14,262,262,1394,262,0.15695305385374472,L12+RMS,True,tirex/monash_electricity_hourly,source_family,undocumented,24,1.0463299575822826,sustained_suffix_v1,11,0.9166666666666666,0.9972382954606991,90.0
tirex,uber_tlc_hourly,Uber TLC,complete,L10,0.8333333333333334,L12,0.24507532174919397,0.31094731308007967,0.8901264440760989,0.8021043372682952,50.14749598503113,2026-09-22T12:07:40+00:00,L10,10.0,13,0,0,14,262,262,1394,262,0.2916763067122847,L12+RMS,True,tirex/uber_tlc_hourly,source_family,undocumented,24,1.015135345795383,sustained_suffix_v1,10,0.8333333333333334,1.0222690792359754,90.0
tirex,wind_farms_hourly,Wind Farms,complete,L11,0.9166666666666666,L12,0.23693052393505137,0.6298183433370281,4.519451173759044,4.29954133505581,50.36231350898743,2026-09-22T12:11:12+00:00,L2,10.0,13,0,0,14,262,262,1394,262,0.6029220399317262,L12+RMS,True,tirex/wind_farms_hourly,source_family,undocumented,24,1.0053397112882532,sustained_suffix_v1,11,0.9166666666666666,1.006731165132616,90.0
tirex,sg_carpark,SG Carpark,complete,L11,0.9166666666666666,L12,0.1545171169616745,0.14538585999717482,0.7224079865074117,0.6503373497883956,50.822720766067505,2026-09-22T12:14:46+00:00,L11,10.0,13,0,0,14,354,354,1394,354,0.1323391604362224,L12+RMS,True,tirex/sg_carpark,source_family,undocumented,24,0.9877385280429588,sustained_suffix_v1,11,0.9166666666666666,1.0264880212980243,90.0
tirex,coastal_ts,Coastal T-S,complete,L1,0.08333333333333333,L12,0.37509053309137624,0.37204193308328587,1.2736026063996018,1.1318211957477553,54.32923197746277,2026-09-22T12:18:14+00:00,L1,30.0,13,0,0,14,48,24,1394,48,0.3444814778243502,L12+RMS,True,tirex/coastal_ts,source_family,undocumented,24,0.9832235950057571,sustained_suffix_v1,1,0.08333333333333333,1.0011894650089188,90.0
tirex,boom_hourly,BOOM,complete,L9,0.75,L12,0.19402137680747414,0.24319216765800103,1.1709595470746688,0.9384848774585556,58.396713972091675,2026-09-22T12:22:38+00:00,L1,10.0,13,0,0,14,354,354,1394,354,0.2117686270866714,L12+RMS,True,tirex/boom_hourly,source_family,undocumented,24,1.0293463392626658,sustained_suffix_v1,9,0.75,1.0437863538627536,90.0
tirex,LOOP_SEATTLE_5T,Loop Seattle,complete,L10,0.8333333333333334,L12,0.3224195958833203,0.26744812759677417,1.0984091683692896,1.20304473467509,57.636659383773804,2026-09-22T12:27:47+00:00,L10,65.0,13,5,0,14,262,262,1394,262,0.2877843820468615,L12+RMS,True,tirex/LOOP_SEATTLE_5T,source_family,undocumented,288,0.9741034410656841,sustained_suffix_v1,10,0.8333333333333334,1.0235649887965277,90.0
tirex,electricity_15min,Electricity 15min,complete,L10,0.8333333333333334,L12,0.17475306012362013,0.24398353230919093,1.3177656853156792,1.2409612395737233,57.51696848869324,2026-09-22T12:33:21+00:00,L10,6.5,13,0,1,14,262,262,1394,262,0.22903214303602443,L12+RMS,True,tirex/electricity_15min,source_family,undocumented,96,1.0347410351628108,sustained_suffix_v1,10,0.8333333333333334,1.0164018417624676,90.0
tirex,SZ_TAXI_15T,SZ Taxi,complete,Emb,0.0,L12,0.35531716488110715,0.3928501586883496,0.8016321283550851,0.7665431299304459,55.438621044158936,2026-09-22T12:37:02+00:00,Emb,45.0,13,0,0,14,156,156,1394,156,0.3746764618330277,L12+RMS,True,tirex/SZ_TAXI_15T,source_family,undocumented,96,1.051449710741707,sustained_suffix_v1,0,0.0,1.047939047671853,90.0
tirex,monash_london_smart_meters,London Smart Meters,complete,L8,0.6666666666666666,L12,0.2881610104458705,0.24394380996529838,0.8522492571086909,0.7783848242617092,57.84714484214783,2026-09-22T12:46:32+00:00,L8,10.0,13,0,0,14,262,262,1394,262,0.22818664303458233,L12+RMS,True,tirex/monash_london_smart_meters,source_family,undocumented,48,1.0523656272018476,sustained_suffix_v1,8,0.6666666666666666,1.0441288241555342,90.0
tirex,m5,M5,complete,Emb,0.0,L12,0.32577712667522996,0.35057145445998616,1.0675007124200788,0.9941386830111403,57.37378907203674,2026-09-22T12:52:00+00:00,Emb,30.0,13,0,0,14,262,262,1394,262,0.3313146344464244,L12+RMS,True,tirex/m5,benchmark_exclusion,explicitly_held_out,7,1.020288717864345,sustained_suffix_v1,0,0.0,1.0202091223753673,90.0
tirex,wiki_daily_100k,Wiki Daily,complete,L1,0.08333333333333333,L12,0.3087204988647736,0.29761430714990345,0.8552706302209637,0.8145906532768644,57.71598148345947,2026-09-22T13:05:32+00:00,L1,30.0,13,0,0,14,262,262,1394,262,0.29028899284819043,L12+RMS,True,tirex/wiki_daily_100k,source_family,undocumented,7,1.0671134368510218,sustained_suffix_v1,1,0.08333333333333333,1.0343126430852694,90.0
tirex,monash_traffic,Traffic,complete,L12,1.0,L12,0.12614163646886822,0.12062180192984698,0.68112971486981,0.5085091645489694,57.6235568523407,2026-09-22T13:10:01+00:00,L12,10.0,13,0,0,14,262,262,1394,262,0.09092339734370884,L12+RMS,True,tirex/monash_traffic,source_family,undocumented,24,1.0,sustained_suffix_v1,12,1.0,1.0,90.0
