source_dataset,target_dataset,seed,is_ood,quantile_set,layer,delta_vs_last,delta_ci_lo,delta_ci_hi,delta_above_zero,is_best_layer,is_last_layer,n_test_series,n_test_windows,bootstrap_replicates
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,8,-0.2420914681141193,-0.3042414676152613,-0.18127521116088727,False,False,False,286,650,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,9,-0.24028257736792913,-0.2963561327105328,-0.1862617832327207,False,False,False,286,650,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,10,-0.18150301117163403,-0.2320365922213312,-0.13209764352000813,False,False,False,286,650,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,11,-0.17100029523556026,-0.21385999998400806,-0.1289922015524242,False,False,False,286,650,5000
monash_electricity_hourly,monash_electricity_hourly,0,False,q9,12,0.0,0.0,0.0,False,False,True,286,650,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,0,0.623817174251263,0.4079547097786236,0.8382161369129186,True,False,False,245,650,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,1,1.423278372654548,1.286564645996057,1.5533340016352133,True,True,False,245,650,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,2,1.0180470136495732,0.8059423378923265,1.2029281838672705,True,False,False,245,650,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,3,0.5992974373010487,0.40106888101072136,0.7845989111123457,True,False,False,245,650,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,4,0.6203295029126679,0.4284130485121426,0.7951849123909599,True,False,False,245,650,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,5,0.6164669124896704,0.44688552875691584,0.7805862488256541,True,False,False,245,650,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,6,0.6005915882037236,0.403815849216456,0.7881855111488891,True,False,False,245,650,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,7,0.5826574395253106,0.40909298340750816,0.7570172922913363,True,False,False,245,650,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,8,-0.27634909373063365,-0.47868482199699514,-0.08118108487975893,False,False,False,245,650,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,9,-0.41336330633897056,-0.5952344301637081,-0.23396079507900067,False,False,False,245,650,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,10,-0.4488670499508203,-0.6041939196160048,-0.2952328050212878,False,False,False,245,650,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,11,-1.2288608444654026,-1.4416886105497333,-1.0210864555584962,False,False,False,245,650,5000
monash_electricity_hourly,uber_tlc_hourly,0,True,q9,12,0.0,0.0,0.0,False,False,True,245,650,5000
monash_electricity_hourly,wind_farms_hourly,0,True,q9,0,1.053295937684866,0.7804788796529166,1.323561299893017,True,True,False,261,650,5000
