source_dataset,target_dataset,probe_type,probe_layer,baseline,metric,probe_loss,baseline_loss,improvement_vs_baseline,improvement_ci_lo,improvement_ci_hi,probe_beats_baseline,skill_vs_baseline,n_series,n_windows,seed,quantile_config,context_length,prediction_length
uber_tlc_hourly,wind_farms_hourly,source_val_selected,3,last_value,mase,4.507798,2.042901,-2.464897,-2.993042,-1.989673,False,-1.206567,261,650,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,best_layer,0,native_chronos2,mase,4.588671,1.149311,-3.439359,-4.153385,-2.830598,False,-2.992539,261,650,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,best_layer,0,seasonal_naive,mase,4.588671,1.321993,-3.266677,-3.974999,-2.651822,False,-2.471024,261,650,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,best_layer,0,last_value,mase,4.588671,2.042901,-2.54577,-3.293777,-1.883886,False,-1.246154,261,650,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,final_layer,12,native_chronos2,mase,8.478253,1.149311,-7.328941,-9.475462,-5.706311,False,-6.37681,261,650,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,final_layer,12,seasonal_naive,mase,8.478253,1.321993,-7.156259,-9.28932,-5.543844,False,-5.413234,261,650,0,9,512,64
uber_tlc_hourly,wind_farms_hourly,final_layer,12,last_value,mase,8.478253,2.042901,-6.435352,-8.669551,-4.746134,False,-3.150105,261,650,0,9,512,64
m4_hourly,monash_electricity_hourly,source_val_selected,1,native_chronos2,mase,2.902584,0.823018,-2.079566,-2.330965,-1.865076,False,-2.526758,286,650,0,9,512,64
m4_hourly,monash_electricity_hourly,source_val_selected,1,seasonal_naive,mase,2.902584,1.194593,-1.707991,-1.968048,-1.488644,False,-1.429768,286,650,0,9,512,64
m4_hourly,monash_electricity_hourly,source_val_selected,1,last_value,mase,2.902584,4.378633,1.47605,1.163576,1.781178,True,0.337103,286,650,0,9,512,64
m4_hourly,monash_electricity_hourly,best_layer,3,native_chronos2,mase,3.07947,0.823018,-2.256452,-3.484112,-1.584818,False,-2.741682,286,650,0,9,512,64
m4_hourly,monash_electricity_hourly,best_layer,3,seasonal_naive,mase,3.07947,1.194593,-1.884877,-3.117471,-1.208485,False,-1.577841,286,650,0,9,512,64
m4_hourly,monash_electricity_hourly,best_layer,3,last_value,mase,3.07947,4.378633,1.299164,-0.000649,2.096485,False,0.296705,286,650,0,9,512,64
m4_hourly,monash_electricity_hourly,final_layer,12,native_chronos2,mase,2.660016,0.823018,-1.836999,-2.025959,-1.677799,False,-2.232029,286,650,0,9,512,64
m4_hourly,monash_electricity_hourly,final_layer,12,seasonal_naive,mase,2.660016,1.194593,-1.465424,-1.666257,-1.294319,False,-1.226714,286,650,0,9,512,64
m4_hourly,monash_electricity_hourly,final_layer,12,last_value,mase,2.660016,4.378633,1.718617,1.488028,1.951738,True,0.392501,286,650,0,9,512,64
m4_hourly,uber_tlc_hourly,source_val_selected,1,native_chronos2,mase,8.198347,0.690195,-7.508152,-15.56458,-2.384907,False,-10.878302,245,650,0,9,512,64
m4_hourly,uber_tlc_hourly,source_val_selected,1,seasonal_naive,mase,8.198347,1.144082,-7.054265,-15.11598,-1.923957,False,-6.165876,245,650,0,9,512,64
m4_hourly,uber_tlc_hourly,source_val_selected,1,last_value,mase,8.198347,1.448756,-6.749591,-14.796468,-1.608048,False,-4.658888,245,650,0,9,512,64
m4_hourly,uber_tlc_hourly,best_layer,6,native_chronos2,mase,3.344739,0.690195,-2.654544,-4.38274,-1.466271,False,-3.846077,245,650,0,9,512,64
m4_hourly,uber_tlc_hourly,best_layer,6,seasonal_naive,mase,3.344739,1.144082,-2.200657,-3.939711,-1.003875,False,-1.923514,245,650,0,9,512,64
m4_hourly,uber_tlc_hourly,best_layer,6,last_value,mase,3.344739,1.448756,-1.895983,-3.632266,-0.684833,False,-1.308697,245,650,0,9,512,64
m4_hourly,uber_tlc_hourly,final_layer,12,native_chronos2,mase,3.872651,0.690195,-3.182456,-4.987128,-1.899514,False,-4.610951,245,650,0,9,512,64
m4_hourly,uber_tlc_hourly,final_layer,12,seasonal_naive,mase,3.872651,1.144082,-2.72857,-4.54043,-1.446793,False,-2.384943,245,650,0,9,512,64
m4_hourly,uber_tlc_hourly,final_layer,12,last_value,mase,3.872651,1.448756,-2.423895,-4.255937,-1.129139,False,-1.673088,245,650,0,9,512,64
m4_hourly,m4_hourly,source_val_selected,1,native_chronos2,mase,3.673735,0.96565,-2.708084,-3.429267,-2.108271,False,-2.804415,124,650,0,9,512,64
m4_hourly,m4_hourly,source_val_selected,1,seasonal_naive,mase,3.673735,1.598819,-2.074916,-2.891086,-1.405957,False,-1.297781,124,650,0,9,512,64
m4_hourly,m4_hourly,source_val_selected,1,last_value,mase,3.673735,21.042695,17.36896,13.471829,21.667764,True,0.825415,124,650,0,9,512,64
m4_hourly,m4_hourly,best_layer,1,native_chronos2,mase,3.673735,0.96565,-2.708084,-3.429267,-2.108271,False,-2.804415,124,650,0,9,512,64
m4_hourly,m4_hourly,best_layer,1,seasonal_naive,mase,3.673735,1.598819,-2.074916,-2.891086,-1.405957,False,-1.297781,124,650,0,9,512,64
m4_hourly,m4_hourly,best_layer,1,last_value,mase,3.673735,21.042695,17.36896,13.471829,21.667764,True,0.825415,124,650,0,9,512,64
m4_hourly,m4_hourly,final_layer,12,native_chronos2,mase,3.999518,0.96565,-3.033867,-3.725959,-2.430266,False,-3.141786,124,650,0,9,512,64
m4_hourly,m4_hourly,final_layer,12,seasonal_naive,mase,3.999518,1.598819,-2.400699,-3.185075,-1.743102,False,-1.501546,124,650,0,9,512,64
m4_hourly,m4_hourly,final_layer,12,last_value,mase,3.999518,21.042695,17.043177,13.147879,21.361695,True,0.809933,124,650,0,9,512,64
m4_hourly,wind_farms_hourly,source_val_selected,1,native_chronos2,mase,66.790503,1.149311,-65.641191,-114.813293,-32.199475,False,-57.113491,261,650,0,9,512,64
m4_hourly,wind_farms_hourly,source_val_selected,1,seasonal_naive,mase,66.790503,1.321993,-65.46851,-114.657484,-32.029613,False,-49.522575,261,650,0,9,512,64
m4_hourly,wind_farms_hourly,source_val_selected,1,last_value,mase,66.790503,2.042901,-64.747602,-113.911647,-31.300658,False,-31.693951,261,650,0,9,512,64
m4_hourly,wind_farms_hourly,best_layer,10,native_chronos2,mase,13.488707,1.149311,-12.339396,-17.208461,-8.243134,False,-10.736337,261,650,0,9,512,64
m4_hourly,wind_farms_hourly,best_layer,10,seasonal_naive,mase,13.488707,1.321993,-12.166714,-17.005415,-8.049648,False,-9.20331,261,650,0,9,512,64
m4_hourly,wind_farms_hourly,best_layer,10,last_value,mase,13.488707,2.042901,-11.445806,-16.34301,-7.277047,False,-5.602722,261,650,0,9,512,64
m4_hourly,wind_farms_hourly,final_layer,12,native_chronos2,mase,14.885494,1.149311,-13.736182,-18.266691,-9.765746,False,-11.951662,261,650,0,9,512,64
m4_hourly,wind_farms_hourly,final_layer,12,seasonal_naive,mase,14.885494,1.321993,-13.5635,-18.130394,-9.575161,False,-10.259886,261,650,0,9,512,64
m4_hourly,wind_farms_hourly,final_layer,12,last_value,mase,14.885494,2.042901,-12.842593,-17.380669,-8.852155,False,-6.286449,261,650,0,9,512,64
