source_dataset,target_dataset,layer,seed,split,is_ood,pooling,quantile_config,quantile_set,context_length,prediction_length,probe_run_id,probe_checkpoint,selected_source_hyperparameters,quantile_loss,mean_pinball_loss,mase,mae_median_raw,n_test_windows,n_test_series
monash_electricity_hourly,uber_tlc_hourly,10,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L10.pt,"{""weight_decay"": 0.1}",7.235961437225342,0.4019978642463684,2.4316122257105266,8.627853875165288,650,245
monash_electricity_hourly,uber_tlc_hourly,11,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L11.pt,"{""weight_decay"": 0.1}",8.015955924987793,0.4453308582305908,2.7112574861973737,9.332308237104526,650,245
monash_electricity_hourly,uber_tlc_hourly,12,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L12.pt,"{""weight_decay"": 0.1}",6.787094593048096,0.37706080079078674,2.000395342805287,8.87292819565217,650,245
monash_electricity_hourly,m4_hourly,0,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L00.pt,"{""weight_decay"": 1e-05}",3.839167594909668,0.21328707039356232,10.705046990639895,803.5616520837832,650,124
monash_electricity_hourly,m4_hourly,1,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L01.pt,"{""weight_decay"": 0.01}",2.871821641921997,0.1595456451177597,8.754661406450715,524.2249126356534,650,124
monash_electricity_hourly,m4_hourly,2,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L02.pt,"{""weight_decay"": 0.1}",2.858611583709717,0.1588117629289627,7.1711881532594175,545.9121612278149,650,124
monash_electricity_hourly,m4_hourly,3,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L03.pt,"{""weight_decay"": 0.1}",2.4838271141052246,0.13799038529396057,6.055091985046583,540.4683217005248,650,124
monash_electricity_hourly,m4_hourly,4,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L04.pt,"{""weight_decay"": 0.1}",3.4722862243652344,0.19290481507778168,13.764566362033055,808.2839589370533,650,124
monash_electricity_hourly,m4_hourly,5,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L05.pt,"{""weight_decay"": 0.1}",3.460360527038574,0.19224224984645844,13.126747613651183,1088.856068770134,650,124
monash_electricity_hourly,m4_hourly,6,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L06.pt,"{""weight_decay"": 0.1}",3.6869516372680664,0.20483064651489258,13.441943209316543,942.3165402895308,650,124
