dataset,kind,condition,layer,layer_label,mase,mase_ci_lo,mase_ci_hi,relative_regret_mase,wql,relative_regret_wql
coastal_ts,PT-OOD,linear_adapter,10,L10,1.198978,0.976275,1.466613,0.060108,0.162337,0.048123
coastal_ts,PT-OOD,linear_adapter,11,L11,1.191931,1.016559,1.394619,0.053877,0.163839,0.05782
coastal_ts,PT-OOD,linear_adapter,12,L12,1.096428,0.916389,1.310479,-0.030565,0.149034,-0.03777
coastal_ts,PT-OOD,linear_adapter,13,L12+RMS,1.130997,0.942115,1.355057,0.0,0.154884,0.0
boom_hourly,PT-OOD,native,13,L12+RMS,0.947018,0.557852,1.564358,0.0,5.524913,0.0
boom_hourly,PT-OOD,zero_shot,0,Emb,1.872471,1.428903,2.509167,0.977229,13.976954,1.529805
boom_hourly,PT-OOD,zero_shot,1,L1,1.465538,1.041498,2.100785,0.547529,10.817618,0.957971
boom_hourly,PT-OOD,zero_shot,2,L2,1.410636,0.987246,2.044424,0.489556,11.485052,1.078775
boom_hourly,PT-OOD,zero_shot,3,L3,1.376453,0.955005,2.00727,0.45346,10.922081,0.976878
boom_hourly,PT-OOD,zero_shot,4,L4,1.327141,0.911153,1.96042,0.401389,10.766627,0.948741
boom_hourly,PT-OOD,zero_shot,5,L5,1.33628,0.925509,1.962336,0.411039,10.533594,0.906563
boom_hourly,PT-OOD,zero_shot,6,L6,1.338453,0.932341,1.959542,0.413334,10.631646,0.92431
boom_hourly,PT-OOD,zero_shot,7,L7,1.325483,0.920877,1.945745,0.399638,10.701276,0.936913
boom_hourly,PT-OOD,zero_shot,8,L8,1.328633,0.925962,1.944081,0.402965,10.491771,0.898993
boom_hourly,PT-OOD,zero_shot,9,L9,1.28996,0.890064,1.901059,0.362128,11.071804,1.003978
boom_hourly,PT-OOD,zero_shot,10,L10,1.077142,0.68797,1.696317,0.137404,9.896568,0.791262
boom_hourly,PT-OOD,zero_shot,11,L11,1.109743,0.722211,1.735476,0.171829,15.875554,1.873449
boom_hourly,PT-OOD,zero_shot,12,L12,0.947018,0.557852,1.564358,0.0,5.524913,0.0
boom_hourly,PT-OOD,zero_shot,13,L12+RMS,0.947018,0.557852,1.564358,0.0,5.524913,0.0
boom_hourly,PT-OOD,linear_adapter,0,Emb,1.698894,1.255239,2.324318,0.79394,12.753783,1.308413
boom_hourly,PT-OOD,linear_adapter,1,L1,1.051007,0.658472,1.673269,0.109807,6.671756,0.207577
boom_hourly,PT-OOD,linear_adapter,2,L2,1.051718,0.65805,1.673579,0.110557,6.517798,0.17971
boom_hourly,PT-OOD,linear_adapter,3,L3,1.047476,0.655963,1.674059,0.106078,6.490019,0.174682
boom_hourly,PT-OOD,linear_adapter,4,L4,1.052764,0.661611,1.674592,0.111662,6.389017,0.156401
boom_hourly,PT-OOD,linear_adapter,5,L5,1.049708,0.660254,1.666068,0.108435,6.463409,0.169866
boom_hourly,PT-OOD,linear_adapter,6,L6,1.076837,0.685129,1.696875,0.137081,6.900018,0.248892
boom_hourly,PT-OOD,linear_adapter,7,L7,1.078061,0.689018,1.694368,0.138374,6.824557,0.235233
boom_hourly,PT-OOD,linear_adapter,8,L8,1.088193,0.698821,1.704678,0.149073,7.098561,0.284828
boom_hourly,PT-OOD,linear_adapter,9,L9,1.097544,0.703908,1.722576,0.158947,7.201477,0.303455
boom_hourly,PT-OOD,linear_adapter,10,L10,1.024373,0.636553,1.643655,0.081683,6.26563,0.134069
boom_hourly,PT-OOD,linear_adapter,11,L11,0.980954,0.590958,1.600247,0.035834,5.99107,0.084374
boom_hourly,PT-OOD,linear_adapter,12,L12,0.975574,0.585954,1.59358,0.030153,5.769,0.044179
boom_hourly,PT-OOD,linear_adapter,13,L12+RMS,0.947018,0.557852,1.564358,0.0,5.524913,0.0
