dataset,short,kind,layer,layer_label,condition,experiment,mase,mase_ci_lo,mase_ci_hi
uber_tlc_hourly,Uber,PT-ID,13,L12+RMS,native,ext_v5,0.805776,0.770208,0.84448
uber_tlc_hourly,Uber,PT-ID,13,L12+RMS,zero_shot,ext_v5,0.805776,0.770208,0.84448
uber_tlc_hourly,Uber,PT-ID,13,L12+RMS,linear_adapter,ext_v5,0.805776,0.770208,0.84448
uber_tlc_hourly,Uber,PT-ID,13,L12+RMS,linear_probe_q9,ext_v4,0.954231,,
m4_hourly,M4,PT-ID,0,Emb,zero_shot,ext_v5,10.352765,8.64747,12.232218
m4_hourly,M4,PT-ID,0,Emb,linear_adapter,ext_v5,10.053194,8.393986,11.905419
m4_hourly,M4,PT-ID,0,Emb,linear_probe_q9,ext_v4,9.904229,,
m4_hourly,M4,PT-ID,1,L1,zero_shot,ext_v5,10.465466,8.713873,12.389925
m4_hourly,M4,PT-ID,1,L1,linear_adapter,ext_v5,5.955725,5.024572,7.00607
m4_hourly,M4,PT-ID,1,L1,linear_probe_q9,ext_v4,5.799466,,
m4_hourly,M4,PT-ID,2,L2,zero_shot,ext_v5,10.117257,8.418393,11.978937
m4_hourly,M4,PT-ID,2,L2,linear_adapter,ext_v5,1.811844,1.591731,2.079462
m4_hourly,M4,PT-ID,2,L2,linear_probe_q9,ext_v4,2.93337,,
m4_hourly,M4,PT-ID,3,L3,zero_shot,ext_v5,8.782194,7.326174,10.385473
m4_hourly,M4,PT-ID,3,L3,linear_adapter,ext_v5,1.441719,1.306236,1.595212
m4_hourly,M4,PT-ID,3,L3,linear_probe_q9,ext_v4,2.896855,,
m4_hourly,M4,PT-ID,4,L4,zero_shot,ext_v5,7.775913,6.489364,9.183142
m4_hourly,M4,PT-ID,4,L4,linear_adapter,ext_v5,1.368752,1.244127,1.507454
m4_hourly,M4,PT-ID,4,L4,linear_probe_q9,ext_v4,3.015761,,
m4_hourly,M4,PT-ID,5,L5,zero_shot,ext_v5,4.550252,3.840006,5.337755
m4_hourly,M4,PT-ID,5,L5,linear_adapter,ext_v5,1.214562,1.089186,1.359669
m4_hourly,M4,PT-ID,5,L5,linear_probe_q9,ext_v4,3.414635,,
m4_hourly,M4,PT-ID,6,L6,zero_shot,ext_v5,3.430681,2.926517,4.000816
m4_hourly,M4,PT-ID,6,L6,linear_adapter,ext_v5,1.241643,1.10954,1.398027
m4_hourly,M4,PT-ID,6,L6,linear_probe_q9,ext_v4,3.485159,,
