dataset,short,kind,layer,cka_to_final
coastal_ts,Coastal-TS,PT-OOD,L1,0.7283524256334852
coastal_ts,Coastal-TS,PT-OOD,L2,0.7250358962692147
coastal_ts,Coastal-TS,PT-OOD,L3,0.7346237938739915
coastal_ts,Coastal-TS,PT-OOD,L4,0.7371294696989966
coastal_ts,Coastal-TS,PT-OOD,L5,0.7451145739204648
coastal_ts,Coastal-TS,PT-OOD,L6,0.7450129743866498
coastal_ts,Coastal-TS,PT-OOD,L7,0.7561559620289224
coastal_ts,Coastal-TS,PT-OOD,L8,0.7516915256301343
coastal_ts,Coastal-TS,PT-OOD,L9,0.7469547888486946
coastal_ts,Coastal-TS,PT-OOD,L10,0.7254931825618481
coastal_ts,Coastal-TS,PT-OOD,L11,0.7186741680480624
coastal_ts,Coastal-TS,PT-OOD,L12,0.8478459550113737
coastal_ts,Coastal-TS,PT-OOD,L12+LN,1.0
boom_hourly,BOOM,PT-OOD,Emb,0.5034065176696922
boom_hourly,BOOM,PT-OOD,L1,0.6015797783162605
boom_hourly,BOOM,PT-OOD,L2,0.6545308716521583
boom_hourly,BOOM,PT-OOD,L3,0.668714538594428
boom_hourly,BOOM,PT-OOD,L4,0.6811508792427627
boom_hourly,BOOM,PT-OOD,L5,0.68712935672817
boom_hourly,BOOM,PT-OOD,L6,0.6863344514224147
boom_hourly,BOOM,PT-OOD,L7,0.6928367247449098
boom_hourly,BOOM,PT-OOD,L8,0.700742517624938
boom_hourly,BOOM,PT-OOD,L9,0.7099519003720391
boom_hourly,BOOM,PT-OOD,L10,0.7182154817321471
boom_hourly,BOOM,PT-OOD,L11,0.7555583125698047
boom_hourly,BOOM,PT-OOD,L12,0.6460476469489342
boom_hourly,BOOM,PT-OOD,L12+LN,1.0
