model,dataset,display_name,role,domain,freq,seasonal_m,provenance_status,provenance_evidence_scope,layer,point_index,point_type,relative_depth,relative_position,kind,train_loss,val_loss,test_loss,test_loss_ci_lo,test_loss_ci_hi,test_mase,test_mae,test_wql,weight_decay,is_tunnel_entrance,is_reference_point,effective_rank_train_headline,normalized_effective_rank_train_headline,native_loss,native_mase
chronos2,wind_farms_hourly,Wind Farms,primary,renewable generation,1H,24,pretraining_exposed,exact_dataset,L7,7,block_depth,0.5833333333333334,0.5833333333333334,block,0.14848050020015138,0.15668639432610446,0.15438434888274616,0.14178853182811715,0.16775893258990165,4.670083101990507,17.16268036807241,1.70038361304721,3.0,False,False,97.31619023060063,0.12671378936276123,0.13527465271037017,4.3542799551847065
chronos2,wind_farms_hourly,Wind Farms,primary,renewable generation,1H,24,pretraining_exposed,exact_dataset,L8,8,block_depth,0.6666666666666666,0.6666666666666666,block,0.1449859355866289,0.15525549753988518,0.15825498070681596,0.14481038919806422,0.17260382409733613,4.692029042812863,17.556749244608643,1.741757450073118,3.0,False,False,101.19033354896006,0.13175824680854173,0.13527465271037017,4.3542799551847065
chronos2,wind_farms_hourly,Wind Farms,primary,renewable generation,1H,24,pretraining_exposed,exact_dataset,L9,9,block_depth,0.75,0.75,block,0.14292658171168873,0.1571172397754347,0.15522030822022725,0.14206226649729692,0.16900870309580998,4.66477692426089,17.07663898950093,1.684318415964033,3.0,False,False,85.68174121414452,0.11156476720591735,0.13527465271037017,4.3542799551847065
chronos2,wind_farms_hourly,Wind Farms,primary,renewable generation,1H,24,pretraining_exposed,exact_dataset,L10,10,block_depth,0.8333333333333334,0.8333333333333334,block,0.14659262561323483,0.1664047746115741,0.16710624437182003,0.15441827500445185,0.17999982250790386,4.906430265966957,16.964162227817802,1.6874839846719711,3.0,False,False,23.917456792911835,0.031142521865770618,0.13527465271037017,4.3542799551847065
chronos2,wind_farms_hourly,Wind Farms,primary,renewable generation,1H,24,pretraining_exposed,exact_dataset,L11,11,block_depth,0.9166666666666666,0.9166666666666666,block,0.14787852023881853,0.1668691819690111,0.16985454101769523,0.15600054412653658,0.18407589499732008,5.026188715251918,16.676267095125173,1.6694816642573407,3.0,False,False,7.533522738467811,0.009809274399046629,0.13527465271037017,4.3542799551847065
chronos2,wind_farms_hourly,Wind Farms,primary,renewable generation,1H,24,pretraining_exposed,exact_dataset,L12,12,block_depth,1.0,1.0,block,0.1488171065202146,0.16255264942541378,0.16874354203295616,0.15405090269454905,0.1838942310538228,4.9486216483924945,17.086290791216836,1.6814963849102698,3.0,False,True,2.759763696746883,0.0035934423134725037,0.13527465271037017,4.3542799551847065
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,Emb,0,block_depth,0.0,0.0,embedding,0.2615414204308429,0.2705754882282456,0.268995183883077,0.2635287136628719,0.27484014776277504,2.3225680970626046,35.13916076904117,0.921965451861571,0.001,False,False,1.0006743686280868,0.001302961417484488,0.07320929818923486,0.5977898889598999
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,L1,1,block_depth,0.08333333333333333,0.08333333333333333,block,0.1917578836788064,0.22244069521120713,0.20248191277522826,0.19642770709838234,0.2094020249827181,1.7933334585034182,27.01345716263357,0.7191196275978087,1e-05,False,False,8.965598315438159,0.011673956139893436,0.07320929818923486,0.5977898889598999
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,L2,2,block_depth,0.16666666666666666,0.16666666666666666,block,0.1337549822028176,0.14608222180924846,0.14248614663542328,0.1354970002389055,0.15002862902537073,1.2392634606821287,18.767252601117967,0.5225834194358927,1.0,False,False,12.81709965549469,0.016688931843092045,0.07320929818923486,0.5977898889598999
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,L3,3,block_depth,0.25,0.25,block,0.10753678427300974,0.12413108817138578,0.10497257729076732,0.09758681524886965,0.1129439106721452,0.8513998605096195,13.101308649890155,0.392286189458106,3.0,False,False,20.085432940087124,0.026152907474071774,0.07320929818923486,0.5977898889598999
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,L4,4,block_depth,0.3333333333333333,0.3333333333333333,block,0.09831491786147464,0.12570462479008793,0.09880293779453989,0.09125382392693543,0.10703934655382723,0.8039807147266873,12.426547576083445,0.37337190131796055,1.0,False,False,29.000971995483365,0.03776168228578563,0.07320929818923486,0.5977898889598999
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,L5,5,block_depth,0.4166666666666667,0.4166666666666667,block,0.09721657394069425,0.12028264551092002,0.09625468366269001,0.0886384561342203,0.10459135294349936,0.7892603793022992,12.152268044297557,0.3658428149747162,3.0,False,False,32.21103004483803,0.04194144537088285,0.07320929818923486,0.5977898889598999
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,L6,6,block_depth,0.5,0.5,block,0.09169416890146914,0.11853008545766779,0.09599556221421492,0.08796313572701298,0.1045117686492112,0.7969255625493662,12.320856414774811,0.36334448994977697,1.0,False,False,44.14079071966938,0.057474987916236175,0.07320929818923486,0.5977898889598999
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,L7,7,block_depth,0.5833333333333334,0.5833333333333334,block,0.09405060642942722,0.11185574309511037,0.09553380664122307,0.08792005163291206,0.10382807806086868,0.7944762303300408,12.127089209058552,0.3594168888018583,3.0,False,False,36.8470001325533,0.04797786475592877,0.07320929818923486,0.5977898889598999
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,L8,8,block_depth,0.6666666666666666,0.6666666666666666,block,0.09224799278605104,0.11023620846497137,0.0961412379234019,0.08855028343386948,0.10445310242768735,0.7771786873588952,11.911299219352038,0.3612773988410346,3.0,False,False,40.10280931581487,0.052217199629967286,0.07320929818923486,0.5977898889598999
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,L9,9,block_depth,0.75,0.75,block,0.0953526557363046,0.10701169216700193,0.0983159946814432,0.09100526254966139,0.10644095392455741,0.8067674425238326,12.302765489386102,0.3698341703335432,3.0,False,False,27.14046106537572,0.03533914201220797,0.07320929818923486,0.5977898889598999
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,L10,10,block_depth,0.8333333333333334,0.8333333333333334,block,0.09200499987649267,0.10345169931313412,0.09662906721360602,0.08906015147360326,0.10501199933979133,0.7939972273731792,12.000686691322128,0.3644696105318294,1.0,True,False,20.83200177463604,0.02712500231072401,0.07320929818923486,0.5977898889598999
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,L11,11,block_depth,0.9166666666666666,0.9166666666666666,block,0.10060796491705533,0.10013008653317805,0.09982079960995138,0.09234375372334347,0.10829338375136971,0.9413186344331539,14.224701834177614,0.38955985274488203,3.0,False,False,12.83183663566937,0.01670812061936116,0.07320929818923486,0.5977898889598999
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,L12,12,block_depth,1.0,1.0,block,0.10321951843530923,0.09991709136609304,0.10247694243187622,0.0948101635775029,0.11110793547494346,0.7893857164350062,11.95188918460599,0.39565057823915223,3.0,False,True,6.942618959469469,0.009039868436809205,0.07320929818923486,0.5977898889598999
chronos2,coastal_ts,Coastal T-S,primary,nature / oceanography,1H,24,not_listed,exact_dataset,Emb,0,block_depth,0.0,0.0,embedding,0.3240008478078302,0.3270370727404952,0.32671686882774037,0.2888656203945478,0.3704610351395483,2.4473422509822353,0.5259480182874796,0.12992987429111863,1e-05,False,False,1.0006743686280868,0.001302961417484488,0.19243897823616862,1.1274563050077802
