model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,n_probe_params,test_loss,test_loss_ci_hi,test_loss_ci_lo,test_loss_delta_ci_hi,test_loss_delta_ci_lo,test_loss_delta_vs_last,test_loss_point,test_mae,test_mae_ci_hi,test_mae_ci_lo,test_mae_delta_ci_hi,test_mae_delta_ci_lo,test_mae_delta_vs_last,test_mae_point,test_mase,test_mase_ci_hi,test_mase_ci_lo,test_mase_delta_ci_hi,test_mase_delta_ci_lo,test_mase_delta_vs_last,test_mase_point,test_wql,test_wql_ci_hi,test_wql_ci_lo,test_wql_delta_ci_hi,test_wql_delta_ci_lo,test_wql_delta_vs_last,test_wql_point,train_loss,val_loss,wd_at_grid_max,wd_at_grid_min,weight_decay
chronos2,m4_hourly,M4,10,L10,block,block_depth,True,10,0.8333333333333334,0.8333333333333334,False,False,False,110736,0.11789216237668773,0.12421561945656329,0.11211226108192487,-0.0021094961980542637,-0.006182990272223719,-0.00391068938010522,0.11789216237668773,346.7633200492653,486.7055967476145,224.20374782717298,9.884407944926531,-11.067238209678411,-1.269776255570605,346.7633200492653,3.945225897047958,4.621619773172784,3.3341867728134873,0.14814503404376791,0.010345683370464664,0.08271533701076494,3.945225897047958,0.5342094604167326,0.6033377681695774,0.4904153692875537,0.013439722040453825,-0.010606650752590489,0.0013460252428937336,0.5342094604167326,0.09651663544263098,0.1099937891033087,False,False,1.0
chronos2,m4_hourly,M4,11,L11,block,block_depth,True,11,0.9166666666666666,0.9166666666666666,False,False,False,110736,0.11987134936542912,0.12539893349149187,0.11473034730337503,-0.004694262626118791,-0.007176114986330719,-0.005889876368846608,0.11987134936542912,361.6389417377713,507.0859545173831,235.161750233747,-6.713764796933984,-26.20645522089726,-16.145397944076592,361.6389417377713,4.42788477045828,5.150478925034648,3.753234393169846,-0.32566658529253084,-0.4798122035131075,-0.39994353639955715,4.42788477045828,0.5582577872118543,0.6256918586036703,0.5127981279756356,-0.011879427819339162,-0.033385967012047366,-0.022702301552227966,0.5582577872118543,0.1016403927843232,0.11326619934375959,True,False,3.0
chronos2,m4_hourly,M4,12,L12,block,block_depth,True,12,1.0,1.0,False,True,False,110736,0.11398147299658251,0.11972650212328169,0.10876949477784392,0.0,0.0,0.0,0.11398147299658251,345.4935437936947,486.537878760409,221.63515084174063,0.0,0.0,0.0,345.4935437936947,4.027941234058723,4.697966800887483,3.4127487944296018,0.0,0.0,0.0,4.027941234058723,0.5355554856596263,0.6077432780972712,0.4885916063060023,0.0,0.0,0.0,0.5355554856596263,0.0977024342009592,0.1064494425388238,True,False,3.0
chronos2,m4_hourly,M4,13,L12+LN,final_norm,head_input_diagnostic,False,12,,,False,False,True,110736,0.11154310567347148,0.11756690398128773,0.10591253286426645,0.003561706136457106,0.0013232567383132815,0.0024383673231110348,0.11154310567347148,371.15729872737217,523.2517706156457,238.02483258022764,-14.152053590936728,-39.45454092393116,-25.663754933677467,371.15729872737217,3.9788897088874573,4.635788446038892,3.3851511768125904,0.1036189315155037,-0.004269062838408754,0.04905152517126554,3.9788897088874573,0.5308368868373887,0.6007673699786302,0.4859218906838075,0.014735779547342375,-0.0040854745022874586,0.004718598822237574,0.5308368868373887,0.09305398135981822,0.10519884657541304,True,False,3.0
chronos2,monash_electricity_hourly,Electricity,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,110736,0.2651963917012433,0.26967654730271523,0.26070166933172534,-0.1405650972523762,-0.15212773293939258,-0.1464597014212654,0.2651963917012433,672.4151693261931,1108.3242907164781,387.34973986296774,-235.44749524403858,-712.9487021139884,-423.161681105748,672.4151693261931,2.4958978715017017,2.61427537280426,2.377494061615695,-1.3794388895221186,-1.563565367087819,-1.4717808359245474,2.4958978715017017,1.8512416767545201,2.074639226209715,1.6052254917318385,-0.8659323530580746,-1.2216877190474924,-1.049746383373775,1.8512416767545201,0.26303879966908583,0.2555157448385508,False,False,0.0001
chronos2,monash_electricity_hourly,Electricity,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,110736,0.20781323717523167,0.21263575176104108,0.20334057691471497,-0.08428345383287102,-0.09404316569593174,-0.08907654689525375,0.20781323717523167,512.7998510067416,837.7092994741464,299.44221239656554,-146.63006748731777,-445.71372685448614,-263.5463627862965,512.7998510067416,1.936033422559101,2.0232410058825026,1.8519737350234045,-0.8510380043556952,-0.9724195559604716,-0.9119163869819467,1.936033422559101,1.42238411222014,1.5821176044656613,1.2556224139108063,-0.4917622106603698,-0.733750070937493,-0.6208888188393948,1.42238411222014,0.1899912055565774,0.20282039205536587,False,False,0.001
chronos2,monash_electricity_hourly,Electricity,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,110736,0.14643926400947208,0.1525613594906874,0.14095789080997573,-0.023924781096999657,-0.03184425113153936,-0.027702573729494154,0.14643926400947208,287.62536065291937,422.67232355514193,186.356231450072,-11.405683544204106,-63.07436024503006,-38.371872432474305,287.62536065291937,1.210130966332319,1.267297963425504,1.1589812224304719,-0.15690715933777727,-0.21724098014703913,-0.1860139307551647,1.210130966332319,0.9280803365589066,1.0191196397932094,0.866782977293024,-0.05244866626229277,-0.2201073562274639,-0.12658504317816155,0.9280803365589066,0.10986184421258643,0.1326814982329161,False,False,0.1
chronos2,monash_electricity_hourly,Electricity,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,110736,0.1198541922708049,0.12672713408459915,0.11379962610151931,0.002383943625107294,-0.004780217684549465,-0.0011175019908269829,0.1198541922708049,241.39168981711362,369.30359110831546,149.67750536394493,33.42012103167811,-10.741411181558258,7.8617984033314485,241.39168981711362,1.0046301988604907,1.0617063260885795,0.9571312459758938,0.042605085989329695,-0.005348524207048721,0.019486836716663625,1.0046301988604907,0.7413414868499376,0.8088533512627963,0.6894283582584638,0.13025826716474484,-0.014220897516614341,0.060153806530807485,0.7413414868499376,0.09450373925546578,0.09858209757802595,False,False,0.3
chronos2,monash_electricity_hourly,Electricity,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,110736,0.12145335376547038,0.12788012684216254,0.11566751103471425,0.00014314524516577645,-0.005807191349267403,-0.00271666348549246,0.12145335376547038,244.9238942160348,370.5555216796264,154.09367311163638,31.038292514927207,-12.824488802635635,4.329594004410268,244.9238942160348,1.0456927864532164,1.103324287426031,0.9954359299745709,-0.003715772402815637,-0.04123320889682882,-0.021575750876062116,1.0456927864532164,0.7435583810423128,0.8264395534341085,0.6771995135742107,0.13058633603162614,-0.01471475602204371,0.057936912338432345,0.7435583810423128,0.09385898264079559,0.09316622394755597,True,False,3.0
chronos2,monash_electricity_hourly,Electricity,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,110736,0.12356728609679764,0.13020205888541714,0.11761100618737459,-0.0022433525779576163,-0.007650025286676215,-0.004830595816819716,0.12356728609679764,246.4551189642151,370.31475300619275,155.73250988495846,31.767868280117288,-15.09858357706782,2.798369256229961,246.4551189642151,1.0475563257836238,1.1051385444473116,0.9962002501620155,-0.006249857632221668,-0.041814842821256595,-0.02343929020646951,1.0475563257836238,0.7671458013707282,0.862165416008746,0.6905438141069289,0.11869706584154582,-0.04421696832057134,0.03434949201001691,0.7671458013707282,0.08974106962307539,0.08987650460073056,False,False,1.0
chronos2,monash_electricity_hourly,Electricity,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,110736,0.1232232868045796,0.12982256773518014,0.11727413719463098,-0.001982714495628722,-0.007062735159362439,-0.004486596524601677,0.1232232868045796,251.55742377902916,388.80033492021374,155.04596282142776,14.74788048323895,-14.6927068950113,-2.303935558584101,251.55742377902916,1.0530765211187867,1.1110342288202462,1.0016839072775436,-0.011838012616885685,-0.04601776819701118,-0.028959485541632413,1.0530765211187867,0.7607866064542351,0.8536547711845093,0.6838171133438727,0.11771512117716872,-0.034418473090836635,0.040708686926509974,0.7607866064542351,0.0874168190175141,0.09065790269666045,False,False,1.0
chronos2,monash_electricity_hourly,Electricity,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,110736,0.12541312543774835,0.13186236677357202,0.11949255723143637,-0.004390868841393175,-0.009089642073177086,-0.00667643515777043,0.12541312543774835,252.5102119664405,385.44862610653996,157.86541791371545,15.914032344997977,-16.119185039397895,-3.25672374599543,252.5102119664405,1.0664325392422012,1.1235474791728046,1.0144917249266072,-0.025990224506707786,-0.059463322602140704,-0.04231550366504688,1.0664325392422012,0.7875935000090575,0.8742383431593794,0.7126290062208983,0.07843012810345931,-0.05202546700532996,0.01390179337168762,0.7875935000090575,0.08841989949944201,0.09024270838624193,False,False,1.0
chronos2,monash_electricity_hourly,Electricity,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,110736,0.12432491445188759,0.13093510239939596,0.11827131174646943,-0.003375516248554101,-0.007990533389321713,-0.00558822417190967,0.12432491445188759,250.38542449130526,377.2129691636498,158.60707439345512,23.638956056918563,-17.2935720980907,-1.1319362708601943,250.38542449130526,1.0721766781204605,1.1292981631230719,1.0185119111881977,-0.031116883930675857,-0.06556434258158858,-0.04805964254330619,1.0721766781204605,0.768269842403709,0.8679476625402683,0.6848925799123906,0.1077658545421448,-0.045961519519577956,0.03322545097703611,0.768269842403709,0.08865985814936278,0.08913532586213742,True,False,3.0
chronos2,monash_electricity_hourly,Electricity,9,L9,block,block_depth,True,9,0.75,0.75,True,False,False,110736,0.12172569078571013,0.12854638235316476,0.11562232618710695,-0.0011265549371516658,-0.005033271198822111,-0.0029890005057322117,0.12172569078571013,246.88608274756652,378.2773962724418,154.3545018882359,19.4460664657716,-9.914467001339059,2.367405472878545,246.88608274756652,1.0413373492767506,1.0982726882491924,0.9890037231287898,-0.0005317725469589135,-0.03459155879191581,-0.017220313699596312,1.0413373492767506,0.7549407670749964,0.8384234063627541,0.682157989206897,0.10730884324032852,-0.01811830692167316,0.046554526305748745,0.7549407670749964,0.08831868496278522,0.0859897627232184,True,False,3.0
chronos2,monash_electricity_hourly,Electricity,10,L10,block,block_depth,True,10,0.8333333333333334,0.8333333333333334,False,False,False,110736,0.12365278122477404,0.13043192842342527,0.11754210718644371,-0.0032784238518109125,-0.00666687566971846,-0.004916090944796114,0.12365278122477404,233.69564882589754,345.12714437163714,151.12976336951425,53.20735252040016,-5.7029985242822026,15.557839394547528,233.69564882589754,1.0367056692863992,1.094300572348963,0.983902061560778,0.0020726090532256795,-0.027678433804216872,-0.0125886337092449,1.0367056692863992,0.7791840272529935,0.859317639852141,0.7029770255288443,0.07196791926608806,-0.03817117613902521,0.022311266127751583,0.7791840272529935,0.09170282292453681,0.08679779564947572,True,False,3.0
