pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,layer,layer_label,quantile_loss,mase,is_selected_layer,is_reference,in_sustained_tunnel
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,9,L9,3.386652,1.787857,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,10,L10,4.390649,50.707153,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,11,L11,4.585136,6.666787,True,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,12,L12,5.502985,7.306686,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,13,L12+LN,3.815796,2.055299,False,True,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,sg_carpark,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,12,13,L12+LN,q9,fslot_mlp,native_mlp,0,Emb,6.81227,2.710758,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,sg_carpark,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,12,13,L12+LN,q9,fslot_mlp,native_mlp,1,L1,4.54369,2.125253,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,sg_carpark,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,12,13,L12+LN,q9,fslot_mlp,native_mlp,2,L2,4.328317,1.980794,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,sg_carpark,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,12,13,L12+LN,q9,fslot_mlp,native_mlp,3,L3,3.64227,1.557639,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,sg_carpark,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,12,13,L12+LN,q9,fslot_mlp,native_mlp,4,L4,3.564135,1.655748,False,False,False
