dataset,display_name,domain_status,layer,layer_name,probe_q9_loss,native_head_q9_loss,probe_relative_to_L20,native_head_relative_to_L20,alignment_gap,native_head_mase,native_head_median_pinball
m4_hourly,M4,PT-ID,4,L4,0.144421,13.494426,1.097981,154.073657,13.350006,209.365426,9.521012
m4_hourly,M4,PT-ID,5,L5,0.142197,45.382997,1.081075,518.163880,45.240801,196.891926,10.036177
m4_hourly,M4,PT-ID,6,L6,0.138651,56.803948,1.054114,648.563464,56.665297,288.700408,20.075023
m4_hourly,M4,PT-ID,7,L7,0.140006,75.233035,1.064423,858.978985,75.093028,354.464922,21.469427
m4_hourly,M4,PT-ID,8,L8,0.141429,96.160241,1.075238,1097.916977,96.018812,456.639349,23.910765
m4_hourly,M4,PT-ID,9,L9,0.142077,61.705490,1.080166,704.527197,61.563412,459.659875,29.996520
m4_hourly,M4,PT-ID,10,L10,0.143755,60.833670,1.092923,694.573122,60.689914,377.709233,26.621463
m4_hourly,M4,PT-ID,11,L11,0.142234,75.082170,1.081360,857.256482,74.939936,472.003494,36.173519
m4_hourly,M4,PT-ID,12,L12,0.139959,63.868932,1.064059,729.228471,63.728974,645.251785,37.617165
m4_hourly,M4,PT-ID,13,L13,0.135062,46.312510,1.026834,528.776656,46.177447,689.274404,39.006536
m4_hourly,M4,PT-ID,14,L14,0.135136,27.914734,1.027392,318.718627,27.779598,377.377647,23.414201
m4_hourly,M4,PT-ID,15,L15,0.135449,89.050310,1.029772,1016.738799,88.914862,961.935343,38.021333
m4_hourly,M4,PT-ID,16,L16,0.130520,19.792708,0.992299,225.984778,19.662189,335.980288,18.485045
m4_hourly,M4,PT-ID,17,L17,0.127786,17.086965,0.971513,195.091747,16.959180,334.760142,17.629458
m4_hourly,M4,PT-ID,18,L18,0.130109,12.763609,0.989172,145.729493,12.633500,246.064445,13.213819
m4_hourly,M4,PT-ID,19,L19,0.129837,1.358584,0.987109,15.511735,1.228747,20.176375,1.309678
m4_hourly,M4,PT-ID,20,L20,0.131533,0.087584,1.000000,1.000000,-0.043949,0.829498,0.109012
wind_farms_hourly,Wind Farms,PT-ID,0,Emb,0.630270,11.189444,1.037126,19.577389,10.559174,47.215321,7.265587
wind_farms_hourly,Wind Farms,PT-ID,1,L1,0.612183,10.172672,1.007364,17.798414,9.560488,49.359854,8.072343
wind_farms_hourly,Wind Farms,PT-ID,2,L2,0.609999,8.831355,1.003770,15.451606,8.221356,53.643092,8.299933
wind_farms_hourly,Wind Farms,PT-ID,3,L3,0.608120,14.255875,1.000677,24.942511,13.647756,94.109957,13.110494
wind_farms_hourly,Wind Farms,PT-ID,4,L4,0.608440,10.157986,1.001205,17.772719,9.549545,60.313858,9.559733
wind_farms_hourly,Wind Farms,PT-ID,5,L5,0.609685,22.498022,1.003253,39.363220,21.888337,70.051048,10.764597
wind_farms_hourly,Wind Farms,PT-ID,6,L6,0.612416,40.346030,1.007746,70.590635,39.733614,118.272393,17.987562
wind_farms_hourly,Wind Farms,PT-ID,7,L7,0.614265,67.323505,1.010790,117.791244,66.709240,127.993812,22.158910
wind_farms_hourly,Wind Farms,PT-ID,8,L8,0.614283,97.205455,1.010820,170.073608,96.591171,171.886881,30.872054
wind_farms_hourly,Wind Farms,PT-ID,9,L9,0.614228,95.230913,1.010728,166.618889,94.616685,208.334328,32.683678
wind_farms_hourly,Wind Farms,PT-ID,10,L10,0.614509,58.946372,1.011190,103.134358,58.331864,179.341470,31.435581
wind_farms_hourly,Wind Farms,PT-ID,11,L11,0.614398,78.547979,1.011007,137.429922,77.933581,202.304695,32.047824
wind_farms_hourly,Wind Farms,PT-ID,12,L12,0.616586,58.241884,1.014609,101.901764,57.625298,206.081277,30.931252
wind_farms_hourly,Wind Farms,PT-ID,13,L13,0.615075,55.506234,1.012122,97.115389,54.891160,181.547590,29.419338
wind_farms_hourly,Wind Farms,PT-ID,14,L14,0.615569,42.678253,1.012935,74.671164,42.062684,211.381193,32.066751
wind_farms_hourly,Wind Farms,PT-ID,15,L15,0.611445,78.014754,1.006148,136.496977,77.403310,216.068734,32.979641
wind_farms_hourly,Wind Farms,PT-ID,16,L16,0.612371,26.891247,1.007672,47.049740,26.278876,191.071875,26.792398
wind_farms_hourly,Wind Farms,PT-ID,17,L17,0.610043,21.017933,1.003842,36.773613,20.407890,146.942168,20.555862
wind_farms_hourly,Wind Farms,PT-ID,18,L18,0.606025,14.384768,0.997230,25.168025,13.778743,107.710813,14.913535
wind_farms_hourly,Wind Farms,PT-ID,19,L19,0.611761,2.947646,1.006669,5.157291,2.335885,15.963224,2.646367
wind_farms_hourly,Wind Farms,PT-ID,20,L20,0.607708,0.571549,1.000000,1.000000,-0.036159,4.313073,0.610258
sg_carpark,SG Carpark,PT-OOD,0,Emb,0.173527,13.442682,1.300612,134.636022,13.269155,45.581371,8.681966
sg_carpark,SG Carpark,PT-OOD,1,L1,0.148097,8.611184,1.110011,86.245853,8.463087,45.222054,8.712847
sg_carpark,SG Carpark,PT-OOD,2,L2,0.151010,9.966629,1.131841,99.821401,9.815620,61.658466,11.703698
sg_carpark,SG Carpark,PT-OOD,3,L3,0.142353,15.301919,1.066961,153.257324,15.159565,67.355102,13.082004
sg_carpark,SG Carpark,PT-OOD,4,L4,0.137863,12.726837,1.033307,127.466432,12.588974,55.792505,10.826992
sg_carpark,SG Carpark,PT-OOD,5,L5,0.129428,57.491239,0.970085,575.807109,57.361811,63.688426,12.399615
sg_carpark,SG Carpark,PT-OOD,6,L6,0.126589,105.547835,0.948808,1057.120956,105.421246,103.962163,20.107797
sg_carpark,SG Carpark,PT-OOD,7,L7,0.128082,167.084132,0.959997,1673.441592,166.956050,128.769830,24.800052
sg_carpark,SG Carpark,PT-OOD,8,L8,0.128223,114.346678,0.961052,1145.246317,114.218455,119.592434,23.399583
sg_carpark,SG Carpark,PT-OOD,9,L9,0.129453,113.160662,0.970272,1133.367695,113.031208,165.777544,31.686290
sg_carpark,SG Carpark,PT-OOD,10,L10,0.129422,80.352086,0.970038,804.771347,80.222664,192.640476,37.242965
sg_carpark,SG Carpark,PT-OOD,11,L11,0.131802,94.842565,0.987875,949.901654,94.710763,231.583082,44.632727
sg_carpark,SG Carpark,PT-OOD,12,L12,0.129920,90.923329,0.973770,910.648297,90.793409,221.492524,42.226762
sg_carpark,SG Carpark,PT-OOD,13,L13,0.128380,47.505710,0.962226,475.796415,47.377330,208.906519,40.314969
sg_carpark,SG Carpark,PT-OOD,14,L14,0.128634,33.832506,0.964133,338.851583,33.703872,129.276830,25.789315
sg_carpark,SG Carpark,PT-OOD,15,L15,0.127759,88.500848,0.957572,886.385786,88.373089,155.258527,30.845113
sg_carpark,SG Carpark,PT-OOD,16,L16,0.127323,21.434712,0.954309,214.680696,21.307388,102.765570,20.207968
sg_carpark,SG Carpark,PT-OOD,17,L17,0.128346,16.101992,0.961973,161.270507,15.973646,86.843153,17.197036
sg_carpark,SG Carpark,PT-OOD,18,L18,0.132819,13.346579,0.995502,133.673501,13.213760,77.698571,14.992183
sg_carpark,SG Carpark,PT-OOD,19,L19,0.136287,1.668909,1.021492,16.715060,1.532622,7.222800,1.425432
sg_carpark,SG Carpark,PT-OOD,20,L20,0.133420,0.099845,1.000000,1.000000,-0.033575,0.603192,0.122547
coastal_ts,Coastal T-S,PT-OOD,0,Emb,0.300779,11.122819,0.913780,40.784390,10.822040,23.927626,7.486672
coastal_ts,Coastal T-S,PT-OOD,1,L1,0.310441,11.174519,0.943133,40.973961,10.864078,27.350012,8.380551
coastal_ts,Coastal T-S,PT-OOD,2,L2,0.305596,9.298404,0.928412,34.094751,8.992808,25.722309,7.821403
coastal_ts,Coastal T-S,PT-OOD,3,L3,0.321128,14.557488,0.975601,53.378398,14.236359,44.397609,13.182928
coastal_ts,Coastal T-S,PT-OOD,4,L4,0.318252,10.820056,0.966862,39.674239,10.501804,32.717609,9.899055
coastal_ts,Coastal T-S,PT-OOD,5,L5,0.311274,23.447291,0.945664,85.974920,23.136017,36.488367,11.041143
coastal_ts,Coastal T-S,PT-OOD,6,L6,0.319499,68.327271,0.970650,250.537751,68.007772,64.342684,18.735181
coastal_ts,Coastal T-S,PT-OOD,7,L7,0.320678,114.923359,0.974231,421.393093,114.602681,88.833996,25.658842
coastal_ts,Coastal T-S,PT-OOD,8,L8,0.316508,139.065631,0.961564,509.916321,138.749123,114.991076,33.105940
coastal_ts,Coastal T-S,PT-OOD,9,L9,0.318093,142.735628,0.966379,523.373215,142.417535,113.999183,33.221166
coastal_ts,Coastal T-S,PT-OOD,10,L10,0.315703,82.465301,0.959118,302.378113,82.149598,115.906830,33.178566
coastal_ts,Coastal T-S,PT-OOD,11,L11,0.319559,68.222598,0.970831,250.153945,67.903039,128.061610,36.411319
coastal_ts,Coastal T-S,PT-OOD,12,L12,0.319488,57.023090,0.970618,209.088358,56.703602,117.342190,35.167168
coastal_ts,Coastal T-S,PT-OOD,13,L13,0.316036,59.494779,0.960129,218.151377,59.178743,119.843270,34.751766
coastal_ts,Coastal T-S,PT-OOD,14,L14,0.317953,43.128863,0.965955,158.141958,42.810910,105.643953,31.327241
coastal_ts,Coastal T-S,PT-OOD,15,L15,0.310629,89.545631,0.943703,328.339779,89.235002,128.987927,38.267129
coastal_ts,Coastal T-S,PT-OOD,16,L16,0.317415,27.451388,0.964320,100.656867,27.133973,85.912928,25.983294
coastal_ts,Coastal T-S,PT-OOD,17,L17,0.320584,21.716753,0.973948,79.629501,21.396169,70.694985,21.177748
coastal_ts,Coastal T-S,PT-OOD,18,L18,0.325148,14.780165,0.987812,54.194895,14.455017,51.185685,15.368538
coastal_ts,Coastal T-S,PT-OOD,19,L19,0.323320,1.416559,0.982258,5.194140,1.093239,4.632346,1.346376
coastal_ts,Coastal T-S,PT-OOD,20,L20,0.329160,0.272722,1.000000,1.000000,-0.056437,1.085834,0.350550
boom_hourly,BOOM,PT-OOD,0,Emb,0.227278,9.321244,0.956461,49.967847,9.093966,30.654676,5.860895
boom_hourly,BOOM,PT-OOD,1,L1,0.223919,8.510295,0.942325,45.620642,8.286376,31.726480,6.529388
boom_hourly,BOOM,PT-OOD,2,L2,0.228257,7.084011,0.960579,37.974843,6.855754,33.541171,6.391601
boom_hourly,BOOM,PT-OOD,3,L3,0.232156,13.517748,0.976988,72.463797,13.285592,70.831433,12.168969
boom_hourly,BOOM,PT-OOD,4,L4,0.232679,8.967779,0.979188,48.073046,8.735100,40.425930,7.698955
boom_hourly,BOOM,PT-OOD,5,L5,0.233568,16.842968,0.982931,90.289113,16.609400,49.883932,9.153659
boom_hourly,BOOM,PT-OOD,6,L6,0.238004,60.673923,1.001597,325.251141,60.435919,73.978398,14.212470
boom_hourly,BOOM,PT-OOD,7,L7,0.237565,69.154636,0.999752,370.713201,68.917071,90.270671,18.463822
boom_hourly,BOOM,PT-OOD,8,L8,0.235646,53.731957,0.991678,288.037752,53.496311,104.185848,21.781647
boom_hourly,BOOM,PT-OOD,9,L9,0.237167,54.822266,0.998077,293.882509,54.585099,133.997801,24.974378
boom_hourly,BOOM,PT-OOD,10,L10,0.235376,60.966696,0.990539,326.820592,60.731320,117.809929,22.532532
boom_hourly,BOOM,PT-OOD,11,L11,0.235077,66.397144,0.989282,355.931278,66.162067,144.220587,25.984174
boom_hourly,BOOM,PT-OOD,12,L12,0.234951,43.625151,0.988751,233.858791,43.390200,151.995823,27.609332
boom_hourly,BOOM,PT-OOD,13,L13,0.233517,41.446130,0.982718,222.177839,41.212612,142.215760,27.269418
boom_hourly,BOOM,PT-OOD,14,L14,0.233294,34.056925,0.981776,182.566960,33.823631,140.783184,25.409467
boom_hourly,BOOM,PT-OOD,15,L15,0.232726,82.618175,0.979387,442.886404,82.385449,151.235816,28.773412
boom_hourly,BOOM,PT-OOD,16,L16,0.231483,22.371245,0.974156,119.924224,22.139762,132.713188,22.991557
boom_hourly,BOOM,PT-OOD,17,L17,0.227716,18.713731,0.958303,100.317598,18.486015,108.305755,18.517961
boom_hourly,BOOM,PT-OOD,18,L18,0.227689,13.323011,0.958191,71.419886,13.095322,76.672247,13.818694
boom_hourly,BOOM,PT-OOD,19,L19,0.230874,1.171483,0.971594,6.279901,0.940609,4.801538,1.012553
boom_hourly,BOOM,PT-OOD,20,L20,0.237624,0.186545,1.000000,1.000000,-0.051079,0.932703,0.212254
