model,dataset,display_name,role,domain,freq,seasonal_m,provenance_status,provenance_evidence_scope,layer,point_index,point_type,relative_depth,relative_position,kind,train_loss,val_loss,test_loss,test_loss_ci_lo,test_loss_ci_hi,test_mase,test_mae,test_wql,weight_decay,is_tunnel_entrance,is_reference_point,effective_rank_train_headline,normalized_effective_rank_train_headline,native_loss,native_mase
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L11,11,block_depth,0.55,0.55,block,0.2437111884355545,0.30954620242118835,0.22425532341003418,0.20913261427536947,0.24067018485898217,1.0340564811693722,4.583018776402207,0.6003562452700374,65.0,False,False,76.38763535335254,0.05967784011980667,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L12,12,block_depth,0.6,0.6,block,0.25222525000572205,0.31254008412361145,0.22321386635303497,0.20825464181417158,0.2396577842853508,1.0200160066890172,4.511270929033358,0.5940328841771388,90.0,False,False,77.22899495046349,0.0603351523050496,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L13,13,block_depth,0.65,0.65,block,0.26527515053749084,0.3125219941139221,0.21737957000732422,0.20290238176657327,0.23365692768907104,0.9871240250515634,4.363334942000974,0.5757399926348344,150.0,False,False,82.59671910614621,0.06452868680167673,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L14,14,block_depth,0.7,0.7,block,0.26392289996147156,0.3079383075237274,0.21454761922359467,0.20015376266731902,0.23053223739292839,0.9666172674509462,4.2813326505267595,0.565641764460017,150.0,True,False,86.8727412256393,0.06786932908253071,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L15,15,block_depth,0.75,0.75,block,0.26283830404281616,0.30527135729789734,0.21627125144004822,0.2015812885837331,0.23252737010431027,0.9879424345927307,4.358934601169189,0.5731374628742876,150.0,False,False,86.6872498754116,0.0677244139651653,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L16,16,block_depth,0.8,0.8,block,0.2611980736255646,0.3046838641166687,0.22034861147403717,0.20517310023357566,0.23724107572005507,1.0194107765070153,4.479720241629746,0.5898813424118411,150.0,False,False,92.45333744482927,0.07222916987877287,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L17,17,block_depth,0.85,0.85,block,0.2585959732532501,0.29652878642082214,0.22033977508544922,0.20441072920998488,0.237405507026226,1.0223051559476268,4.480363322139486,0.5923450103354866,150.0,False,False,95.78934855979188,0.07483542856233741,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L18,18,block_depth,0.9,0.9,block,0.25880199670791626,0.2875517010688782,0.22887994349002838,0.2114494188777562,0.24762524982402456,1.0594158631675232,4.64953285839232,0.6258846600677069,150.0,False,False,90.89070651740876,0.0710083644667256,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L19,19,block_depth,0.95,0.95,block,0.2657344937324524,0.29176849126815796,0.23389364778995514,0.21559449474234843,0.25336244945371705,1.0744352506886987,4.720737820550144,0.6338697219904148,150.0,False,False,43.639796355465634,0.03409359090270753,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L20,20,block_depth,1.0,1.0,block,0.2653111219406128,0.29513177275657654,0.23400461673736572,0.2153353960416813,0.25382033311975194,1.063848951345687,4.698099649052789,0.6363372335380592,150.0,False,True,19.199142125848525,0.01499932978581916,0.23187647919163448,1.2305916869620719
tirex,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,undocumented,source_family,Emb,0,block_depth,0.0,0.0,embedding,0.3829735517501831,0.33236045455773366,0.274901230940382,0.2597991146772872,0.2911177400876377,1.096708936739716,4.935373724898499,0.72144071516759,450.0,False,False,8.705273848283419,0.017002487984928552,0.22953103609269357,1.20304473467509
tirex,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,undocumented,source_family,L1,1,block_depth,0.08333333333333333,0.08333333333333333,block,0.4016396403312683,0.33501317768663397,0.28594051651258506,0.27051814526518564,0.30286499759580454,1.1434708265908569,5.1265623925805315,0.7505971446955703,990.0,False,False,16.16100644537853,0.03156446571362994,0.22953103609269357,1.20304473467509
tirex,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,undocumented,source_family,L2,2,block_depth,0.16666666666666666,0.16666666666666666,block,0.40096139907836914,0.33617341158669867,0.2884204515632782,0.27272829101243207,0.30537527018575034,1.15720062055537,5.186804044656996,0.7592741229129726,990.0,False,False,19.270960189974577,0.037638594121044096,0.22953103609269357,1.20304473467509
tirex,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,undocumented,source_family,L3,3,block_depth,0.25,0.25,block,0.40078938007354736,0.33579504050541925,0.2899051256307209,0.27418857013437015,0.30695794698007345,1.1649991807869664,5.221384312111876,0.7629888581397625,990.0,False,False,20.40966482144585,0.03986262660438643,0.22953103609269357,1.20304473467509
