source_dataset,target_dataset,probe_type,probe_layer,baseline,metric,probe_loss,baseline_loss,improvement_vs_baseline,improvement_ci_lo,improvement_ci_hi,probe_beats_baseline,skill_vs_baseline,n_series,n_windows,seed,quantile_config,context_length,prediction_length
m4_hourly,m4_hourly,final_layer,12,last_value,mase,3.070585,13.667144,10.596559,8.459916,12.911619,True,0.775331,262,262,0,9,512,64
m4_hourly,wind_farms_hourly,source_val_selected,2,native_chronos2,mase,225.679666,4.35428,-221.325386,-299.489541,-151.413168,False,-50.829388,262,262,0,9,512,64
m4_hourly,wind_farms_hourly,source_val_selected,2,seasonal_naive,mase,225.679666,4.542732,-221.136933,-299.214336,-151.207454,False,-48.67928,262,262,0,9,512,64
m4_hourly,wind_farms_hourly,source_val_selected,2,last_value,mase,225.679666,5.233047,-220.446618,-298.681365,-150.672469,False,-42.125861,262,262,0,9,512,64
m4_hourly,wind_farms_hourly,best_layer,3,native_chronos2,mase,26.933809,4.35428,-22.579529,-31.332427,-15.567053,False,-5.185594,262,262,0,9,512,64
m4_hourly,wind_farms_hourly,best_layer,3,seasonal_naive,mase,26.933809,4.542732,-22.391076,-31.15422,-15.390426,False,-4.928989,262,262,0,9,512,64
m4_hourly,wind_farms_hourly,best_layer,3,last_value,mase,26.933809,5.233047,-21.700761,-30.456793,-14.647555,False,-4.146869,262,262,0,9,512,64
m4_hourly,wind_farms_hourly,final_layer,12,native_chronos2,mase,38.503443,4.35428,-34.149163,-46.193087,-23.549322,False,-7.842666,262,262,0,9,512,64
m4_hourly,wind_farms_hourly,final_layer,12,seasonal_naive,mase,38.503443,4.542732,-33.960711,-46.008221,-23.353066,False,-7.475834,262,262,0,9,512,64
m4_hourly,wind_farms_hourly,final_layer,12,last_value,mase,38.503443,5.233047,-33.270396,-45.409778,-22.69571,False,-6.357748,262,262,0,9,512,64
wind_farms_hourly,monash_electricity_hourly,source_val_selected,4,native_chronos2,mase,2.061951,0.836189,-1.225762,-1.33723,-1.12434,False,-1.465891,262,262,0,9,512,64
wind_farms_hourly,monash_electricity_hourly,source_val_selected,4,seasonal_naive,mase,2.061951,1.265484,-0.796468,-0.922422,-0.676295,False,-0.629378,262,262,0,9,512,64
wind_farms_hourly,monash_electricity_hourly,source_val_selected,4,last_value,mase,2.061951,2.996198,0.934247,0.812664,1.049197,True,0.311811,262,262,0,9,512,64
wind_farms_hourly,monash_electricity_hourly,best_layer,3,native_chronos2,mase,2.0402,0.836189,-1.204011,-1.333774,-1.097047,False,-1.439878,262,262,0,9,512,64
wind_farms_hourly,monash_electricity_hourly,best_layer,3,seasonal_naive,mase,2.0402,1.265484,-0.774716,-0.920477,-0.646647,False,-0.61219,262,262,0,9,512,64
wind_farms_hourly,monash_electricity_hourly,best_layer,3,last_value,mase,2.0402,2.996198,0.955999,0.832074,1.073251,True,0.31907,262,262,0,9,512,64
wind_farms_hourly,monash_electricity_hourly,final_layer,12,native_chronos2,mase,2.997829,0.836189,-2.16164,-2.316383,-2.009072,False,-2.585108,262,262,0,9,512,64
wind_farms_hourly,monash_electricity_hourly,final_layer,12,seasonal_naive,mase,2.997829,1.265484,-1.732345,-1.901858,-1.556943,False,-1.368919,262,262,0,9,512,64
wind_farms_hourly,monash_electricity_hourly,final_layer,12,last_value,mase,2.997829,2.996198,-0.00163,-0.094016,0.096212,False,-0.000544,262,262,0,9,512,64
wind_farms_hourly,uber_tlc_hourly,source_val_selected,4,native_chronos2,mase,1.659453,0.806006,-0.853447,-0.934759,-0.779689,False,-1.058859,262,262,0,9,512,64
wind_farms_hourly,uber_tlc_hourly,source_val_selected,4,seasonal_naive,mase,1.659453,1.25337,-0.406084,-0.491021,-0.329915,False,-0.323994,262,262,0,9,512,64
wind_farms_hourly,uber_tlc_hourly,source_val_selected,4,last_value,mase,1.659453,1.7105,0.051047,-0.103229,0.210829,False,0.029843,262,262,0,9,512,64
wind_farms_hourly,uber_tlc_hourly,best_layer,1,native_chronos2,mase,1.444659,0.806006,-0.638653,-0.752029,-0.547323,False,-0.792367,262,262,0,9,512,64
wind_farms_hourly,uber_tlc_hourly,best_layer,1,seasonal_naive,mase,1.444659,1.25337,-0.191289,-0.302437,-0.098598,False,-0.15262,262,262,0,9,512,64
wind_farms_hourly,uber_tlc_hourly,best_layer,1,last_value,mase,1.444659,1.7105,0.265841,0.098582,0.432864,True,0.155417,262,262,0,9,512,64
wind_farms_hourly,uber_tlc_hourly,final_layer,12,native_chronos2,mase,1.616088,0.806006,-0.810082,-0.958011,-0.688656,False,-1.005056,262,262,0,9,512,64
wind_farms_hourly,uber_tlc_hourly,final_layer,12,seasonal_naive,mase,1.616088,1.25337,-0.362718,-0.510625,-0.238671,False,-0.289395,262,262,0,9,512,64
wind_farms_hourly,uber_tlc_hourly,final_layer,12,last_value,mase,1.616088,1.7105,0.094412,-0.095883,0.275017,False,0.055196,262,262,0,9,512,64
wind_farms_hourly,m4_hourly,source_val_selected,4,native_chronos2,mase,9.052979,0.928949,-8.12403,-9.869975,-6.533097,False,-8.745401,262,262,0,9,512,64
wind_farms_hourly,m4_hourly,source_val_selected,4,seasonal_naive,mase,9.052979,1.560496,-7.492483,-9.274988,-5.86505,False,-4.801348,262,262,0,9,512,64
wind_farms_hourly,m4_hourly,source_val_selected,4,last_value,mase,9.052979,13.667144,4.614165,3.756686,5.561418,True,0.33761,262,262,0,9,512,64
