dataset,representation,layer,quantile_set,num_quantiles,quantiles,seed,mean_pinball_loss,quantile_loss
monash_pedestrian_counts,fslot_K,1,q1,1,0.5,0,0.16054879128932953,0.32109758257865906
monash_pedestrian_counts,fslot_K,2,q1,1,0.5,0,0.11430308222770691,0.2286061942577362
monash_pedestrian_counts,fslot_K,3,q1,1,0.5,0,0.11055269092321396,0.22110538184642792
monash_pedestrian_counts,fslot_K,4,q1,1,0.5,0,0.1030927523970604,0.2061855047941208
monash_pedestrian_counts,fslot_K,5,q1,1,0.5,0,0.10490382462739944,0.2098076492547989
monash_pedestrian_counts,fslot_K,6,q1,1,0.5,0,0.09864740818738937,0.19729481637477875
monash_pedestrian_counts,fslot_K,7,q1,1,0.5,0,0.09737003594636917,0.19474007189273834
monash_pedestrian_counts,fslot_K,8,q1,1,0.5,0,0.09346222132444382,0.18692441284656525
monash_pedestrian_counts,fslot_K,9,q1,1,0.5,0,0.09430482238531113,0.18860965967178345
monash_pedestrian_counts,fslot_K,10,q1,1,0.5,0,0.09632381051778793,0.19264762103557587
monash_pedestrian_counts,fslot_K,11,q1,1,0.5,0,0.0983348861336708,0.1966697722673416
uber_tlc_hourly,content,0,q1,1,0.5,0,0.3008820414543152,0.6017640829086304
uber_tlc_hourly,content,1,q1,1,0.5,0,0.297091543674469,0.594183087348938
uber_tlc_hourly,content,2,q1,1,0.5,0,0.28551968932151794,0.5710393786430359
uber_tlc_hourly,content,3,q1,1,0.5,0,0.2842084467411041,0.5684168338775635
uber_tlc_hourly,content,4,q1,1,0.5,0,0.2794247269630432,0.5588494539260864
uber_tlc_hourly,content,5,q1,1,0.5,0,0.2804104685783386,0.5608209371566772
uber_tlc_hourly,content,6,q1,1,0.5,0,0.2833474278450012,0.5666947960853577
uber_tlc_hourly,content,7,q1,1,0.5,0,0.2866155505180359,0.5732311010360718
uber_tlc_hourly,content,8,q1,1,0.5,0,0.28648364543914795,0.5729672908782959
uber_tlc_hourly,content,9,q1,1,0.5,0,0.28703978657722473,0.5740795731544495
uber_tlc_hourly,content,10,q1,1,0.5,0,0.29458174109458923,0.5891634821891785
uber_tlc_hourly,content,11,q1,1,0.5,0,0.3062329590320587,0.6124659180641174
uber_tlc_hourly,reg,0,q1,1,0.5,0,0.30501338839530945,0.6100267171859741
uber_tlc_hourly,reg,1,q1,1,0.5,0,0.29961127042770386,0.5992225408554077
uber_tlc_hourly,reg,2,q1,1,0.5,0,0.28483209013938904,0.5696641206741333
