dataset,H,K,output_patch_size,quantile_set,num_quantiles,readout,metric,layer,point,ci_lo,ci_hi,delta_vs_L11,delta_ci_lo,delta_ci_hi,delta_above_zero,is_primary_comparison,val_selected_layer,n_test_series,n_test_windows,bootstrap_seed,n_replicates
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,quantile_loss,10,4.222714900970459,4.006543471139331,4.416733264159719,-0.021161556243896484,-0.053459863126366566,0.0068473276536427305,False,False,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,quantile_loss,11,4.2015533447265625,3.9774485920284883,4.3989932559335525,0.0,0.0,0.0,False,True,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,mase_context,0,0.9273629395839323,0.8843552497441293,0.9734335266475911,-0.07339160624493679,-0.11317312029051263,-0.03948163905349502,False,False,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,mase_context,1,0.9126582466800928,0.8688778082111618,0.9576401857516503,-0.05868691334109721,-0.09465377293323748,-0.027129762699971437,False,False,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,mase_context,2,0.938541349069728,0.8976728017536242,0.9799347012605758,-0.08457001573073242,-0.12035863239565349,-0.05188550764307968,False,False,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,mase_context,3,0.9620859308280528,0.9197948733034469,1.0054296954979187,-0.10811459748905727,-0.14104980793704625,-0.078417852844911,False,False,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,mase_context,4,0.973318640145717,0.9287356787860575,1.01793568139475,-0.11934730680672145,-0.14972912868220065,-0.09180306415159115,False,False,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,mase_context,5,0.9979018005526327,0.956428811355626,1.037778362380342,-0.14393046721363711,-0.17838916876170746,-0.11361023173593049,False,False,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,mase_context,6,0.9533663650617409,0.9088467186671647,0.9966856875483984,-0.09939503172274533,-0.12813925961280376,-0.07457517582756859,False,False,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,mase_context,7,0.9551003523442018,0.9127784637475483,0.9958434443485285,-0.10112901900520621,-0.13128387453889098,-0.07373639747789779,False,False,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,mase_context,8,0.8949366299560978,0.8466614198327466,0.9412696067963899,-0.04096529661710224,-0.06008011116932474,-0.02281069772345757,False,False,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,mase_context,9,0.8720433218613388,0.8259898040027809,0.9163410132240132,-0.018071988522343263,-0.03373387395367898,-0.00479772169667984,False,False,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,mase_context,10,0.8573785976652766,0.8080482788558438,0.9027474523850597,-0.003407264326281023,-0.012272989961200733,0.004073526748817294,False,False,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,fslot_K,mase_context,11,0.8539713333389956,0.7996277034383539,0.903124099487238,0.0,0.0,0.0,False,True,11,75,506,0,5000
monash_kdd_cup_2018,64,4,16,q9,9,native,mase_context,,0.8282584781046308,0.7720346593571464,0.8779713097087343,,,,,,,75,506,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,quantile_loss,0,2.513845920562744,2.355160418656603,2.6739137501127845,-0.16594457626342773,-0.20651879614641233,-0.12479922972182052,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,quantile_loss,1,2.37214732170105,2.21998359278867,2.525005100291016,-0.0242459774017334,-0.059106603146614846,0.011028446090821908,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,quantile_loss,2,2.2753710746765137,2.126310020940349,2.427748404431676,0.07253026962280273,0.039427059652101346,0.1057803636449065,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,quantile_loss,3,2.2675106525421143,2.1196204560275436,2.41439323303816,0.08039069175720215,0.05217017441438404,0.11091617665277942,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,quantile_loss,4,2.2601735591888428,2.1153774903952804,2.4025099137676595,0.08772778511047363,0.05841687316767593,0.11721943649943344,True,True,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,quantile_loss,5,2.271402597427368,2.1301448454111647,2.4114633436890767,0.07649874687194824,0.04221623345922121,0.11027033517886387,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,quantile_loss,6,2.315610408782959,2.170531321111125,2.460146688877414,0.03229093551635742,-0.0013576099167485788,0.06442098000413851,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,quantile_loss,7,2.3702480792999268,2.225554415462586,2.514444296731585,-0.02234673500061035,-0.06255496988235583,0.016984467178530145,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,quantile_loss,8,2.403351068496704,2.2574690425247352,2.5486344003084564,-0.055449724197387695,-0.09404166110834673,-0.016096549076867347,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,quantile_loss,9,2.367020845413208,2.2295736565262128,2.509343265208041,-0.0191195011138916,-0.056347568108351086,0.018059998263404146,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,quantile_loss,10,2.3364951610565186,2.1919975622099748,2.4853761416036875,0.011406183242797852,-0.02105889832925336,0.044935526145344074,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,quantile_loss,11,2.3479013442993164,2.206305970712122,2.4899705797684106,0.0,0.0,0.0,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,mase_context,0,1.4789677693546188,1.4121944211109267,1.5464097013597284,-0.07670676749553262,-0.10204680375867561,-0.05053483604042944,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,mase_context,1,1.4037461313546198,1.3455994894118068,1.4628127566968268,-0.001485129495533588,-0.026229129024410706,0.02361908117590081,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,mase_context,2,1.3508194529655269,1.2958792235052616,1.4042872845937875,0.05144154889355934,0.026944289483754786,0.07668668860630384,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,mase_context,3,1.3409182971838907,1.2871550542736314,1.3957178337494436,0.061342704675195536,0.03844665493407503,0.08572633561347713,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,mase_context,4,1.3482627642983953,1.2938018196473247,1.4054075866938236,0.05399823756069089,0.030640462297689353,0.07736159131586229,True,True,4,59,1500,0,5000
