model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
tirex,monash_electricity_hourly,ra,11,L11,0.9166666666666666,True,0.09303140379346282,0.1366880491930451,0.9031691955410115,228.45263595493628,0.07381059822484778,1.1115180139996037,1.0939157223677236,1.1323139749386724,1.1478461822505277,1.0990331280375267,1.1897351408854326,1.0915954498938534,False,False,0.904695389156919,True,False,,,0.0001,262656
tirex,monash_electricity_hourly,ra,12,L12,1.0,False,0.08540942128045655,0.1252185955944912,0.8125547082148625,199.48996506212524,0.06430356206798618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,,,,,0
tirex,monash_electricity_hourly,probe,0,Emb,0.0,False,0.26491054505792283,0.25710497705536034,1.853112634383292,463.55174370344366,0.14364495109279923,2.280600451450804,2.16728158453082,2.4143566831924366,2.2338568264838554,2.0575077327566076,2.377251855512591,2.053249166665077,False,False,0.7426892575949025,True,,,,,0
tirex,monash_electricity_hourly,probe,1,L1,0.08333333333333333,False,0.20459877804831694,0.1974482406072944,1.2823177647966173,295.1650426361249,0.09842484515420082,1.5781309883906747,1.5213460397294774,1.6499247098479781,1.530628195217852,1.4478255256725723,1.6869983114628835,1.5768284228862637,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,2,L2,0.16666666666666666,False,0.17830269999858986,0.17699357776241448,1.146241709425998,270.7673976372418,0.09255147093033916,1.4106640424793393,1.3565272364245138,1.4741137893450933,1.4392899546138258,1.3213193376090013,1.5927815744046416,1.4134767837166275,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,3,L3,0.25,False,0.15820523681303927,0.1726758511353085,1.1171828538796758,267.90426024645296,0.08951454996270737,1.3749017051837216,1.3278311181204208,1.4325072296038486,1.3920620737629805,1.2969380568512092,1.5259096856869592,1.3789952707543793,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,4,L4,0.3333333333333333,False,0.15303536538631862,0.16532772133937318,1.1142332561418746,266.6579099651566,0.0876415845204475,1.371271675466361,1.32319438348212,1.426956857336523,1.3629351423454077,1.2652991159186158,1.4959369608668032,1.320312854128884,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,5,L5,0.4166666666666667,False,0.15909143181816313,0.17097140004047912,1.1512507595759403,283.6905310951128,0.09223599661517773,1.4168286121991394,1.369609719765358,1.4708846056325349,1.4343839384458896,1.3700028650703597,1.5334834781421616,1.3653834658404422,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,6,L6,0.5,False,0.1664912846820955,0.1760205026744431,1.1841612577341845,288.2251513381158,0.09341475693582175,1.4573311135390759,1.4017334884526085,1.5246444896752613,1.452715120774448,1.3671874071815995,1.5824139519828821,1.40570577268307,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,7,L7,0.5833333333333334,False,0.1755051122878799,0.17474542185664177,1.172715806537109,270.88493282588934,0.0906337830106802,1.443245352812613,1.391064201023538,1.5044584333466,1.4094675333048563,1.241326362123067,1.6067678226122695,1.3955229335308839,False,False,,,,,,,0
