dataset,row_layer,col_layer,cka_biased,cka_unbiased,delta
m4_hourly,L2,L8,0.40042639,0.39744187,0.00298452
m4_hourly,L2,L9,0.33092119,0.32809988,0.00282131
m4_hourly,L2,L10,0.31002478,0.30738072,0.00264406
m4_hourly,L2,L11,0.27406786,0.27155761,0.00251026
m4_hourly,L2,L12,0.24048013,0.23814963,0.00233050
m4_hourly,L2,L12 (post LN),0.18092467,0.17861394,0.00231073
m4_hourly,L3,Embed,0.46601639,0.46548286,0.00053354
m4_hourly,L3,L1,0.84250538,0.84162957,0.00087581
m4_hourly,L3,L2,0.91078117,0.91015181,0.00062936
m4_hourly,L3,L3,1.00000000,1.00000000,0.00000000
m4_hourly,L3,L4,0.93220740,0.93181564,0.00039176
m4_hourly,L3,L5,0.79308528,0.79211790,0.00096738
m4_hourly,L3,L6,0.76838809,0.76722277,0.00116532
m4_hourly,L3,L7,0.69499903,0.69364225,0.00135677
m4_hourly,L3,L8,0.69599008,0.69454781,0.00144227
m4_hourly,L3,L9,0.63390846,0.63251111,0.00139736
m4_hourly,L3,L10,0.61283656,0.61154427,0.00129230
m4_hourly,L3,L11,0.57861939,0.57740269,0.00121670
m4_hourly,L3,L12,0.54831019,0.54722963,0.00108056
m4_hourly,L3,L12 (post LN),0.48127299,0.48015617,0.00111683
m4_hourly,L4,Embed,0.32830348,0.32699262,0.00131086
m4_hourly,L4,L1,0.62571208,0.62375555,0.00195653
m4_hourly,L4,L2,0.72553534,0.72385405,0.00168128
m4_hourly,L4,L3,0.93220740,0.93181564,0.00039176
m4_hourly,L4,L4,1.00000000,1.00000000,0.00000000
m4_hourly,L4,L5,0.93753400,0.93723491,0.00029909
m4_hourly,L4,L6,0.91992990,0.91950826,0.00042164
m4_hourly,L4,L7,0.85830228,0.85762443,0.00067785
m4_hourly,L4,L8,0.85777342,0.85703131,0.00074211
m4_hourly,L4,L9,0.80264201,0.80185641,0.00078561
m4_hourly,L4,L10,0.78166090,0.78093136,0.00072954
m4_hourly,L4,L11,0.74946390,0.74877394,0.00068995
m4_hourly,L4,L12,0.72226913,0.72167889,0.00059025
m4_hourly,L4,L12 (post LN),0.63849757,0.63776925,0.00072832
m4_hourly,L5,Embed,0.17136743,0.16950009,0.00186734
m4_hourly,L5,L1,0.40942309,0.40679915,0.00262395
m4_hourly,L5,L2,0.50557895,0.50304118,0.00253777
m4_hourly,L5,L3,0.79308528,0.79211790,0.00096738
m4_hourly,L5,L4,0.93753400,0.93723491,0.00029909
m4_hourly,L5,L5,1.00000000,1.00000000,0.00000000
m4_hourly,L5,L6,0.99566345,0.99569295,-0.00002950
m4_hourly,L5,L7,0.97601494,0.97591408,0.00010086
m4_hourly,L5,L8,0.97330888,0.97318259,0.00012629
m4_hourly,L5,L9,0.94571459,0.94555065,0.00016394
m4_hourly,L5,L10,0.93282893,0.93268235,0.00014658
m4_hourly,L5,L11,0.91017415,0.91004548,0.00012867
m4_hourly,L5,L12,0.88714818,0.88706956,0.00007862
m4_hourly,L5,L12 (post LN),0.80739230,0.80718636,0.00020594
m4_hourly,L6,Embed,0.14935922,0.14732284,0.00203638
m4_hourly,L6,L1,0.38098755,0.37810825,0.00287930
m4_hourly,L6,L2,0.47196343,0.46908845,0.00287498
m4_hourly,L6,L3,0.76838809,0.76722277,0.00116532
m4_hourly,L6,L4,0.91992990,0.91950826,0.00042164
m4_hourly,L6,L5,0.99566345,0.99569295,-0.00002950
m4_hourly,L6,L6,1.00000000,1.00000000,-0.00000000
m4_hourly,L6,L7,0.98230775,0.98230938,-0.00000163
m4_hourly,L6,L8,0.97863003,0.97858168,0.00004835
m4_hourly,L6,L9,0.95267907,0.95268330,-0.00000424
m4_hourly,L6,L10,0.93990544,0.93995768,-0.00005224
m4_hourly,L6,L11,0.91767959,0.91777640,-0.00009681
m4_hourly,L6,L12,0.89512190,0.89528237,-0.00016047
m4_hourly,L6,L12 (post LN),0.81676683,0.81673927,0.00002756
m4_hourly,L7,Embed,0.10095676,0.09893611,0.00202065
m4_hourly,L7,L1,0.31007462,0.30722249,0.00285213
m4_hourly,L7,L2,0.39252256,0.38961666,0.00290590
m4_hourly,L7,L3,0.69499903,0.69364225,0.00135677
m4_hourly,L7,L4,0.85830228,0.85762443,0.00067785
m4_hourly,L7,L5,0.97601494,0.97591408,0.00010086
m4_hourly,L7,L6,0.98230775,0.98230938,-0.00000163
m4_hourly,L7,L7,1.00000000,1.00000000,-0.00000000
m4_hourly,L7,L8,0.99743734,0.99743338,0.00000395
m4_hourly,L7,L9,0.98773989,0.98772844,0.00001145
m4_hourly,L7,L10,0.97857256,0.97857107,0.00000149
m4_hourly,L7,L11,0.96061804,0.96063754,-0.00001950
m4_hourly,L7,L12,0.93426708,0.93431625,-0.00004918
m4_hourly,L7,L12 (post LN),0.85507958,0.85499370,0.00008588
m4_hourly,L8,Embed,0.11100987,0.10896029,0.00204958
m4_hourly,L8,L1,0.31534163,0.31239267,0.00294896
m4_hourly,L8,L2,0.40042639,0.39744187,0.00298452
m4_hourly,L8,L3,0.69599008,0.69454781,0.00144227
m4_hourly,L8,L4,0.85777342,0.85703131,0.00074211
m4_hourly,L8,L5,0.97330888,0.97318259,0.00012629
m4_hourly,L8,L6,0.97863003,0.97858168,0.00004835
m4_hourly,L8,L7,0.99743734,0.99743338,0.00000395
m4_hourly,L8,L8,1.00000000,1.00000000,0.00000000
m4_hourly,L8,L9,0.98850520,0.98851500,-0.00000981
m4_hourly,L8,L10,0.97999905,0.98003380,-0.00003475
m4_hourly,L8,L11,0.96141739,0.96148514,-0.00006776
m4_hourly,L8,L12,0.93340092,0.93350845,-0.00010753
m4_hourly,L8,L12 (post LN),0.85083056,0.85077625,0.00005431
m4_hourly,L9,Embed,0.07255207,0.07064129,0.00191079
m4_hourly,L9,L1,0.25749602,0.25479322,0.00270280
m4_hourly,L9,L2,0.33092119,0.32809988,0.00282131
m4_hourly,L9,L3,0.63390846,0.63251111,0.00139736
m4_hourly,L9,L4,0.80264201,0.80185641,0.00078561
m4_hourly,L9,L5,0.94571459,0.94555065,0.00016394
m4_hourly,L9,L6,0.95267907,0.95268330,-0.00000424
m4_hourly,L9,L7,0.98773989,0.98772844,0.00001145
m4_hourly,L9,L8,0.98850520,0.98851500,-0.00000981
m4_hourly,L9,L9,1.00000000,1.00000000,0.00000000
m4_hourly,L9,L10,0.99610790,0.99610776,0.00000014
m4_hourly,L9,L11,0.98400074,0.98400680,-0.00000605
m4_hourly,L9,L12,0.95906909,0.95909172,-0.00002263
m4_hourly,L9,L12 (post LN),0.89512925,0.89506953,0.00005971
m4_hourly,L10,Embed,0.06792450,0.06614960,0.00177490
m4_hourly,L10,L1,0.23928211,0.23676414,0.00251798
m4_hourly,L10,L2,0.31002478,0.30738072,0.00264406
m4_hourly,L10,L3,0.61283656,0.61154427,0.00129230
m4_hourly,L10,L4,0.78166090,0.78093136,0.00072954
m4_hourly,L10,L5,0.93282893,0.93268235,0.00014658
m4_hourly,L10,L6,0.93990544,0.93995768,-0.00005224
m4_hourly,L10,L7,0.97857256,0.97857107,0.00000149
m4_hourly,L10,L8,0.97999905,0.98003380,-0.00003475
m4_hourly,L10,L9,0.99610790,0.99610776,0.00000014
m4_hourly,L10,L10,1.00000000,1.00000000,-0.00000000
m4_hourly,L10,L11,0.99258836,0.99258766,0.00000071
m4_hourly,L10,L12,0.97097253,0.97098554,-0.00001301
m4_hourly,L10,L12 (post LN),0.91224858,0.91221495,0.00003362
m4_hourly,L11,Embed,0.04738765,0.04571522,0.00167243
m4_hourly,L11,L1,0.20717999,0.20481589,0.00236410
m4_hourly,L11,L2,0.27406786,0.27155761,0.00251026
m4_hourly,L11,L3,0.57861939,0.57740269,0.00121670
m4_hourly,L11,L4,0.74946390,0.74877394,0.00068995
m4_hourly,L11,L5,0.91017415,0.91004548,0.00012867
m4_hourly,L11,L6,0.91767959,0.91777640,-0.00009681
m4_hourly,L11,L7,0.96061804,0.96063754,-0.00001950
m4_hourly,L11,L8,0.96141739,0.96148514,-0.00006776
m4_hourly,L11,L9,0.98400074,0.98400680,-0.00000605
m4_hourly,L11,L10,0.99258836,0.99258766,0.00000071
m4_hourly,L11,L11,1.00000000,1.00000000,0.00000000
m4_hourly,L11,L12,0.98644403,0.98644784,-0.00000381
m4_hourly,L11,L12 (post LN),0.93038200,0.93034912,0.00003288
m4_hourly,L12,Embed,0.03053738,0.02898503,0.00155235
m4_hourly,L12,L1,0.17534410,0.17318957,0.00215453
m4_hourly,L12,L2,0.24048013,0.23814963,0.00233050
m4_hourly,L12,L3,0.54831019,0.54722963,0.00108056
m4_hourly,L12,L4,0.72226913,0.72167889,0.00059025
m4_hourly,L12,L5,0.88714818,0.88706956,0.00007862
m4_hourly,L12,L6,0.89512190,0.89528237,-0.00016047
m4_hourly,L12,L7,0.93426708,0.93431625,-0.00004918
m4_hourly,L12,L8,0.93340092,0.93350845,-0.00010753
m4_hourly,L12,L9,0.95906909,0.95909172,-0.00002263
m4_hourly,L12,L10,0.97097253,0.97098554,-0.00001301
m4_hourly,L12,L11,0.98644403,0.98644784,-0.00000381
m4_hourly,L12,L12,1.00000000,1.00000000,0.00000000
m4_hourly,L12,L12 (post LN),0.93782995,0.93781978,0.00001017
m4_hourly,L12 (post LN),Embed,0.03179466,0.03050571,0.00128895
m4_hourly,L12 (post LN),L1,0.14090516,0.13887162,0.00203354
m4_hourly,L12 (post LN),L2,0.18092467,0.17861394,0.00231073
m4_hourly,L12 (post LN),L3,0.48127299,0.48015617,0.00111683
m4_hourly,L12 (post LN),L4,0.63849757,0.63776925,0.00072832
m4_hourly,L12 (post LN),L5,0.80739230,0.80718636,0.00020594
m4_hourly,L12 (post LN),L6,0.81676683,0.81673927,0.00002756
m4_hourly,L12 (post LN),L7,0.85507958,0.85499370,0.00008588
m4_hourly,L12 (post LN),L8,0.85083056,0.85077625,0.00005431
m4_hourly,L12 (post LN),L9,0.89512925,0.89506953,0.00005971
m4_hourly,L12 (post LN),L10,0.91224858,0.91221495,0.00003362
m4_hourly,L12 (post LN),L11,0.93038200,0.93034912,0.00003288
m4_hourly,L12 (post LN),L12,0.93782995,0.93781978,0.00001017
m4_hourly,L12 (post LN),L12 (post LN),1.00000000,1.00000000,0.00000000
