dataset,representation,layer,quantile_set,num_quantiles,quantiles,seed,mean_pinball_loss,quantile_loss
monash_electricity_hourly,content_K,12,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.12641312181949615,5.309350967407227
monash_electricity_hourly,reg_K,0,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.22887317836284637,9.612672805786133
monash_electricity_hourly,reg_K,1,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.11759333312511444,4.938919544219971
monash_electricity_hourly,reg_K,2,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.11243800073862076,4.722395896911621
monash_electricity_hourly,reg_K,3,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.1069151759147644,4.490437030792236
monash_electricity_hourly,reg_K,4,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.10435964167118073,4.383105278015137
monash_electricity_hourly,reg_K,5,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.10461820662021637,4.393964767456055
monash_electricity_hourly,reg_K,6,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.1046474277973175,4.395191192626953
monash_electricity_hourly,reg_K,7,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.1062665730714798,4.46319580078125
monash_electricity_hourly,reg_K,8,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.10829537361860275,4.548405647277832
monash_electricity_hourly,reg_K,9,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.11005041003227234,4.622117042541504
monash_electricity_hourly,reg_K,10,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.11309967935085297,4.750186443328857
monash_electricity_hourly,reg_K,11,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.11433956772089005,4.802261829376221
monash_electricity_hourly,reg_K,12,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.11493270099163055,4.827173233032227
monash_electricity_hourly,fslot_K,0,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.23029153048992157,9.672243118286133
monash_electricity_hourly,fslot_K,1,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.17207027971744537,7.226951599121094
monash_electricity_hourly,fslot_K,2,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.10731527954339981,4.507241249084473
monash_electricity_hourly,fslot_K,3,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.09206413477659225,3.8666939735412598
monash_electricity_hourly,fslot_K,4,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.08943215757608414,3.756150722503662
monash_electricity_hourly,fslot_K,5,q21,21,0.01 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.55 0.6 0.65 0.7 0.75 0.8 0.85 0.9 0.95 0.99,0,0.08737284690141678,3.669659376144409
