dataset,display_name,domain_status,alignment,layer,layer_name,lambda_selected,effective_dof,lambda_at_grid_edge,train_representation_mse,val_representation_mse,test_representation_mse,val_representation_r2,test_representation_r2,test_per_dimension_r2_median,test_per_dimension_r2_iqr,aligned_native_q9_loss,aligned_native_median_pinball,aligned_native_mae,aligned_native_mase,direct_native_head_q9_loss,learned_probe_q9_loss,native_timesfm_q9_loss,cached_L20_native_head_q9_loss,recovery_vs_cached_L20,recovery_vs_official_decode,tunnel_entrance_5pct
uber_tlc_hourly,Uber TLC,PT-ID,ridge,16,L16,1000,424.98,0,0.00533394,0.00971053,0.01375213,0.769691,0.760564,0.390400,0.283532,0.248289,0.310409,0.620817,0.877888,30.875599,0.263664,0.237483,0.237483,0.9996,0.9996,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,17,L17,1000,335.67,0,0.00572313,0.00874881,0.01234053,0.792501,0.785142,0.438377,0.248298,0.246641,0.308446,0.616891,0.867569,20.381930,0.262315,0.237483,0.237483,0.9995,0.9995,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,18,L18,100,537.26,0,0.00225483,0.00572613,0.00809269,0.864191,0.859100,0.587261,0.224607,0.242329,0.302599,0.605197,0.845269,14.724551,0.260750,0.237483,0.237483,0.9997,0.9997,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,19,L19,1,871.11,0,0.00022865,0.00181715,0.00274090,0.956902,0.952279,0.847718,0.133506,0.240302,0.299789,0.599579,0.830172,1.748926,0.262778,0.237483,0.237483,0.9981,0.9981,1
uber_tlc_hourly,Uber TLC,PT-ID,ridge,20,L20,,1280.00,0,0.00000000,0.00000000,0.00000000,1.000000,1.000000,1.000000,0.000000,0.237483,0.297519,0.595039,0.817011,0.237483,0.263071,0.237483,0.237483,,,1
m4_hourly,M4,PT-ID,ridge,0,Emb,1000,47.08,0,0.01617376,0.02822281,0.02675568,0.652805,0.671786,0.157372,0.226373,0.156008,0.179591,0.359182,1.851468,9.968013,0.173669,0.087584,0.087584,0.9931,0.9931,16
m4_hourly,M4,PT-ID,ridge,1,L1,100,225.24,0,0.00424323,0.01764864,0.01711884,0.782888,0.790002,0.248754,0.268002,0.125659,0.145494,0.290988,1.277552,10.192016,0.154171,0.087584,0.087584,0.9962,0.9962,16
m4_hourly,M4,PT-ID,ridge,2,L2,100,304.64,0,0.00241102,0.01425149,0.01404863,0.824679,0.827664,0.307719,0.262244,0.116432,0.137208,0.274417,1.161052,10.374049,0.151370,0.087584,0.087584,0.9972,0.9972,16
m4_hourly,M4,PT-ID,ridge,3,L3,1000,164.69,0,0.00418115,0.01301573,0.01271060,0.839881,0.844078,0.361598,0.220021,0.114465,0.137405,0.274809,1.197586,18.338572,0.146169,0.087584,0.087584,0.9985,0.9985,16
m4_hourly,M4,PT-ID,ridge,4,L4,1000,194.47,0,0.00343485,0.01230144,0.01213507,0.848669,0.851138,0.376753,0.218379,0.112278,0.135624,0.271248,1.120670,13.494426,0.144421,0.087584,0.087584,0.9982,0.9982,16
m4_hourly,M4,PT-ID,ridge,5,L5,1000,216.22,0,0.00288073,0.01185527,0.01161749,0.854157,0.857487,0.385712,0.227370,0.110007,0.133945,0.267890,1.099584,45.382997,0.142197,0.087584,0.087584,0.9995,0.9995,16
m4_hourly,M4,PT-ID,ridge,6,L6,1000,239.99,0,0.00258170,0.01229267,0.01197446,0.848776,0.853108,0.377816,0.239562,0.110357,0.134680,0.269360,1.101121,56.803948,0.138651,0.087584,0.087584,0.9996,0.9996,16
m4_hourly,M4,PT-ID,ridge,7,L7,1000,259.95,0,0.00229669,0.01243502,0.01216154,0.847025,0.850813,0.359090,0.237630,0.112142,0.136723,0.273445,1.143490,75.233036,0.140006,0.087584,0.087584,0.9997,0.9997,16
m4_hourly,M4,PT-ID,ridge,8,L8,1000,270.10,0,0.00220651,0.01272531,0.01243157,0.843454,0.847501,0.352807,0.239800,0.113824,0.138460,0.276920,1.149700,96.160241,0.141429,0.087584,0.087584,0.9997,0.9997,16
m4_hourly,M4,PT-ID,ridge,9,L9,1000,279.59,0,0.00214035,0.01295607,0.01254460,0.840615,0.846114,0.356719,0.242658,0.113569,0.137762,0.275523,1.136055,61.705490,0.142077,0.087584,0.087584,0.9996,0.9996,16
m4_hourly,M4,PT-ID,ridge,10,L10,1000,286.44,0,0.00208982,0.01329200,0.01248453,0.836483,0.846851,0.357829,0.240171,0.112968,0.137578,0.275156,1.149350,60.833670,0.143755,0.087584,0.087584,0.9996,0.9996,16
m4_hourly,M4,PT-ID,ridge,11,L11,1000,294.80,0,0.00207999,0.01337468,0.01241078,0.835466,0.847756,0.357736,0.249401,0.112799,0.137340,0.274681,1.154229,75.082171,0.142234,0.087584,0.087584,0.9997,0.9997,16
m4_hourly,M4,PT-ID,ridge,12,L12,1000,304.67,0,0.00199971,0.01331815,0.01220104,0.836161,0.850329,0.358892,0.249731,0.111459,0.135722,0.271444,1.141345,63.868932,0.139959,0.087584,0.087584,0.9996,0.9996,16
m4_hourly,M4,PT-ID,ridge,13,L13,1000,321.79,0,0.00159394,0.01167001,0.01089646,0.856436,0.866332,0.391202,0.251191,0.107118,0.131561,0.263122,1.095971,46.312509,0.135062,0.087584,0.087584,0.9996,0.9996,16
m4_hourly,M4,PT-ID,ridge,14,L14,1000,324.96,0,0.00153842,0.01123034,0.01063442,0.861845,0.869547,0.397489,0.251275,0.106222,0.130337,0.260674,1.092647,27.914733,0.135136,0.087584,0.087584,0.9993,0.9993,16
m4_hourly,M4,PT-ID,ridge,15,L15,1000,324.73,0,0.00146015,0.01042641,0.00996788,0.871735,0.877723,0.421229,0.239954,0.104276,0.127996,0.255991,1.069792,89.050310,0.135449,0.087584,0.087584,0.9998,0.9998,16
m4_hourly,M4,PT-ID,ridge,16,L16,1000,298.97,0,0.00155165,0.00970621,0.00935350,0.880595,0.885260,0.443756,0.226926,0.104872,0.128895,0.257789,1.086987,19.792708,0.130520,0.087584,0.087584,0.9991,0.9991,16
m4_hourly,M4,PT-ID,ridge,17,L17,100,499.48,0,0.00055463,0.00845963,0.00801717,0.895930,0.901653,0.475456,0.256116,0.102325,0.124998,0.249997,1.011165,17.086965,0.127786,0.087584,0.087584,0.9991,0.9991,16
m4_hourly,M4,PT-ID,ridge,18,L18,100,388.69,0,0.00063824,0.00605437,0.00590518,0.925520,0.927561,0.590789,0.196494,0.096233,0.119209,0.238418,0.951515,12.763609,0.130109,0.087584,0.087584,0.9993,0.9993,16
m4_hourly,M4,PT-ID,ridge,19,L19,0.1,894.94,0,0.00001313,0.00219082,0.00211393,0.973049,0.974068,0.826457,0.146440,0.091922,0.113814,0.227629,0.874756,1.358584,0.129837,0.087584,0.087584,0.9966,0.9966,16
m4_hourly,M4,PT-ID,ridge,20,L20,,1280.00,0,0.00000000,0.00000000,0.00000000,1.000000,1.000000,1.000000,0.000000,0.087584,0.109012,0.218023,0.829498,0.087584,0.131533,0.087584,0.087584,,,16
wind_farms_hourly,Wind Farms,PT-ID,ridge,0,Emb,100,114.19,0,0.03881019,0.03931770,0.05121256,0.453799,0.342149,0.041332,0.224175,1.642032,0.821803,1.643606,5.910131,11.189444,0.630270,0.571549,0.571549,0.8992,0.8992,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,1,L1,100,342.41,0,0.01981301,0.03678992,0.04345918,0.488915,0.441745,0.097247,0.284067,2.275160,0.937913,1.875825,6.831873,10.172672,0.612183,0.571549,0.571549,0.8226,0.8226,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,2,L2,1000,245.44,0,0.02618529,0.03474060,0.04019483,0.517384,0.483677,0.163869,0.246223,2.507634,1.042090,2.084180,6.964614,8.831355,0.609999,0.571549,0.571549,0.7656,0.7656,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,3,L3,1000,291.82,0,0.02117715,0.03252510,0.03925594,0.548161,0.495738,0.183929,0.259259,2.657406,1.042271,2.084541,7.110911,14.255875,0.608120,0.571549,0.571549,0.8476,0.8476,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,4,L4,1000,346.63,0,0.01748709,0.03100447,0.03608776,0.569286,0.536435,0.198726,0.268528,2.124273,0.949538,1.899076,6.507338,10.157986,0.608440,0.571549,0.571549,0.8380,0.8380,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,5,L5,10000,143.66,0,0.04235716,0.03035232,0.03567571,0.578346,0.541728,0.223048,0.219558,2.204140,0.968650,1.937301,6.930289,22.498021,0.609685,0.571549,0.571549,0.9255,0.9255,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,6,L6,10000,171.25,0,0.04172360,0.03168037,0.03598113,0.559896,0.537805,0.220224,0.223313,2.466787,1.007306,2.014613,7.213694,40.346030,0.612416,0.571549,0.571549,0.9524,0.9524,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,7,L7,10000,204.36,0,0.04195550,0.03182142,0.03760472,0.557937,0.516949,0.213851,0.236523,2.647168,1.114103,2.228207,8.146582,67.323506,0.614265,0.571549,0.571549,0.9689,0.9689,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,8,L8,10000,224.56,0,0.04509335,0.03668150,0.04073215,0.490421,0.476775,0.203910,0.259740,3.039719,1.204236,2.408471,8.863567,97.205455,0.614283,0.571549,0.571549,0.9745,0.9745,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,9,L9,10000,234.72,0,0.04945749,0.03636970,0.04572250,0.494752,0.412672,0.182419,0.284679,3.422725,1.355770,2.711540,10.259279,95.230913,0.614228,0.571549,0.571549,0.9699,0.9699,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,10,L10,10000,239.39,0,0.05170444,0.03807706,0.04737817,0.471034,0.391404,0.180638,0.290776,3.742651,1.381237,2.762475,10.316648,58.946373,0.614509,0.571549,0.571549,0.9457,0.9457,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,11,L11,10000,240.23,0,0.05139663,0.03721271,0.04904990,0.483041,0.369930,0.180495,0.300825,4.019563,1.441635,2.883270,11.032045,78.547979,0.614398,0.571549,0.571549,0.9558,0.9558,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,12,L12,10000,240.58,0,0.05077856,0.03883193,0.04849378,0.460547,0.377073,0.181872,0.298255,3.881966,1.396932,2.793864,10.548625,58.241884,0.616586,0.571549,0.571549,0.9426,0.9426,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,13,L13,10000,244.73,0,0.05077554,0.03737568,0.04757532,0.480777,0.388871,0.197810,0.310972,4.025242,1.406765,2.813530,11.215280,55.506234,0.615075,0.571549,0.571549,0.9371,0.9371,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,14,L14,10000,242.81,0,0.05064747,0.03850883,0.04712407,0.465035,0.394668,0.207597,0.310692,3.961188,1.461142,2.922284,11.239173,42.678253,0.615569,0.571549,0.571549,0.9195,0.9195,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,15,L15,10000,234.96,0,0.04689132,0.03592650,0.04431937,0.500909,0.430696,0.232240,0.317034,4.062310,1.421327,2.842654,10.594813,78.014755,0.611445,0.571549,0.571549,0.9549,0.9549,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,16,L16,1000,510.54,0,0.01083458,0.02928503,0.03265313,0.593173,0.580554,0.264821,0.302997,2.530314,1.077333,2.154666,8.273778,26.891247,0.612371,0.571549,0.571549,0.9256,0.9256,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,17,L17,1000,409.10,0,0.01028553,0.02195758,0.02637674,0.694965,0.661178,0.365368,0.272248,1.916469,0.974886,1.949772,7.167845,21.017933,0.610043,0.571549,0.571549,0.9342,0.9342,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,18,L18,100,607.98,0,0.00322619,0.01455491,0.01699363,0.797803,0.781708,0.522752,0.247019,1.303711,0.735973,1.471945,5.507854,14.384768,0.606025,0.571549,0.571549,0.9470,0.9470,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,19,L19,1,925.48,0,0.00014268,0.00378328,0.00419733,0.947443,0.946083,0.883851,0.111326,0.633984,0.630888,1.261776,4.585332,2.947646,0.611761,0.571549,0.571549,0.9737,0.9737,0
wind_farms_hourly,Wind Farms,PT-ID,ridge,20,L20,,1280.00,0,0.00000000,0.00000000,0.00000000,1.000000,1.000000,1.000000,0.000000,0.571549,0.610258,1.220517,4.313073,0.571549,0.607708,0.571549,0.571549,,,0
sg_carpark,SG Carpark,PT-OOD,ridge,0,Emb,100,86.74,0,0.02239641,0.03374932,0.02325553,0.480672,0.632551,-0.068606,0.358281,0.147526,0.181065,0.362130,0.908521,13.442682,0.173527,0.099845,0.099845,0.9964,0.9964,5
sg_carpark,SG Carpark,PT-OOD,ridge,1,L1,1000,131.67,0,0.01216381,0.02646380,0.01441038,0.592780,0.772309,0.108049,0.271014,0.120398,0.148047,0.296095,0.735224,8.611184,0.148097,0.099845,0.099845,0.9976,0.9976,5
sg_carpark,SG Carpark,PT-OOD,ridge,2,L2,1000,178.64,0,0.00934466,0.02259798,0.01301628,0.652266,0.794336,0.154897,0.271131,0.116706,0.143199,0.286399,0.707279,9.966629,0.151010,0.099845,0.099845,0.9983,0.9983,5
sg_carpark,SG Carpark,PT-OOD,ridge,3,L3,1000,214.30,0,0.00803721,0.02062004,0.01212925,0.682703,0.808352,0.184518,0.266565,0.117699,0.144083,0.288166,0.711791,15.301918,0.142353,0.099845,0.099845,0.9988,0.9988,5
sg_carpark,SG Carpark,PT-OOD,ridge,4,L4,1000,259.23,0,0.00678501,0.01899615,0.01171299,0.707691,0.814929,0.214029,0.264283,0.119964,0.147341,0.294682,0.729863,12.726837,0.137863,0.099845,0.099845,0.9984,0.9984,5
sg_carpark,SG Carpark,PT-OOD,ridge,5,L5,1000,299.88,0,0.00573412,0.01824537,0.01084491,0.719243,0.828645,0.235574,0.272807,0.115607,0.141813,0.283627,0.702720,57.491239,0.129428,0.099845,0.099845,0.9997,0.9997,5
sg_carpark,SG Carpark,PT-OOD,ridge,6,L6,1000,346.55,0,0.00512591,0.01804852,0.01080494,0.722273,0.829276,0.237692,0.267399,0.115626,0.141508,0.283016,0.700352,105.547835,0.126589,0.099845,0.099845,0.9999,0.9999,5
sg_carpark,SG Carpark,PT-OOD,ridge,7,L7,1000,393.82,0,0.00450028,0.01742178,0.01086876,0.731917,0.828268,0.233012,0.267969,0.116384,0.142956,0.285911,0.705860,167.084132,0.128082,0.099845,0.099845,0.9999,0.9999,5
sg_carpark,SG Carpark,PT-OOD,ridge,8,L8,1000,424.51,0,0.00416630,0.01720508,0.01082276,0.735251,0.828995,0.226787,0.267371,0.116554,0.142663,0.285326,0.706290,114.346678,0.128223,0.099845,0.099845,0.9999,0.9999,5
sg_carpark,SG Carpark,PT-OOD,ridge,9,L9,1000,442.45,0,0.00399290,0.01733056,0.01101651,0.733320,0.825934,0.227464,0.271294,0.117295,0.143308,0.286616,0.710975,113.160662,0.129453,0.099845,0.099845,0.9998,0.9998,5
sg_carpark,SG Carpark,PT-OOD,ridge,10,L10,1000,456.80,0,0.00388687,0.01742896,0.01111106,0.731806,0.824440,0.223848,0.276187,0.118521,0.144376,0.288752,0.719630,80.352086,0.129422,0.099845,0.099845,0.9998,0.9998,5
sg_carpark,SG Carpark,PT-OOD,ridge,11,L11,1000,461.41,0,0.00385430,0.01731755,0.01107344,0.733521,0.825034,0.227044,0.278301,0.119575,0.146155,0.292310,0.728948,94.842566,0.131802,0.099845,0.099845,0.9998,0.9998,5
sg_carpark,SG Carpark,PT-OOD,ridge,12,L12,1000,465.98,0,0.00377176,0.01698868,0.01106435,0.738581,0.825178,0.231270,0.296038,0.119506,0.145613,0.291226,0.723404,90.923329,0.129920,0.099845,0.099845,0.9998,0.9998,5
sg_carpark,SG Carpark,PT-OOD,ridge,13,L13,1000,489.99,0,0.00314979,0.01496717,0.01004738,0.769688,0.841246,0.262118,0.288046,0.116649,0.141761,0.283522,0.706216,47.505710,0.128380,0.099845,0.099845,0.9996,0.9996,5
sg_carpark,SG Carpark,PT-OOD,ridge,14,L14,1000,490.07,0,0.00303255,0.01432924,0.00956476,0.779504,0.848872,0.284601,0.273298,0.116130,0.141902,0.283805,0.706679,33.832506,0.128634,0.099845,0.099845,0.9995,0.9995,5
sg_carpark,SG Carpark,PT-OOD,ridge,15,L15,1000,481.00,0,0.00289102,0.01349677,0.00896587,0.792314,0.858335,0.313790,0.265898,0.115114,0.140002,0.280005,0.693611,88.500848,0.127759,0.099845,0.099845,0.9998,0.9998,5
