model,dataset,family,tolerance,compatibility_entrance,phase1_entrance,compatibility_lag,no_truncation
chronos2,monash_electricity_hourly,fl,tol_0.02,12,11,1,True
chronos2,monash_electricity_hourly,fl,tol_0.05,11,9,2,False
chronos2,monash_electricity_hourly,fl,tol_0.1,9,5,4,False
chronos2,monash_electricity_hourly,ra,tol_0.01,12,11,1,True
chronos2,monash_electricity_hourly,ra,tol_0.02,12,11,1,True
chronos2,monash_electricity_hourly,ra,tol_0.05,11,9,2,False
chronos2,monash_electricity_hourly,ra,tol_0.1,10,5,5,False
chronos2,monash_electricity_hourly,probe,tol_0.01,12,11,1,True
chronos2,monash_electricity_hourly,probe,tol_0.02,12,11,1,True
chronos2,monash_electricity_hourly,probe,tol_0.05,12,9,3,True
chronos2,monash_electricity_hourly,probe,tol_0.1,12,5,7,True
chronos2,monash_london_smart_meters,hard,tol_0.01,12,9,3,True
chronos2,monash_london_smart_meters,hard,tol_0.02,12,5,7,True
chronos2,monash_london_smart_meters,hard,tol_0.05,12,3,9,True
chronos2,monash_london_smart_meters,hard,tol_0.1,12,2,10,True
chronos2,monash_london_smart_meters,noa,tol_0.01,11,9,2,False
chronos2,monash_london_smart_meters,noa,tol_0.02,11,5,6,False
chronos2,monash_london_smart_meters,noa,tol_0.05,7,3,4,False
chronos2,monash_london_smart_meters,noa,tol_0.1,3,2,1,False
chronos2,monash_london_smart_meters,fl,tol_0.01,12,9,3,True
chronos2,monash_london_smart_meters,fl,tol_0.02,11,5,6,False
chronos2,monash_london_smart_meters,fl,tol_0.05,9,3,6,False
chronos2,monash_london_smart_meters,fl,tol_0.1,3,2,1,False
chronos2,monash_london_smart_meters,ra,tol_0.01,11,9,2,False
chronos2,monash_london_smart_meters,ra,tol_0.02,11,5,6,False
chronos2,monash_london_smart_meters,ra,tol_0.05,6,3,3,False
chronos2,monash_london_smart_meters,ra,tol_0.1,3,2,1,False
chronos2,monash_london_smart_meters,probe,tol_0.01,12,9,3,True
chronos2,monash_london_smart_meters,probe,tol_0.02,12,5,7,True
chronos2,monash_london_smart_meters,probe,tol_0.05,12,3,9,True
chronos2,monash_london_smart_meters,probe,tol_0.1,12,2,10,True
chronos2,monash_traffic,hard,tol_0.01,12,12,0,True
chronos2,monash_traffic,hard,tol_0.02,12,12,0,True
chronos2,monash_traffic,hard,tol_0.05,12,11,1,True
chronos2,monash_traffic,hard,tol_0.1,12,10,2,True
chronos2,monash_traffic,noa,tol_0.01,12,12,0,True
chronos2,monash_traffic,noa,tol_0.02,12,12,0,True
chronos2,monash_traffic,noa,tol_0.05,12,11,1,True
chronos2,monash_traffic,noa,tol_0.1,11,10,1,False
chronos2,monash_traffic,fl,tol_0.01,12,12,0,True
chronos2,monash_traffic,fl,tol_0.02,12,12,0,True
chronos2,monash_traffic,fl,tol_0.05,12,11,1,True
chronos2,monash_traffic,fl,tol_0.1,12,10,2,True
chronos2,monash_traffic,ra,tol_0.01,12,12,0,True
chronos2,monash_traffic,ra,tol_0.02,12,12,0,True
chronos2,monash_traffic,ra,tol_0.05,12,11,1,True
chronos2,monash_traffic,ra,tol_0.1,11,10,1,False
chronos2,monash_traffic,probe,tol_0.01,12,12,0,True
chronos2,monash_traffic,probe,tol_0.02,12,12,0,True
chronos2,monash_traffic,probe,tol_0.05,12,11,1,True
chronos2,monash_traffic,probe,tol_0.1,12,10,2,True
chronos2,sg_carpark,hard,tol_0.01,12,12,0,True
chronos2,sg_carpark,hard,tol_0.02,12,11,1,True
chronos2,sg_carpark,hard,tol_0.05,12,10,2,True
chronos2,sg_carpark,hard,tol_0.1,12,9,3,True
chronos2,sg_carpark,noa,tol_0.01,12,12,0,True
chronos2,sg_carpark,noa,tol_0.02,12,11,1,True
chronos2,sg_carpark,noa,tol_0.05,11,10,1,False
chronos2,sg_carpark,noa,tol_0.1,9,9,0,False
