model,arm,depth_index,label,includes_low_skill,n_datasets,blocks_removed,fraction_blocks_removed,degradation_q25,degradation_median,degradation_q75,speedup_e2e_b1,speedup_e2e_b256,speedup_device_b1,params_removed_fraction
timesfm3,hard,17,L17,True,14,3,0.15,69.71853422470019,90.00344661139432,115.17178863211848,1.040386164372172,1.1362642695062883,1.111330684785311,0.14869926784649568
timesfm3,hard,18,L18,True,14,2,0.1,47.69259438590892,60.885107037245305,88.51025813286975,1.0382601422793392,1.0961959489150894,1.0623941756839945,0.09913284523099708
timesfm3,hard,19,L19,True,14,1,0.05,3.4326322639648064,5.6645919998290735,7.788580688098928,1.0189359215670855,1.045682060160549,1.0341866473110883,0.049566422615498595
timesfm3,hard,2,L2,True,14,18,0.9,25.09357501358234,36.27365792384612,57.314135882453364,1.370629030098993,4.2424893573352405,2.124013687620435,0.892195607078974
timesfm3,hard,3,L3,True,14,17,0.85,41.835282551434815,57.92219812705194,81.32089765351091,1.3357184916353808,3.6061624800153016,1.993513344416819,0.8426291844634755
timesfm3,hard,4,L4,True,14,16,0.8,31.478632005302245,41.33695720349223,58.5352620604549,1.3034791581209093,3.1200240454468973,1.8846369415048723,0.7930627618479769
timesfm3,hard,5,L5,True,14,15,0.75,33.1592966160719,51.64233628038437,68.3214904360452,1.3179261538656941,2.7671967945924254,1.797224795851268,0.7434963392324783
timesfm3,hard,6,L6,True,14,14,0.7,54.630334918784456,75.37287909494964,130.1993663421981,1.2559088444439195,2.4377749865587415,1.690388790183642,0.6939299166169798
timesfm3,hard,7,L7,True,14,13,0.65,69.19987858277807,91.01300335882497,128.49662786651123,1.2293226523339238,2.2344827868844637,1.614332846771345,0.6443634940014813
timesfm3,hard,8,L8,True,14,12,0.6,83.78895149121651,110.10445227835217,137.22235327431866,1.2096942172481866,2.0390256867633325,1.527784826618839,0.5947970713859827
timesfm3,hard,9,L9,True,14,11,0.55,89.4013407391693,127.80657341417577,153.60216967530218,1.1918201997893523,1.8701102931896816,1.4834649324291667,0.5452306487704841
timesfm3,noa,0,Emb,True,14,20,1.0,0.1926849048970466,0.31260888426373656,0.6251694699954867,1.384439505262513,5.943253110015933,2.4310984994946288,0.9863704070106218
timesfm3,noa,1,L1,True,14,19,0.95,0.2588112200079518,0.38731980371510266,0.6575661987010222,1.3724722373793026,4.651041968499897,2.28195027271378,0.9368039843951234
timesfm3,noa,10,L10,True,14,10,0.5,0.4095487863870929,0.6733597471107069,1.6370278339943793,1.187272509332605,1.7084380667649146,1.415355562459521,0.49070618085563633
timesfm3,noa,11,L11,True,14,9,0.45,0.4552729890137088,0.5952010921463238,1.6552093104063483,1.121612991447725,1.599192791627599,1.3615507995174596,0.44113975824013774
timesfm3,noa,12,L12,True,14,8,0.4,0.4227431834361954,0.6270418612393225,1.3332971383181587,1.152818453822076,1.5139175846669626,1.3016199179870427,0.39157333562463925
timesfm3,noa,13,L13,True,14,7,0.35,0.3743775254534724,0.5640015783568187,1.2179616101476118,1.1077368087709483,1.4157351897929482,1.2545559494667289,0.34200691300914066
timesfm3,noa,14,L14,True,14,6,0.3,0.3691672184793833,0.5598867981531522,1.0572804674105933,1.1060860111874695,1.3421619788612977,1.216119715250558,0.29244049039364206
timesfm3,noa,15,L15,True,14,5,0.25,0.3012529846632114,0.47907887437876295,1.058218256480357,1.0780301232339404,1.2641926767054803,1.166362150849616,0.24287406777814358
timesfm3,noa,16,L16,True,14,4,0.2,0.15857316470406263,0.40259467188330955,0.8834330920752571,1.046439374321341,1.203877805840885,1.1383895132994997,0.19330764516264498
timesfm3,noa,17,L17,True,14,3,0.15,0.13403579346110966,0.2965605863270684,0.6968123877175527,1.0701685775028895,1.1481853515676812,1.1056119598549459,0.14374122254714639
timesfm3,noa,18,L18,True,14,2,0.1,0.06815143576243249,0.14309934220492793,0.36709045815483515,1.0333876565350084,1.0921604666591322,1.0605005392296576,0.0941747999316479
timesfm3,noa,19,L19,True,14,1,0.05,0.028575546990622647,0.05406592862555215,0.13991116346649762,0.9853789896052291,1.0364938384035858,1.0361126716924947,0.044608377316149306
timesfm3,noa,2,L2,True,14,18,0.9,0.3996529433692776,0.5382613006342881,1.0280720029282076,1.428086066845799,4.249886300237453,2.1316991207846265,0.8872375617796248
timesfm3,noa,3,L3,True,14,17,0.85,0.3741483116850678,0.6237423846156839,1.4068232388204482,1.335219189933938,3.486953516481505,1.9748220650871342,0.8376711391641262
timesfm3,noa,4,L4,True,14,16,0.8,0.4524305614215663,0.772813810301393,1.7403568271638794,1.2938064879403643,3.109414350956207,1.8654381217797658,0.7881047165486277
timesfm3,noa,5,L5,True,14,15,0.75,0.458434454495814,0.6984310375936291,1.8638587771044801,1.2394598071023932,2.704498019005708,1.765121932057639,0.7385382939331291
timesfm3,noa,6,L6,True,14,14,0.7,0.4285532011827672,0.8193680263974086,2.0364407707994903,1.2445900309294757,2.4355229249180557,1.6986825705611446,0.6889718713176305
timesfm3,noa,7,L7,True,14,13,0.65,0.4055443502159309,0.6513615740673764,1.5398090911710143,1.22036216488048,2.2061891481488756,1.621199775001999,0.639405448702132
timesfm3,noa,8,L8,True,14,12,0.6,0.4320816621424467,0.5808065731324582,1.6143994499069034,1.2469826939101563,2.0298155078120907,1.5339221223696073,0.5898390260866334
timesfm3,noa,9,L9,True,14,11,0.55,0.39138831383866507,0.6988212042200237,1.5569389655905943,1.1778947225357868,1.8536634308838653,1.4684496545271524,0.5402726034711349
timesfm3,probe,0,Emb,True,14,20,1.0,0.12732045693927846,0.31908219049852227,0.4380966458858296,1.4356928621091063,6.119012488732347,2.4222187678894507,0.9913284523099711
timesfm3,probe,1,L1,True,14,19,0.95,0.11224594430489193,0.15839167177807556,0.3011635093818561,1.3677669527998597,4.769033840842126,2.27299138199439,0.9417620296944725
timesfm3,probe,10,L10,True,14,10,0.5,0.1174006511541631,0.16996424328660542,0.2710966845888499,1.210244939027225,1.7435968931998775,1.4140449638180792,0.4956642261549855
timesfm3,probe,11,L11,True,14,9,0.45,0.12252429986026964,0.16811446132895647,0.31837871368664594,1.1816719256001222,1.6121357744538316,1.3624464343045573,0.446097803539487
timesfm3,probe,12,L12,True,14,8,0.4,0.12113492997874498,0.16945126236377672,0.2830117849297464,1.128067830437666,1.5117199663442997,1.3105171673319966,0.39653138092398843
timesfm3,probe,13,L13,True,14,7,0.35,0.1217181945121435,0.16306993238710932,0.27343629851464873,1.1115274669652724,1.4035139214471497,1.2662116980643703,0.34696495830848983
timesfm3,probe,14,L14,True,14,6,0.3,0.12135949135393637,0.16303578267001761,0.28025454872468997,1.0987345857641642,1.343373906892751,1.2258026280589964,0.29739853569299135
timesfm3,probe,15,L15,True,14,5,0.25,0.11953230286284144,0.14848399147554436,0.26083668792324205,1.047841732494481,1.258794234854057,1.1748579767991973,0.24783211307749275
timesfm3,probe,16,L16,True,14,4,0.2,0.10906460587099592,0.1454238516621652,0.2675333618443376,1.059165528125212,1.2029419708316058,1.1423556868659246,0.19826569046199427
timesfm3,probe,17,L17,True,14,3,0.15,0.09482632802645413,0.14711140218493013,0.26697568899237695,1.0793892085796601,1.1496181872055264,1.1127600118817336,0.14869926784649568
timesfm3,probe,18,L18,True,14,2,0.1,0.09899669738153449,0.13167634810481366,0.31827449526631413,1.0333545825258326,1.0918377749533135,1.0703695544609477,0.09913284523099708
timesfm3,probe,19,L19,True,14,1,0.05,0.09119714544398638,0.1265719439340478,0.3461658332120391,1.0257071623569451,1.0443337694735073,1.0358672533846622,0.049566422615498595
timesfm3,probe,2,L2,True,14,18,0.9,0.1210498134821602,0.15252683385725785,0.3757525781777507,1.317196526156959,4.104748423336346,2.1175454964040648,0.892195607078974
timesfm3,probe,3,L3,True,14,17,0.85,0.10208096324997407,0.16935630832361037,0.37320681836751235,1.3057763842870678,3.5030857028420592,1.9973675378361562,0.8426291844634755
timesfm3,probe,4,L4,True,14,16,0.8,0.10248777998438036,0.16972190826579392,0.35985418415804254,1.3072211831376892,3.0940809138726437,1.9065943739141344,0.7930627618479769
timesfm3,probe,5,L5,True,14,15,0.75,0.12289046593593239,0.16783884648291802,0.288198272966461,1.2847855896360336,2.728290380514307,1.7900423728851724,0.7434963392324783
timesfm3,probe,6,L6,True,14,14,0.7,0.11767777884510877,0.16556502889537772,0.25862077908458037,1.2758924953464068,2.4618847852922454,1.7163136631535627,0.6939299166169798
timesfm3,probe,7,L7,True,14,13,0.65,0.1200331546487941,0.1551531621191371,0.265765600370391,1.2297134137251413,2.22138170167276,1.6170914414985211,0.6443634940014813
timesfm3,probe,8,L8,True,14,12,0.6,0.12423842972978433,0.15846286391771236,0.2694985811128251,1.208522320675856,2.0294178629656145,1.5510205067434437,0.5947970713859827
timesfm3,probe,9,L9,True,14,11,0.55,0.11738128580994256,0.1610347631177529,0.27995185010885654,1.194323441346934,1.877355634196293,1.4715766714941612,0.5452306487704841
