model,dataset,tolerance,is_headline,label,depth_index,relative_depth,blocks_removed,rung,mase_ratio,mase_ci_lo,mase_ci_hi,wql_ratio,wql_ci_lo,wql_ci_hi,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,compatibility_gap_exists,low_skill
chronos2,wiki_daily_100k,tol_0.1,False,L1,1,0.08333333333333333,11,hard,1.176500194534923,1.12727323300875,1.2337275721868606,1.3440062979450142,1.1337762409551466,1.6081480823402958,False,False,,,True,False
chronos2,wiki_daily_100k,tol_0.1,False,L1,1,0.08333333333333333,11,noa,1.0953738356749723,1.057713368061646,1.1416470158650511,1.0874847057616903,0.9016451039292778,1.3187440857011563,False,False,0.45963892036333603,True,True,False
chronos2,wiki_daily_100k,tol_0.1,False,L1,1,0.08333333333333333,11,fl,1.1058591633755626,1.063604551860532,1.1576687716623222,1.0637580076586577,0.8583525549957497,1.3367910213807939,False,False,0.4002320300297638,True,True,False
chronos2,wiki_daily_100k,tol_0.1,False,L1,1,0.08333333333333333,11,ra,1.0979781701470455,1.0581944337325162,1.1473881728343946,1.0768208305629905,0.8908795576901147,1.3410945449630272,False,False,0.4448835005240799,True,True,False
chronos2,wiki_daily_100k,tol_0.1,False,L1,1,0.08333333333333333,11,probe,1.1739807919990726,1.125799494053856,1.2335728319595234,1.4211446370395417,1.1711701670846404,1.7526976142279183,False,False,0.014274219597825988,True,True,False
chronos2,wind_farms_hourly,tol_0.01,False,L12,12,1.0,0,hard,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,False,False
chronos2,wind_farms_hourly,tol_0.01,False,L12,12,1.0,0,noa,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,False
chronos2,wind_farms_hourly,tol_0.01,False,L12,12,1.0,0,fl,1.0026734651345994,1.0007038373904753,1.0186529534383804,0.9901985829744626,0.9815824225492894,1.0006143517330395,True,False,,False,False,False
chronos2,wind_farms_hourly,tol_0.01,False,L12,12,1.0,0,ra,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,False
chronos2,wind_farms_hourly,tol_0.01,False,L12,12,1.0,0,probe,1.086403046992303,1.0294757618489045,1.510414286135094,1.1258631579419693,1.0738175699276344,1.1931294668380847,False,True,,False,False,False
chronos2,wind_farms_hourly,tol_0.02,False,L11,11,0.9166666666666666,1,hard,1.0677523908782478,1.0234872938139157,1.3941243738531108,1.374483202856967,1.2947206202312709,1.4695931687506925,False,True,,,True,False
chronos2,wind_farms_hourly,tol_0.02,False,L11,11,0.9166666666666666,1,noa,1.0046016371694981,1.0011571488039157,1.0336471176633033,1.0116413584852242,0.997568128653989,1.0284045382483422,True,False,0.9320815529924634,True,True,False
chronos2,wind_farms_hourly,tol_0.02,False,L11,11,0.9166666666666666,1,fl,1.0043723425481978,1.0001093481696597,1.0384200280713618,0.9951166124372915,0.9697878749832258,1.0264798972124503,True,False,0.9354658560159875,True,True,False
chronos2,wind_farms_hourly,tol_0.02,False,L11,11,0.9166666666666666,1,ra,1.0009046684693754,0.9935817388850651,1.0162072912516413,0.9999766325109728,0.9841387286222866,1.0162136674190838,True,False,0.9866474310699818,True,True,False
chronos2,wind_farms_hourly,tol_0.02,False,L11,11,0.9166666666666666,1,probe,1.1185709402066837,1.039762942719047,1.713892264170891,1.116842033094533,1.0584295551846654,1.189146988195834,False,True,-0.7500628194768443,True,True,False
chronos2,wind_farms_hourly,tol_0.05,True,L3,3,0.25,9,hard,1.171820344343705,1.0583995936409045,2.0141188235831344,1.477340643794018,1.3304494581663278,1.6535328725064051,False,False,,,True,False
chronos2,wind_farms_hourly,tol_0.05,True,L3,3,0.25,9,noa,1.0263164033996062,1.007371116606489,1.1926833025158168,1.034702773534767,0.9658485565251469,1.1112265706225801,True,True,0.8468376751302308,True,True,False
chronos2,wind_farms_hourly,tol_0.05,True,L3,3,0.25,9,fl,1.0204941263349485,1.0045034616935493,1.1603899070339854,1.0705941507687682,1.0028265506022245,1.1477927604884066,True,True,0.8807235172689877,True,True,False
chronos2,wind_farms_hourly,tol_0.05,True,L3,3,0.25,9,ra,1.0135721347791562,1.000910272659364,1.1179505956091822,1.0271268499318096,0.9610968138962387,1.102032475641501,True,True,0.9210097335621282,True,True,False
chronos2,wind_farms_hourly,tol_0.05,True,L3,3,0.25,9,probe,1.1386440606347679,1.0479502286838576,1.8249823963180754,1.185183974390582,1.0862878155779558,1.3047018934010126,False,True,0.19308705168563906,True,True,False
chronos2,wind_farms_hourly,tol_0.1,False,L2,2,0.16666666666666666,10,hard,1.1935377137244594,1.0659017879708745,2.1384863172799844,1.5749184427869813,1.405370560645125,1.7788644797502957,False,False,,,True,False
chronos2,wind_farms_hourly,tol_0.1,False,L2,2,0.16666666666666666,10,noa,1.0336408612396364,1.010240616491078,1.228964144494012,1.0817346612509384,1.0101780685285542,1.1677432709600684,True,True,0.8261792981210313,True,True,False
chronos2,wind_farms_hourly,tol_0.1,False,L2,2,0.16666666666666666,10,fl,1.0311072708152274,1.0091062764299914,1.2162980083664279,1.1389858713924055,1.0540420023705432,1.2421289190540468,True,True,0.8392702372235576,True,True,False
chronos2,wind_farms_hourly,tol_0.1,False,L2,2,0.16666666666666666,10,ra,1.0265592029073738,1.0071580295944604,1.1916837250418355,1.0668189830738344,0.9960129542457641,1.1537104623519094,True,True,0.86276988398661,True,True,False
chronos2,wind_farms_hourly,tol_0.1,False,L2,2,0.16666666666666666,10,probe,1.1499362243257694,1.0515296648969534,1.888815536831713,1.2824189223326699,1.1637274451502868,1.423710559817082,False,False,0.2252867855035511,True,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.01,False,L17,17,0.85,3,hard,88.65656650654644,81.5194288193914,96.73540558963015,112.36017819208185,104.04651116968847,121.76957294270096,False,False,,,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.01,False,L17,17,0.85,3,noa,1.101948970253589,1.0597342607221958,1.1491492199186564,1.1518763622800174,1.1161890924422653,1.1918088615612559,False,False,0.9988369499934043,True,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.01,False,L17,17,0.85,3,ra,1.5615383037454547,1.483743735126589,1.6497685786444567,2.0116945151019467,1.8896281410286953,2.1477864489169596,False,False,0.9935938820544207,True,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.01,False,L17,17,0.85,3,probe,0.8307427742116464,0.8022338779315008,0.8631677573395449,0.9116182885847717,0.8826053580503718,0.9421354597218928,True,False,1.001930913250814,True,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.02,False,L17,17,0.85,3,hard,88.65656650654644,81.5194288193914,96.73540558963015,112.36017819208185,104.04651116968847,121.76957294270096,False,False,,,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.02,False,L17,17,0.85,3,noa,1.101948970253589,1.0597342607221958,1.1491492199186564,1.1518763622800174,1.1161890924422653,1.1918088615612559,False,False,0.9988369499934043,True,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.02,False,L17,17,0.85,3,ra,1.5615383037454547,1.483743735126589,1.6497685786444567,2.0116945151019467,1.8896281410286953,2.1477864489169596,False,False,0.9935938820544207,True,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.02,False,L17,17,0.85,3,probe,0.8307427742116464,0.8022338779315008,0.8631677573395449,0.9116182885847717,0.8826053580503718,0.9421354597218928,True,False,1.001930913250814,True,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.05,True,L14,14,0.7,6,hard,99.37834061770367,90.93291768945109,109.5082955249162,149.98832651857626,135.62478867690461,166.4515920948168,False,False,,,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.05,True,L14,14,0.7,6,noa,1.4789101696352853,1.391051626193211,1.5772588017975853,1.561385296350943,1.4803616233589514,1.6494190796546457,False,False,0.9951319551983875,True,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.05,True,L14,14,0.7,6,ra,2.062187881620297,1.9377597485570932,2.2079019647423332,2.6743510660387404,2.5000171030435783,2.8783613701676507,False,False,0.9892030311250326,True,True,False
