job,config_id,model,kind,depth,drift,level,batch,status,median_ms,p95_ms,iqr_ms,throughput,peak_allocated_bytes,active_params,weights_bytes,gpu,native_median_ms_same_job,speedup_vs_native_same_job,native_drift_range_ms
job1_chronos2,005_chronos2_probe_head_L09,chronos2,probe_head,9,,device_forward,256,ok,128.1004345,128.16306425,0.0261260000000334,1998.4319413061787,875421696,87763536,351064064,NVIDIA A100-SXM4-40GB,171.075546,1.335479826182791,0.021898999999990565
job1_chronos2,006_chronos2_hard_L05,chronos2,hard,5,,api_e2e,1,ok,9.5186155,9.56530075,0.02858074999999971,105.05729535981364,224564224,53401248,213611008,NVIDIA A100-SXM4-40GB,19.5060305,2.0492508075360334,0.28581599999999696
job1_chronos2,006_chronos2_hard_L05,chronos2,hard,5,,device_forward,1,ok,8.8800435,8.916269100000001,0.026316999999998814,112.61206096569236,224561664,53401248,213611008,NVIDIA A100-SXM4-40GB,18.893026,2.1275825957384105,0.35365350000000007
job1_chronos2,006_chronos2_hard_L05,chronos2,hard,5,,api_e2e,256,ok,85.494626,87.502579,0.345524999999995,2994.3402524504877,740000256,53401248,213611008,NVIDIA A100-SXM4-40GB,181.99669649999998,2.1287501333709558,0.3272615000000201
job1_chronos2,006_chronos2_hard_L05,chronos2,hard,5,,device_forward,256,ok,74.619653,74.88367415,0.01975924999999279,3430.7315795210147,739148288,53401248,213611008,NVIDIA A100-SXM4-40GB,171.075546,2.2926338990078126,0.021898999999990565
job1_chronos2,007_chronos2_probe_head_L12,chronos2,probe_head,12,,api_e2e,1,ok,19.115617999999998,19.16417335,0.040763999999999356,52.31324459402778,474376704,116082000,464340992,NVIDIA A100-SXM4-40GB,19.5060305,1.0204237446050661,0.28581599999999696
job1_chronos2,007_chronos2_probe_head_L12,chronos2,probe_head,12,,device_forward,1,ok,18.4556155,18.6433764,0.042266249999997285,54.18405037751246,474374144,116082000,464340992,NVIDIA A100-SXM4-40GB,18.893026,1.0237006725676527,0.35365350000000007
job1_chronos2,007_chronos2_probe_head_L12,chronos2,probe_head,12,,api_e2e,256,ok,180.7352855,191.6382174,1.4838317500000358,1416.4361944696184,989812736,116082000,464340992,NVIDIA A100-SXM4-40GB,181.99669649999998,1.0069793288925863,0.3272615000000201
job1_chronos2,007_chronos2_probe_head_L12,chronos2,probe_head,12,,device_forward,256,ok,169.4403245,169.7200137,0.10068524999999795,1510.8564077378169,988698624,116082000,464340992,NVIDIA A100-SXM4-40GB,171.075546,1.0096507221927564,0.021898999999990565
job1_chronos2,008_chronos2_adapter_L11,chronos2,adapter,11,,api_e2e,1,ok,18.041800000000002,18.116878749999998,0.03874525000000162,55.42684211109755,452562944,110628768,442527232,NVIDIA A100-SXM4-40GB,19.5060305,1.0811576727377534,0.28581599999999696
job1_chronos2,008_chronos2_adapter_L11,chronos2,adapter,11,,device_forward,1,ok,17.457268499999998,17.7458195,0.04487800000000064,57.28273011324768,452560384,110628768,442527232,NVIDIA A100-SXM4-40GB,18.893026,1.0822441093805713,0.35365350000000007
job1_chronos2,008_chronos2_adapter_L11,chronos2,adapter,11,,api_e2e,256,ok,169.2188995,175.3749154,0.5245510000000309,1512.833381829197,968523264,110628768,442527232,NVIDIA A100-SXM4-40GB,181.99669649999998,1.0755104603431132,0.3272615000000201
job1_chronos2,008_chronos2_adapter_L11,chronos2,adapter,11,,device_forward,256,ok,158.043718,158.234008,0.03076324999997837,1619.804970672735,967933440,110628768,442527232,NVIDIA A100-SXM4-40GB,171.075546,1.0824571084818442,0.021898999999990565
job1_chronos2,009_chronos2_adapter_L00,chronos2,adapter,0,,api_e2e,1,ok,2.3086785,2.3266162,0.01116874999999995,433.1482274383376,36503552,6794400,27178496,NVIDIA A100-SXM4-40GB,19.5060305,8.44900253543315,0.28581599999999696
job1_chronos2,009_chronos2_adapter_L00,chronos2,adapter,0,,device_forward,1,ok,1.658239,1.6700916000000001,0.009171749999999923,603.049379492341,36500480,6794400,27178496,NVIDIA A100-SXM4-40GB,18.893026,11.393427606032665,0.35365350000000007
job1_chronos2,009_chronos2_adapter_L00,chronos2,adapter,0,,api_e2e,256,ok,18.578301,18.66095515,0.045373249999997256,13779.51622163943,241821184,6794400,27178496,NVIDIA A100-SXM4-40GB,181.99669649999998,9.796196998853661,0.3272615000000201
job1_chronos2,009_chronos2_adapter_L00,chronos2,adapter,0,,device_forward,256,ok,6.3799015,6.420054299999999,0.019013749999999163,40126.01134986175,241229312,6794400,27178496,NVIDIA A100-SXM4-40GB,171.075546,26.814762892499203,0.021898999999990565
job1_chronos2,010_chronos2_probe_head_L06,chronos2,probe_head,6,,api_e2e,1,ok,10.724983,10.784302499999999,0.029725750000000772,93.24024103348229,247822848,59445072,237787136,NVIDIA A100-SXM4-40GB,19.5060305,1.8187469854264573,0.28581599999999696
job1_chronos2,010_chronos2_probe_head_L06,chronos2,probe_head,6,,device_forward,1,ok,10.0954575,10.12554405,0.022596499999998798,99.05445097460913,247820288,59445072,237787136,NVIDIA A100-SXM4-40GB,18.893026,1.8714383176790155,0.35365350000000007
job1_chronos2,010_chronos2_probe_head_L06,chronos2,probe_head,6,,api_e2e,256,ok,97.717282,103.44780334999999,0.30444024999999897,2619.802707979536,763258880,59445072,237787136,NVIDIA A100-SXM4-40GB,181.99669649999998,1.8624821809923038,0.3272615000000201
job1_chronos2,010_chronos2_probe_head_L06,chronos2,probe_head,6,,device_forward,256,ok,86.7310195,86.89157709999999,0.027353500000003805,2951.654453917724,762144768,59445072,237787136,NVIDIA A100-SXM4-40GB,171.075546,1.9724839738566662,0.021898999999990565
job1_chronos2,011_chronos2_adapter_L02,chronos2,adapter,2,,api_e2e,1,ok,5.1964625,5.2251035,0.016987749999999302,192.43860607095692,112732160,25673376,102696448,NVIDIA A100-SXM4-40GB,19.5060305,3.7537133193975714,0.28581599999999696
job1_chronos2,011_chronos2_adapter_L02,chronos2,adapter,2,,device_forward,1,ok,4.566817,4.58890325,0.016568749999999355,218.9708937318925,112729600,25673376,102696448,NVIDIA A100-SXM4-40GB,18.893026,4.137022788519881,0.35365350000000007
job1_chronos2,011_chronos2_adapter_L02,chronos2,adapter,2,,api_e2e,256,ok,44.824548,44.90973095,0.04748324999999909,5711.1563065845085,628692480,25673376,102696448,NVIDIA A100-SXM4-40GB,181.99669649999998,4.060201488255943,0.3272615000000201
job1_chronos2,011_chronos2_adapter_L02,chronos2,adapter,2,,device_forward,256,ok,33.9564325,33.97903105,0.02521449999999703,7539.0723097899045,628102656,25673376,102696448,NVIDIA A100-SXM4-40GB,171.075546,5.038089498948396,0.021898999999990565
job1_chronos2,012_chronos2_probe_head_L01,chronos2,probe_head,1,,api_e2e,1,ok,3.5189925000000004,3.53859705,0.014609749999999977,284.1722453230576,58914304,12247632,48992256,NVIDIA A100-SXM4-40GB,19.5060305,5.5430724845250445,0.28581599999999696
job1_chronos2,012_chronos2_probe_head_L01,chronos2,probe_head,1,,device_forward,1,ok,2.885329,2.89641805,0.009138749999999973,346.58092716636475,58911744,12247632,48992256,NVIDIA A100-SXM4-40GB,18.893026,6.547962468058235,0.35365350000000007
job1_chronos2,012_chronos2_probe_head_L01,chronos2,probe_head,1,,api_e2e,256,ok,28.5310555,28.70532305,0.04196074999999766,8972.678911230607,545366016,12247632,48992256,NVIDIA A100-SXM4-40GB,181.99669649999998,6.378898127340574,0.3272615000000201
job1_chronos2,012_chronos2_probe_head_L01,chronos2,probe_head,1,,device_forward,256,ok,17.779854,17.80667765,0.021686000000002537,14398.318456383275,544251904,12247632,48992256,NVIDIA A100-SXM4-40GB,171.075546,9.621875747686117,0.021898999999990565
job1_chronos2,013_chronos2_adapter_L03,chronos2,adapter,3,,api_e2e,1,ok,6.7121595,6.74974555,0.02061825000000006,148.98334880152953,150491136,35112864,140455424,NVIDIA A100-SXM4-40GB,19.5060305,2.9060737457147736,0.28581599999999696
job1_chronos2,013_chronos2_adapter_L03,chronos2,adapter,3,,device_forward,1,ok,6.0718585,6.0906855,0.015895249999999805,164.69422006458154,150488576,35112864,140455424,NVIDIA A100-SXM4-40GB,18.893026,3.1115721817298603,0.35365350000000007
job1_chronos2,013_chronos2_adapter_L03,chronos2,adapter,3,,api_e2e,256,ok,58.6480745,59.141822399999995,0.1037142499999959,4365.019690458891,666451456,35112864,140455424,NVIDIA A100-SXM4-40GB,181.99669649999998,3.103199858675667,0.3272615000000201
job1_chronos2,013_chronos2_adapter_L03,chronos2,adapter,3,,device_forward,256,ok,47.7634175,47.92255125,0.023554499999995926,5359.750482678506,665861632,35112864,140455424,NVIDIA A100-SXM4-40GB,171.075546,3.581727500968707,0.021898999999990565
job1_chronos2,014_chronos2_adapter_L04,chronos2,adapter,4,,api_e2e,1,ok,7.992099,8.024744049999999,0.021400749999999746,125.1235751709282,188250112,44552352,178214400,NVIDIA A100-SXM4-40GB,19.5060305,2.440664273553168,0.28581599999999696
job1_chronos2,014_chronos2_adapter_L04,chronos2,adapter,4,,device_forward,1,ok,7.3616624999999996,7.377326399999999,0.01715700000000009,135.8388815026497,188247552,44552352,178214400,NVIDIA A100-SXM4-40GB,18.893026,2.56640752004048,0.35365350000000007
