model,dataset,arm,depth_index,label,blocks_removed,budgets,physical_test_mase,offline_test_mase,mase_mean_rel_diff,V3_passed,active_params,fraction_params_removed
chronos2,wind_farms_hourly,noa,9,L9,3,0.1,4.40118256389946,4.401182606602233,9.70256785284661e-09,True,91749792,0.2320757794528021
chronos2,wind_farms_hourly,noa,11,L11,1,0.05,4.374316792015527,4.3743168027230945,2.447826200108262e-09,True,110628768,0.07406318221956532
timesfm3,LOOP_SEATTLE_5T,noa,17,L17,3,0.2,1.3560477686385923,1.3560492475549586,1.0906066788698354e-06,True,283174176,0.14374122254714639
timesfm3,LOOP_SEATTLE_5T,noa,18,L18,2,0.05;0.1,1.2746831527576663,1.2746829395449528,1.6726725279679148e-07,True,299566336,0.0941747999316479
timesfm3,LOOP_SEATTLE_5T,noa,19,L19,1,0.02,1.2728083177882612,1.2728082848950468,2.5843023466184262e-08,True,315958496,0.044608377316149306
timesfm3,LOOP_SEATTLE_5T,probe,15,L15,5,0.2,0.9879424397842015,0.9879424345927307,5.254831280667148e-09,True,248750176,0.24783211307749275
timesfm3,SZ_TAXI_15T,noa,10,L10,10,0.2,0.8536390099730786,0.8536375633483544,1.6946591695877679e-06,True,168429056,0.49070618085563633
timesfm3,SZ_TAXI_15T,noa,16,L16,4,0.1,0.8120547598054144,0.8120550858627927,4.0152125637243675e-07,True,266782016,0.19330764516264498
timesfm3,SZ_TAXI_15T,noa,18,L18,2,0.05,0.7798010856039231,0.779800731837785,4.5366222897440826e-07,True,299566336,0.0941747999316479
timesfm3,SZ_TAXI_15T,noa,19,L19,1,0.02,0.7653083884952638,0.7653083693251753,2.5048842120332903e-08,True,315958496,0.044608377316149306
timesfm3,SZ_TAXI_15T,probe,0,Emb,20,0.2,0.8504855874669064,0.8504855864253194,1.2246968737227932e-09,True,2867776,0.9913284523099711
timesfm3,SZ_TAXI_15T,probe,19,L19,1,0.1,0.8234215635438744,0.8234215623679771,1.4280622735510067e-09,True,314318816,0.049566422615498595
timesfm3,coastal_ts,noa,16,L16,4,0.1;0.2,1.1643768679909952,1.1643765311441927,2.8929370649557416e-07,True,266782016,0.19330764516264498
timesfm3,coastal_ts,noa,19,L19,1,0.02;0.05,1.0950629044758913,1.095064790710428,1.7224866992223152e-06,True,315958496,0.044608377316149306
timesfm3,coastal_ts,probe,0,Emb,20,0.2,1.2119343226318715,1.2119363176675475,1.6461555338436854e-06,True,2867776,0.9913284523099711
timesfm3,coastal_ts,probe,18,L18,2,0.1,1.281304489610504,1.2813071812434125,2.1006929079613666e-06,True,297926656,0.09913284523099708
timesfm3,electricity_15min,noa,19,L19,1,0.1;0.2,1.2358659866381776,1.235865978008727,6.982513185954424e-09,True,315958496,0.044608377316149306
timesfm3,m4_hourly,noa,19,L19,1,0.2,0.9674449183715605,0.9674448406633648,8.032312799739553e-08,True,315958496,0.044608377316149306
timesfm3,m5,noa,18,L18,2,0.1;0.2,1.0682080193669143,1.0682078668358959,1.427915139159725e-07,True,299566336,0.0941747999316479
timesfm3,m5,probe,0,Emb,20,0.2,1.1133023956513073,1.1133023948014138,7.633985994169642e-10,True,2867776,0.9913284523099711
timesfm3,monash_electricity_hourly,noa,19,L19,1,0.2,0.9816185300552588,0.9816185611206395,3.164709994565182e-08,True,315958496,0.044608377316149306
timesfm3,monash_london_smart_meters,noa,17,L17,3,0.2,1.0661040522785157,1.066104124624826,6.786045434475826e-08,True,283174176,0.14374122254714639
timesfm3,monash_london_smart_meters,noa,19,L19,1,0.05;0.1,0.83510886765908,0.8351088782546917,1.2687700965994193e-08,True,315958496,0.044608377316149306
timesfm3,monash_london_smart_meters,probe,0,Emb,20,0.2,1.02123971547943,1.0212397157161517,2.3179842075038479e-10,True,2867776,0.9913284523099711
timesfm3,monash_london_smart_meters,probe,17,L17,3,0.1,0.8986786839915176,0.8986786858863568,2.1084723652765545e-09,True,281534496,0.14869926784649568
timesfm3,sg_carpark,noa,19,L19,1,0.1;0.2,0.6346366745468168,0.6346366021924702,1.1400909808111235e-07,True,315958496,0.044608377316149306
timesfm3,uber_tlc_hourly,noa,18,L18,2,0.2,0.9378296348102819,0.937829449139303,1.979794717422961e-07,True,299566336,0.0941747999316479
timesfm3,uber_tlc_hourly,noa,19,L19,1,0.1,0.8666374735417065,0.8666374543935698,2.2094748670033613e-08,True,315958496,0.044608377316149306
timesfm3,uber_tlc_hourly,probe,17,L17,3,0.2,0.9413219282856957,0.941321927312393,1.0339743965071881e-09,True,281534496,0.14869926784649568
timesfm3,wiki_daily_100k,noa,13,L13,7,0.2,0.9715534068526228,0.9715531354466893,2.793526402242329e-07,True,217605536,0.34200691300914066
timesfm3,wiki_daily_100k,noa,17,L17,3,0.1,0.863038823255297,0.8630384531703914,4.2881624132776736e-07,True,283174176,0.14374122254714639
timesfm3,wiki_daily_100k,noa,19,L19,1,0.02;0.05,0.8048341153109532,0.8048340971082312,2.2616738110098308e-08,True,315958496,0.044608377316149306
timesfm3,wiki_daily_100k,probe,0,Emb,20,0.2,0.9602535777654573,0.9602535767857419,1.0202673997648127e-09,True,2867776,0.9913284523099711
timesfm3,wiki_daily_100k,probe,7,L7,13,0.1,0.9126566242070535,0.9126566235106915,7.630054394501503e-10,True,117612896,0.6443634940014813
