model,kind,depth,level,batch,n_jobs,median_ms,median_ms_min_job,median_ms_max_job,speedup_vs_native,speedup_min_job,speedup_max_job,throughput,peak_allocated_bytes,active_params
chronos2,hard,9,api_e2e,256,3,140.6901025,140.54553049999998,140.6923265,1.2932067946479453,1.2920083770640511,1.2935794085400953,1819.6020576500753,891036160.0,91159200
chronos2,hard,9,device_forward,1,3,14.490709500000001,14.401885,14.491409,1.3037397536706057,1.297306422435699,1.3060653865796041,69.00973344334865,375597568.0,91159200
chronos2,hard,9,device_forward,256,3,129.740121,129.693446,129.7603665,1.3183959834145504,1.3181826113758595,1.3186014850742729,1973.1752832263817,890184192.0,91159200
chronos2,native,12,api_e2e,1,3,19.4313455,19.4033285,19.5060305,1.0,1.0,1.0,51.463240154934205,487959552.0,119477664
chronos2,native,12,api_e2e,256,3,181.77279099999998,181.754435,181.99669649999998,1.0,1.0,1.0,1408.351594271334,1003395584.0,119477664
chronos2,native,12,device_forward,1,3,18.8098035,18.7988905,18.893026,1.0,1.0,1.0,53.16376643700717,487956992.0,119477664
chronos2,native,12,device_forward,256,3,171.02117149999998,171.0139705,171.075546,1.0,1.0,1.0,1496.8906934425954,1002805760.0,119477664
chronos2,probe_head,0,api_e2e,1,3,2.0628124999999997,2.058261,2.1127459999999996,9.42704958214726,9.197199048063517,9.456036600515075,484.77503408574466,20558336.0,2808144
chronos2,probe_head,0,api_e2e,256,3,15.733402000000002,15.554756000000001,15.804906500000001,11.553304936847095,11.515202351877246,11.684814278025318,16271.115426911483,225351680.0,2808144
chronos2,probe_head,0,device_forward,1,3,1.4501335,1.4303825,1.4766485,13.028473585363002,12.730782241000481,13.150191294985783,689.5916824209634,20555264.0,2808144
chronos2,probe_head,0,device_forward,256,3,4.0003245,3.9792535,4.0036255,42.765417155533264,42.716575638755415,42.97639507008036,63994.80842116685,224759808.0,2808144
chronos2,probe_head,1,api_e2e,1,3,3.547345,3.5189925000000004,3.56217,5.477715164439884,5.4470529199897815,5.5430724845250445,281.90097100789467,58914304.0,12247632
chronos2,probe_head,1,api_e2e,256,3,28.522015,28.43037,28.5310555,6.378898127340574,6.372426176762056,6.393613273411495,8975.52294254105,545366016.0,12247632
chronos2,probe_head,1,device_forward,1,3,2.8919354999999998,2.885329,2.9054314999999997,6.504226494678046,6.4702576880576945,6.547962468058235,345.7891782164575,58911744.0,12247632
chronos2,probe_head,1,device_forward,256,3,17.779854,17.756652,17.7833565,9.621875747686117,9.616923076360752,9.63098057561752,14398.318456383275,544251904.0,12247632
chronos2,probe_head,10,api_e2e,1,3,16.2887375,16.284809000000003,16.4824765,1.1912113200915664,1.1834405163568715,1.1932191221892745,61.39211218794581,398858752.0,97203024
chronos2,probe_head,10,api_e2e,256,3,152.7699895,152.7482805,153.4022205,1.1898461968539964,1.1848227125239037,1.1914811473115077,1675.7217882770096,914294784.0,97203024
chronos2,probe_head,10,device_forward,1,3,15.656400999999999,15.644698,15.876471,1.2007159563682612,1.1900016067802472,1.202311703300377,63.871639465545115,398856192.0,97203024
chronos2,probe_head,10,device_forward,256,3,141.82827550000002,141.7969395,141.8843575,1.2058326937776238,1.205739300754137,1.2060483893589253,1804.99973716454,913180672.0,97203024
chronos2,probe_head,11,api_e2e,1,3,17.838419000000002,17.600051999999998,17.894415,1.093484265617934,1.0858888373830606,1.1024585893268952,56.0587796485776,436617728.0,106642512
chronos2,probe_head,11,api_e2e,256,3,166.45155549999998,166.4127015,166.779922,1.0920462140108989,1.0912386474194418,1.0921908806341925,1537.985026520224,952053760.0,106642512
chronos2,probe_head,11,device_forward,1,3,17.236445500000002,16.996298,17.2643895,1.0961091716966818,1.0888824363004552,1.1067000296182146,58.01660208887034,436615168.0,106642512
chronos2,probe_head,11,device_forward,256,3,155.63203249999998,155.571432,155.652746,1.0990846637553056,1.098881565400105,1.099263330686575,1644.9055884430477,950939648.0,106642512
chronos2,probe_head,12,api_e2e,1,3,19.115617999999998,19.072502999999998,19.1503035,1.0173456782258734,1.0146755898672832,1.0204237446050661,52.31324459402778,474376704.0,116082000
chronos2,probe_head,12,api_e2e,256,3,180.292488,180.06199199999998,180.7352855,1.0082105639365295,1.0069793288925863,1.0093992240183594,1419.9149550812122,989812736.0,116082000
chronos2,probe_head,12,device_forward,1,3,18.4556155,18.4373695,18.563985,1.0201999531440753,1.0126538294444862,1.0237006725676527,54.18405037751246,474374144.0,116082000
chronos2,probe_head,12,device_forward,256,3,169.3845065,169.3505455,169.4403245,1.009662424467376,1.0096507221927564,1.0098223775724418,1511.3542867039025,988698624.0,116082000
chronos2,probe_head,2,api_e2e,1,3,4.9906109999999995,4.977285,4.9943025,3.898376022269169,3.8907025555620627,3.9085455668654605,200.37626655333386,96786944.0,21687120
chronos2,probe_head,2,api_e2e,256,3,42.302355000000006,42.233186,42.5787825,4.296989872076861,4.274351820651518,4.303592795485521,6051.672536907223,612222976.0,21687120
chronos2,probe_head,2,device_forward,1,3,4.351914000000001,4.339847000000001,4.3720455000000005,4.3342089018345575,4.299792968760274,4.341314189572679,229.78395253215018,96784384.0,21687120
chronos2,probe_head,2,device_forward,256,3,31.578939499999997,31.559435999999998,31.582504999999998,5.417393639833916,5.415060379156118,5.41879045303598,8106.668686578281,611108864.0,21687120
chronos2,probe_head,3,api_e2e,1,3,6.460723,6.443293499999999,6.4780485,3.0157473813663773,2.9952428574747474,3.0191714611507106,154.78143854797676,134545920.0,31126608
chronos2,probe_head,3,api_e2e,256,3,56.1047315,56.0686275,56.156063,3.2419696915177743,3.2365950405034627,3.243874297838855,4562.895020716746,649981952.0,31126608
chronos2,probe_head,3,device_forward,1,3,5.819711,5.7875395,5.8407265,3.246385602309118,3.220456136749427,3.24816625441606,171.8298382857843,134543360.0,31126608
chronos2,probe_head,3,device_forward,256,3,45.357358,45.3435035,45.362041000000005,3.7713370524928536,3.7705276286154055,3.7715208861176777,5644.0677166425785,648867840.0,31126608
chronos2,probe_head,4,api_e2e,1,3,7.895352000000001,7.851962,7.911636,2.4705713564132417,2.4560464485474305,2.471143963763452,126.65679756900006,172304896.0,40566096
chronos2,probe_head,4,api_e2e,256,3,69.9023095,69.8138175,69.9165255,2.6030569339433205,2.6001206011655453,2.6036792931427937,3662.2538200973177,687740928.0,40566096
chronos2,probe_head,4,device_forward,1,3,7.23831,7.226627,7.2690765,2.6028468744823834,2.5861456403712357,2.6101432516706247,138.15379556830254,172302336.0,40566096
chronos2,probe_head,4,device_forward,256,3,59.150392999999994,59.1226755,59.151588000000004,2.8921547465471256,2.891293917523084,2.892527597131493,4327.950957147487,686626816.0,40566096
chronos2,probe_head,5,api_e2e,1,3,9.2806725,9.220572,9.4226435,2.0907244060169132,2.0621968240653485,2.115490286285927,107.75081223909152,210063872.0,50005584
chronos2,probe_head,5,api_e2e,256,3,83.6782445,83.6744295,83.742333,2.1720631937970447,2.1706200972452008,2.1750575126418994,3059.337603575085,725499904.0,50005584
chronos2,probe_head,5,device_forward,1,3,8.594749,8.575227,8.7695045,2.188522724747401,2.1436662128401895,2.2032100141488966,116.35011098055335,210061312.0,50005584
chronos2,probe_head,5,device_forward,256,3,72.91448,72.89238800000001,72.93628749999999,2.3455477631761834,2.3455035474435255,2.3461156259553464,3510.9624316048057,724385792.0,50005584
chronos2,probe_head,6,api_e2e,1,3,10.724983,10.610731999999999,10.910307,1.8187469854264573,1.7810081329517125,1.8286512655300315,93.24024103348229,247822848.0,59445072
chronos2,probe_head,6,api_e2e,256,3,97.66973899999999,97.500889,97.717282,1.8624821809923038,1.8609083720393684,1.8643193191807717,2621.0779574213875,763258880.0,59445072
chronos2,probe_head,6,device_forward,1,3,10.0954575,9.965359,10.259562500000001,1.8714383176790155,1.832328668985641,1.8875189042361646,99.05445097460913,247820288.0,59445072
chronos2,probe_head,6,device_forward,256,3,86.71566100000001,86.68533249999999,86.7310195,1.9724839738566662,1.972206283476291,1.9728132265051879,2952.1772312846692,762144768.0,59445072
chronos2,probe_head,7,api_e2e,1,3,12.103466999999998,11.964796,12.284168000000001,1.6116068643802643,1.581820233979216,1.621701573516172,82.62095480575938,285581824.0,68884560
chronos2,probe_head,7,api_e2e,256,3,111.303353,111.2021925,111.35037700000001,1.6344501031308354,1.6324398344874933,1.6351411848302537,2300.0205573321764,801017856.0,68884560
chronos2,probe_head,7,device_forward,1,3,11.499780000000001,11.357521,11.6698315,1.6429032555405405,1.610896481238825,1.656153970571571,86.95818528702287,285579264.0,68884560
chronos2,probe_head,7,device_forward,256,3,100.4721795,100.446788,100.516876,1.7021743964457343,1.7019584452664447,1.702532991896167,2547.9690126558867,799903744.0,68884560
chronos2,probe_head,8,api_e2e,1,3,13.515084,13.312608,13.645267,1.4377524771581145,1.4295088912514502,1.4575151991255206,73.9914010153396,323340800.0,78324048
chronos2,probe_head,8,api_e2e,256,3,125.2031635,124.9392585,134.56635899999998,1.453611006402406,1.3506677029137724,1.4548893052698884,2044.6767704875126,838776832.0,78324048
