model,arm,budget,includes_low_skill,n_datasets,n_cut,n_no_cut,n_within_budget_test_cut,median_fraction_blocks_removed,median_speedup_e2e_b1,median_speedup_e2e_b256,cut_degradation_q25,cut_degradation_median,cut_degradation_q75
tirex,noa,0.2,True,14,14,0,13,0.45833333333333337,1.9438034717646002,1.9061501507375553,0.07457361366973264,0.09609167128535012,0.12482652272285366
tirex,probe,0.02,True,14,0,14,0,0.0,1.0,1.0,,,
tirex,probe,0.05,True,14,2,12,1,0.0,1.0,1.0,0.048164738164703624,0.0520034080206867,0.05584207787666978
tirex,probe,0.1,True,14,6,8,1,0.0,1.0,1.0,0.10265541563536068,0.10650658194928664,0.12001608178762391
tirex,probe,0.2,True,14,9,5,8,0.20833333333333331,1.2597525663833407,1.2727187441452363,0.09917984948620417,0.10377959820780891,0.14702236711414307
tirex,ra,0.02,True,14,7,7,3,0.041666666666666664,1.0460914913264525,1.0436860092470563,0.014430444514415108,0.02502010517246922,0.0372930680698349
tirex,ra,0.05,True,14,8,6,5,0.125,1.1503126944121593,1.140345887709585,0.02517342450694371,0.04960100316853022,0.0665819275659355
tirex,ra,0.1,True,14,11,3,7,0.20833333333333331,1.2714246797742415,1.258032347307122,0.03762266738666731,0.0852070431449945,0.1027119363843948
tirex,ra,0.2,True,14,13,1,12,0.5833333333333334,2.8242881595213536,2.7234937061076328,0.08691511836525656,0.10042518748614548,0.12952732775049136
chronos2,fl,0.02,False,13,9,4,3,0.08333333333333333,1.0811576727377534,1.0756825215310732,0.01281093578837389,0.02120389265249556,0.03545245229743976
chronos2,fl,0.05,False,13,11,2,6,0.25,1.2837562507005005,1.28584454927648,0.023172058177501564,0.04029362760565158,0.05936432977872552
chronos2,fl,0.1,False,13,12,1,8,0.3333333333333333,1.4214069507549765,1.4267112880306814,0.057968282007374805,0.06697318943928021,0.10789420784677672
chronos2,fl,0.2,False,13,12,1,10,0.8333333333333334,3.718278084855714,4.0698978209627,0.06051525888053744,0.09276687317202914,0.13591867564540677
chronos2,hard,0.02,False,13,0,13,0,0.0,1.0,1.0,,,
chronos2,hard,0.05,False,13,0,13,0,0.0,1.0,1.0,,,
chronos2,hard,0.1,False,13,3,10,1,0.0,1.0,1.0,0.09310538407389546,0.13762850194730802,0.23905370566780226
chronos2,hard,0.2,False,13,5,8,3,0.0,1.0,1.0,0.160237609900846,0.17650019453492294,0.21981568103327565
chronos2,noa,0.02,False,13,6,7,4,0.0,1.0,1.0,0.004452170991948612,0.012802894224112848,0.019350696144756763
chronos2,noa,0.05,False,13,11,2,6,0.25,1.2837562507005005,1.28584454927648,0.012120679466182227,0.037623337705157134,0.07477424442687919
chronos2,noa,0.1,False,13,12,1,8,0.4166666666666667,1.5727225564742562,1.599869712860413,0.0335717487701655,0.06524170821598785,0.11596401830089748
chronos2,noa,0.2,False,13,13,0,11,0.8333333333333334,3.718278084855714,4.0698978209627,0.03364086123963639,0.0827984768637724,0.12927741245150304
chronos2,probe,0.02,False,13,1,12,0,0.0,1.0,1.0,0.14133721703113422,0.14133721703113422,0.14133721703113422
chronos2,probe,0.05,False,13,1,12,0,0.0,1.0,1.0,0.14133721703113422,0.14133721703113422,0.14133721703113422
chronos2,probe,0.1,False,13,4,9,1,0.0,1.0,1.0,0.05093137608433437,0.12439519562328283,0.13258221718951446
chronos2,probe,0.2,False,13,6,7,6,0.0,1.0,1.0,0.14205036780496233,0.1590853060627596,0.17619388670999026
chronos2,ra,0.02,False,13,8,5,3,0.08333333333333333,1.0811576727377534,1.0756825215310732,0.006022255192768666,0.021554530958712848,0.02391071107406878
chronos2,ra,0.05,False,13,11,2,6,0.25,1.2837562507005005,1.28584454927648,0.00943893047155775,0.045274527233651884,0.06262427613501809
chronos2,ra,0.1,False,13,13,0,10,0.3333333333333333,1.4214069507549765,1.4267112880306814,0.017483767173103404,0.045274527233651884,0.09797817014704546
chronos2,ra,0.2,False,13,13,0,13,0.75,2.9060737457147736,3.103199858675667,0.02655920290737379,0.07663190156150135,0.10390298203696902
timesfm3,hard,0.02,False,13,0,13,0,0.0,1.0,1.0,,,
timesfm3,hard,0.05,False,13,0,13,0,0.0,1.0,1.0,,,
timesfm3,hard,0.1,False,13,0,13,0,0.0,1.0,1.0,,,
timesfm3,hard,0.2,False,13,0,13,0,0.0,1.0,1.0,,,
timesfm3,noa,0.02,False,13,4,9,3,0.0,1.0,1.0,0.009406144383856563,0.013420746145059947,0.02142681245704242
timesfm3,noa,0.05,False,13,5,8,4,0.0,1.0,1.0,0.017133773091156268,0.028828182119439383,0.035829307205489824
timesfm3,noa,0.1,False,13,8,5,8,0.05,1.0,1.0364938384035858,0.04805478335849034,0.05837178717869673,0.07162070429184492
timesfm3,noa,0.2,False,13,10,3,8,0.05,1.0,1.0364938384035858,0.05718099713013919,0.11409679742493739,0.16169545003415464
timesfm3,probe,0.02,False,13,0,13,0,0.0,1.0,1.0,,,
timesfm3,probe,0.05,False,13,0,13,0,0.0,1.0,1.0,,,
timesfm3,probe,0.1,False,13,4,9,1,0.0,1.0,1.0,0.12388464187108472,0.14489212372125904,0.16005374936462802
timesfm3,probe,0.2,False,13,6,7,4,0.0,1.0,1.0,0.11762232755265128,0.13711978964913563,0.19820080716562333
timesfm3,ra,0.02,False,13,0,13,0,0.0,1.0,1.0,,,
timesfm3,ra,0.05,False,13,0,13,0,0.0,1.0,1.0,,,
timesfm3,ra,0.1,False,13,2,11,1,0.0,1.0,1.0,0.07041258972146702,0.09951818786299227,0.12862378600451752
timesfm3,ra,0.2,False,13,5,8,2,0.0,1.0,1.0,0.15795989143869238,0.2170063934807338,0.23795898665199022
tirex,fl,0.02,False,12,4,8,1,0.0,1.0,1.0,0.022426296507724264,0.042287372698456394,0.058056132181398934
tirex,fl,0.05,False,12,8,4,3,0.08333333333333333,1.0921829826529053,1.0873720184941127,0.034805369266536434,0.06151410221164999,0.07322828526423253
tirex,fl,0.1,False,12,10,2,7,0.16666666666666666,1.2084424061714134,1.1933197569250569,0.03326434017901936,0.07184375639698326,0.10132077022172159
tirex,fl,0.2,False,12,12,0,10,0.3333333333333333,1.4990520763661965,1.4831772451493994,0.07107582811921842,0.11949864714213076,0.15966874664082703
tirex,hard,0.02,False,12,0,12,0,0.0,1.0,1.0,,,
