source_dataset,target_dataset,probe_family,seed,is_ood,quantile_set,layer,delta_vs_last,delta_ci_lo,delta_ci_hi,delta_above_zero,is_oracle_best_layer,is_source_selected_layer,is_last_layer,n_test_series,n_test_windows,bootstrap_replicates
monash_kdd_cup_2018,monash_kdd_cup_2018,content_mlp_head,0,False,q9,2,0.24897536293791234,0.016646967520294847,0.46238162335403654,True,False,False,False,75,506,5000
monash_kdd_cup_2018,monash_kdd_cup_2018,content_mlp_head,0,False,q9,3,0.502839004569374,0.30680191517396543,0.6902894483437491,True,True,False,False,75,506,5000
monash_kdd_cup_2018,monash_kdd_cup_2018,content_mlp_head,0,False,q9,4,0.4143507084827647,0.23977704450286752,0.5847670842656146,True,False,False,False,75,506,5000
monash_kdd_cup_2018,monash_kdd_cup_2018,content_mlp_head,0,False,q9,5,0.2280131625563726,0.03441804231541752,0.4093095944546715,True,False,False,False,75,506,5000
monash_kdd_cup_2018,monash_kdd_cup_2018,content_mlp_head,0,False,q9,6,0.43046035644093994,0.24713297593859568,0.6025891481266995,True,False,False,False,75,506,5000
monash_kdd_cup_2018,monash_kdd_cup_2018,content_mlp_head,0,False,q9,7,0.42048384832299224,0.26922920632673236,0.569428349513359,True,False,False,False,75,506,5000
monash_kdd_cup_2018,monash_kdd_cup_2018,content_mlp_head,0,False,q9,8,0.28081501661081987,0.1376297211889053,0.43412776196034564,True,False,False,False,75,506,5000
monash_kdd_cup_2018,monash_kdd_cup_2018,content_mlp_head,0,False,q9,9,0.1671122830847036,0.007285753881295401,0.3215650338686032,True,False,False,False,75,506,5000
monash_kdd_cup_2018,monash_kdd_cup_2018,content_mlp_head,0,False,q9,10,-0.1463672888608789,-0.3154074130884862,0.03287635095124888,False,False,True,False,75,506,5000
monash_kdd_cup_2018,monash_kdd_cup_2018,content_mlp_head,0,False,q9,11,0.10475234693218116,-0.018341131571833678,0.2432658711535494,False,False,False,False,75,506,5000
monash_kdd_cup_2018,monash_kdd_cup_2018,content_mlp_head,0,False,q9,12,0.0,0.0,0.0,False,False,False,True,75,506,5000
monash_kdd_cup_2018,uber_tlc_hourly,content_mlp_head,0,True,q9,0,0.6915773731867478,0.31653916898393447,1.0839416226093632,True,False,False,False,260,1500,5000
monash_kdd_cup_2018,uber_tlc_hourly,content_mlp_head,0,True,q9,1,1.263573536554972,0.9975141079838444,1.5142211506653458,True,False,False,False,260,1500,5000
monash_kdd_cup_2018,uber_tlc_hourly,content_mlp_head,0,True,q9,2,0.03625309705734203,-0.48987223849347433,0.5444039805062678,False,False,False,False,260,1500,5000
monash_kdd_cup_2018,uber_tlc_hourly,content_mlp_head,0,True,q9,3,0.18646831512451278,-0.08103118395030862,0.44730711316406324,False,False,False,False,260,1500,5000
monash_kdd_cup_2018,uber_tlc_hourly,content_mlp_head,0,True,q9,4,1.3355959547360747,1.1375036931497433,1.5258003752515308,True,True,False,False,260,1500,5000
monash_kdd_cup_2018,uber_tlc_hourly,content_mlp_head,0,True,q9,5,0.9549456717173257,0.741660499715134,1.161683496335798,True,False,False,False,260,1500,5000
monash_kdd_cup_2018,uber_tlc_hourly,content_mlp_head,0,True,q9,6,1.1577394072214773,0.9074043583997916,1.4152063894793472,True,False,False,False,260,1500,5000
monash_kdd_cup_2018,uber_tlc_hourly,content_mlp_head,0,True,q9,7,-1.8120278488794952,-2.1590674174617352,-1.4465802356243405,False,False,False,False,260,1500,5000
monash_kdd_cup_2018,uber_tlc_hourly,content_mlp_head,0,True,q9,8,0.23563331604003857,-0.1251302823491604,0.61643874922343,False,False,False,False,260,1500,5000
monash_kdd_cup_2018,uber_tlc_hourly,content_mlp_head,0,True,q9,9,0.5979053684870408,0.342365657852973,0.8727928851386767,True,False,False,False,260,1500,5000
monash_kdd_cup_2018,uber_tlc_hourly,content_mlp_head,0,True,q9,10,0.28887162113189646,0.0013534320151964488,0.6012788218540138,True,False,True,False,260,1500,5000
monash_kdd_cup_2018,uber_tlc_hourly,content_mlp_head,0,True,q9,11,0.5866656812032076,0.3912918918147226,0.7926998024254396,True,False,False,False,260,1500,5000
monash_kdd_cup_2018,uber_tlc_hourly,content_mlp_head,0,True,q9,12,0.0,0.0,0.0,False,False,False,True,260,1500,5000
uber_tlc_hourly,monash_electricity_hourly,content_mlp_head,0,True,q9,0,-3.6769743725458772,-3.937453513531989,-3.4317264224618897,False,False,False,False,318,1500,5000
uber_tlc_hourly,monash_electricity_hourly,content_mlp_head,0,True,q9,1,-1.4030709134737647,-1.601538619299783,-1.200942575666534,False,False,False,False,318,1500,5000
uber_tlc_hourly,monash_electricity_hourly,content_mlp_head,0,True,q9,2,0.1305750425656642,0.0021037123043630384,0.25366204571554196,True,False,False,False,318,1500,5000
uber_tlc_hourly,monash_electricity_hourly,content_mlp_head,0,True,q9,3,0.002448404153188477,-0.11895288301180575,0.1235490854668194,False,False,False,False,318,1500,5000
uber_tlc_hourly,monash_electricity_hourly,content_mlp_head,0,True,q9,4,0.5538915534019475,0.4537324111064577,0.650986941512141,True,False,False,False,318,1500,5000
uber_tlc_hourly,monash_electricity_hourly,content_mlp_head,0,True,q9,5,0.4598154406547543,0.3616053319274553,0.5594347394919233,True,False,False,False,318,1500,5000
uber_tlc_hourly,monash_electricity_hourly,content_mlp_head,0,True,q9,6,0.6103264815012617,0.5094511792801719,0.7092594423829343,True,True,False,False,318,1500,5000
uber_tlc_hourly,monash_electricity_hourly,content_mlp_head,0,True,q9,7,0.390912686189016,0.2950068481579136,0.48252605184823755,True,False,False,False,318,1500,5000
uber_tlc_hourly,monash_electricity_hourly,content_mlp_head,0,True,q9,8,-0.08142019303639714,-0.198857066039684,0.036822232873288376,False,False,False,False,318,1500,5000
uber_tlc_hourly,monash_electricity_hourly,content_mlp_head,0,True,q9,9,0.03983316818873117,-0.07270259079547889,0.1534841971960094,False,False,False,False,318,1500,5000
uber_tlc_hourly,monash_electricity_hourly,content_mlp_head,0,True,q9,10,-0.4958437622388203,-0.6276694437722087,-0.364074068636709,False,False,False,False,318,1500,5000
uber_tlc_hourly,monash_electricity_hourly,content_mlp_head,0,True,q9,11,-0.4222825088500972,-0.5323474452753327,-0.30581528491093674,False,False,False,False,318,1500,5000
uber_tlc_hourly,monash_electricity_hourly,content_mlp_head,0,True,q9,12,0.0,0.0,0.0,False,False,True,True,318,1500,5000
uber_tlc_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,0,-1.258876115437082,-1.4235454071552627,-1.0810563938605395,False,False,False,False,75,506,5000
uber_tlc_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,1,-1.5736079456306733,-1.8616737207846403,-1.2958656081323172,False,False,False,False,75,506,5000
uber_tlc_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,2,-0.1974583378893584,-0.3348076682998776,-0.05549135555975855,False,False,False,False,75,506,5000
uber_tlc_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,3,-0.023000061276402306,-0.15895912507350446,0.11169000942171596,False,False,False,False,75,506,5000
uber_tlc_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,4,-0.9627441412846558,-1.143330921993581,-0.7779334796994337,False,False,False,False,75,506,5000
uber_tlc_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,5,-0.8598004353376245,-0.958381145752611,-0.7602377232372368,False,False,False,False,75,506,5000
uber_tlc_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,6,-2.297957684682763,-2.438341641909907,-2.160375253204215,False,False,False,False,75,506,5000
uber_tlc_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,7,-1.849314964335897,-1.9783410834759325,-1.7284992910080823,False,False,False,False,75,506,5000
uber_tlc_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,8,-2.669661962467692,-2.8160341258971324,-2.5227631292371067,False,False,False,False,75,506,5000
uber_tlc_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,9,-2.4694369531902867,-2.6142016086588415,-2.3307547796372643,False,False,False,False,75,506,5000
uber_tlc_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,10,-1.5460049818626977,-1.6397974199405567,-1.4529543407717365,False,False,False,False,75,506,5000
uber_tlc_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,11,-1.3575850065517798,-1.4453084736550013,-1.2692240114407902,False,False,False,False,75,506,5000
uber_tlc_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,12,0.0,0.0,0.0,False,True,True,True,75,506,5000
uber_tlc_hourly,uber_tlc_hourly,content_mlp_head,0,False,q9,0,-0.7282757925987244,-0.8198540289713955,-0.6346805229723292,False,False,False,False,260,1500,5000
uber_tlc_hourly,uber_tlc_hourly,content_mlp_head,0,False,q9,1,-0.18520780690511085,-0.23356117760268152,-0.13692012390445576,False,False,False,False,260,1500,5000
uber_tlc_hourly,uber_tlc_hourly,content_mlp_head,0,False,q9,2,-0.031228082497914755,-0.08213377889547105,0.018922631097794757,False,False,False,False,260,1500,5000
uber_tlc_hourly,uber_tlc_hourly,content_mlp_head,0,False,q9,3,0.06242571385701545,0.015408794129841863,0.11113759257234446,True,False,False,False,260,1500,5000
uber_tlc_hourly,uber_tlc_hourly,content_mlp_head,0,False,q9,4,0.1254339685440069,0.08310763839931457,0.1670836414970252,True,True,False,False,260,1500,5000
uber_tlc_hourly,uber_tlc_hourly,content_mlp_head,0,False,q9,5,0.11401625935236659,0.06362554106378782,0.1647162069692901,True,False,False,False,260,1500,5000
uber_tlc_hourly,uber_tlc_hourly,content_mlp_head,0,False,q9,6,0.07242959610621114,0.024421214771644162,0.12248546292637946,True,False,False,False,260,1500,5000
uber_tlc_hourly,uber_tlc_hourly,content_mlp_head,0,False,q9,7,0.007558244705200501,-0.03928173998734199,0.05439673796253111,False,False,False,False,260,1500,5000
uber_tlc_hourly,uber_tlc_hourly,content_mlp_head,0,False,q9,8,0.08496331755320252,0.036965185947923064,0.13389202376717083,True,False,False,False,260,1500,5000
uber_tlc_hourly,uber_tlc_hourly,content_mlp_head,0,False,q9,9,0.026173638184865844,-0.02599127552296745,0.07822028261249528,False,False,False,False,260,1500,5000
uber_tlc_hourly,uber_tlc_hourly,content_mlp_head,0,False,q9,10,0.08008548800150539,0.029420139533763347,0.1317635956082281,True,False,False,False,260,1500,5000
uber_tlc_hourly,uber_tlc_hourly,content_mlp_head,0,False,q9,11,0.06343617026011206,0.020923325595671116,0.10517659901192686,True,False,False,False,260,1500,5000
uber_tlc_hourly,uber_tlc_hourly,content_mlp_head,0,False,q9,12,0.0,0.0,0.0,False,False,True,True,260,1500,5000
