condition,metric,target,stage,layer,drift_1_minus_cka,probe_change
domain,d_fslot_quantile_loss,WindFarms,late,L8,0.010445499588804252,0.000760952631632783
domain,d_fslot_quantile_loss,WindFarms,late,L9,0.01643842752636726,0.01597285270690918
domain,d_fslot_quantile_loss,WindFarms,late,L10,0.004735207483367976,0.0026000340779619435
domain,d_fslot_quantile_loss,WindFarms,late,L11,0.006451944318540792,-0.052103281021118164
domain,d_fslot_quantile_loss,WindFarms,late,L12,0.00996049810434707,-0.0994560718536377
domain,d_fslot_quantile_loss,WindFarms,late,L12+LN,0.04611524941641654,-0.11561822891235352
domain,d_fslot_quantile_loss,BOOM,early,Emb,3.7791740514769856e-08,-0.011947949727376006
domain,d_fslot_quantile_loss,BOOM,early,L1,0.0007295853664301966,0.0018026034037270655
domain,d_fslot_quantile_loss,BOOM,early,L2,0.0008105391012984686,0.0070002079010009766
domain,d_fslot_quantile_loss,BOOM,early,L3,0.0007699914557408594,-0.00021457672119140625
domain,d_fslot_quantile_loss,BOOM,early,L4,0.0009705509934124779,0.002679109573364258
domain,d_fslot_quantile_loss,BOOM,early,L5,0.0015960564861144944,-0.007171789805094253
domain,d_fslot_quantile_loss,BOOM,early,L6,0.003854294803654734,-0.022232850392659653
domain,d_fslot_quantile_loss,BOOM,early,L7,0.005009357652488999,-0.01885596911112497
domain,d_fslot_quantile_loss,BOOM,early,L8,0.010412508168419765,-0.05475417772928859
domain,d_fslot_quantile_loss,BOOM,early,L9,0.032031425959175075,-0.08349235852559422
domain,d_fslot_quantile_loss,BOOM,early,L10,0.005876021552979616,-0.07980918884277344
domain,d_fslot_quantile_loss,BOOM,early,L11,0.0050640076136369006,-0.08225464820861816
domain,d_fslot_quantile_loss,BOOM,early,L12,0.01037326607698097,-0.07100558280944824
domain,d_fslot_quantile_loss,BOOM,early,L12+LN,0.06493635014381394,-0.07684659957885742
domain,d_fslot_quantile_loss,BOOM,late,Emb,5.90928757038256e-08,-0.008628924687703154
domain,d_fslot_quantile_loss,BOOM,late,L1,0.001556752604845224,0.003140846888224136
domain,d_fslot_quantile_loss,BOOM,late,L2,0.0016328256642580419,-0.006589810053507783
domain,d_fslot_quantile_loss,BOOM,late,L3,0.0015963320714025286,-0.008682727813720703
domain,d_fslot_quantile_loss,BOOM,late,L4,0.002028372266444478,0.0009846687316894531
domain,d_fslot_quantile_loss,BOOM,late,L5,0.003372660486521073,-0.00700036684672023
domain,d_fslot_quantile_loss,BOOM,late,L6,0.008330711617110742,-0.02292490005493164
domain,d_fslot_quantile_loss,BOOM,late,L7,0.010586081569366912,-0.02681446075439453
domain,d_fslot_quantile_loss,BOOM,late,L8,0.019568623526545537,-0.06709829966227199
domain,d_fslot_quantile_loss,BOOM,late,L9,0.05010490300365433,-0.0890812873840332
domain,d_fslot_quantile_loss,BOOM,late,L10,0.007160097561651146,-0.08781997362772609
domain,d_fslot_quantile_loss,BOOM,late,L11,0.008220683539625573,-0.07084282239278172
domain,d_fslot_quantile_loss,BOOM,late,L12,0.01794412679399926,-0.07613547643025687
domain,d_fslot_quantile_loss,BOOM,late,L12+LN,0.09234460859901639,-0.06304502487182617
domain,d_fslot_quantile_loss,SG-Carpark,early,Emb,3.7791740514769856e-08,-0.004927476247152285
domain,d_fslot_quantile_loss,SG-Carpark,early,L1,0.00014198353379690776,0.00027108192443847656
domain,d_fslot_quantile_loss,SG-Carpark,early,L2,0.00017764289845478842,-0.011157751083374023
domain,d_fslot_quantile_loss,SG-Carpark,early,L3,0.0002035429180824444,-0.0007940928141274561
domain,d_fslot_quantile_loss,SG-Carpark,early,L4,0.0002665479425099093,0.012493093808492173
domain,d_fslot_quantile_loss,SG-Carpark,early,L5,0.00023052612564500308,0.002268513043721665
domain,d_fslot_quantile_loss,SG-Carpark,early,L6,0.0003828864516803865,-0.015466928482055664
domain,d_fslot_quantile_loss,SG-Carpark,early,L7,0.000376649134642415,-0.0031402111053466797
domain,d_fslot_quantile_loss,SG-Carpark,early,L8,0.0006215978657942989,-0.012276689211527358
domain,d_fslot_quantile_loss,SG-Carpark,early,L9,0.001125025763526022,0.004018664360046387
domain,d_fslot_quantile_loss,SG-Carpark,early,L10,0.001054000681236844,0.0059729814529418945
domain,d_fslot_quantile_loss,SG-Carpark,early,L11,0.0010843683957115768,0.0029770930608112867
domain,d_fslot_quantile_loss,SG-Carpark,early,L12,0.0018166166190850541,0.042889753977457534
domain,d_fslot_quantile_loss,SG-Carpark,early,L12+LN,0.0004897907024926651,0.0026563008626303564
domain,d_fslot_quantile_loss,SG-Carpark,late,Emb,5.90928757038256e-08,-0.003692150115966797
domain,d_fslot_quantile_loss,SG-Carpark,late,L1,0.0003095921098477117,-0.006016969680786133
domain,d_fslot_quantile_loss,SG-Carpark,late,L2,0.0004083267291188353,-0.030945221583048355
domain,d_fslot_quantile_loss,SG-Carpark,late,L3,0.00041291564776180234,-0.010774016380310059
domain,d_fslot_quantile_loss,SG-Carpark,late,L4,0.00047637005607747973,0.010755936304728264
domain,d_fslot_quantile_loss,SG-Carpark,late,L5,0.0006077550167370438,0.0017586151758830493
domain,d_fslot_quantile_loss,SG-Carpark,late,L6,0.0008968797765028791,-0.012469649314880371
domain,d_fslot_quantile_loss,SG-Carpark,late,L7,0.0006546955854993541,0.004493872324625725
domain,d_fslot_quantile_loss,SG-Carpark,late,L8,0.0009978439037708897,-0.035057346026102554
domain,d_fslot_quantile_loss,SG-Carpark,late,L9,0.0014325460008274282,-0.011083126068115234
